"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.788083333E-2,2.029525757E0,-2.901493645E1,-1.770190430E1,3.404912521E1
2.783983332E-2,1.993133545E0,-2.899155998E1,-1.778280640E1,3.406921389E1
3.779783333E-2,1.933502197E0,-2.895212173E1,-1.784637451E1,3.406547911E1
4.775583334E-2,1.739135742E0,-2.888024712E1,-1.808062744E1,3.411747874E1
5.771483333E-2,1.658432007E0,-2.878556061E1,-1.819802856E1,3.409585224E1
6.767283333E-2,1.571929932E0,-2.876506424E1,-1.822348022E1,3.408804946E1
7.763183332E-2,1.573455811E0,-2.870815468E1,-1.820828247E1,3.403197700E1
8.758983333E-2,1.565872192E0,-2.858122635E1,-1.834393311E1,3.399762252E1
9.754883332E-2,1.391891479E0,-2.847475815E1,-1.846838379E1,3.396807933E1
1.075068333E-1,1.203262329E0,-2.831552887E1,-1.868185425E1,3.394449430E1
1.174648333E-1,9.680633545E-1,-2.824163055E1,-1.887579346E1,3.398267826E1
1.274238333E-1,7.198028564E-1,-2.810171318E1,-1.911209106E1,3.399259367E1
1.373818333E-1,5.958557129E-1,-2.800579453E1,-1.935589600E1,3.404893950E1
1.473408333E-1,5.236358643E-1,-2.797399712E1,-1.946691895E1,3.408488877E1
1.572988333E-1,5.588226318E-1,-2.795038605E1,-1.948315430E1,3.407535274E1
1.672568333E-1,5.829315186E-1,-2.798921776E1,-1.937350464E1,3.404509953E1
1.772158333E-1,6.229858398E-1,-2.800276947E1,-1.932983398E1,3.403212734E1
1.871738333E-1,7.495727539E-1,-2.808586693E1,-1.927917480E1,3.407439452E1
1.971328333E-1,9.291687012E-1,-2.811235428E1,-1.916473389E1,3.403608148E1
2.070908333E-1,1.080596924E0,-2.809501648E1,-1.900122070E1,3.393440774E1
2.170498333E-1,1.218231201E0,-2.815450668E1,-1.884692383E1,3.390231366E1
2.270078333E-1,1.374053955E0,-2.817130852E1,-1.881726074E1,3.390575098E1
2.369668333E-1,1.459075928E0,-2.815173531E1,-1.877410889E1,3.386910492E1
2.469248333E-1,1.553817749E0,-2.815749741E1,-1.873312378E1,3.385541222E1
2.568828333E-1,1.677551270E0,-2.822625732E1,-1.865423584E1,3.387500990E1
2.668418333E-1,1.852401733E0,-2.821849442E1,-1.855181885E1,3.382136605E1
2.767998333E-1,2.020919800E0,-2.823697090E1,-1.851013184E1,3.382359566E1
2.867588333E-1,2.092071533E0,-2.805474854E1,-1.865646362E1,3.375661881E1
2.967168333E-1,2.032226562E0,-2.757998848E1,-1.911007690E1,3.361518628E1
3.066758333E-1,1.872863770E0,-2.703473282E1,-1.975518799E1,3.353582934E1
3.166338333E-1,1.688018799E0,-2.651198387E1,-2.033770752E1,3.345679368E1
3.265918333E-1,1.564971924E0,-2.615900993E1,-2.071636963E1,3.340525271E1
3.365508333E-1,1.659576416E0,-2.599604416E1,-2.087796021E1,3.338319530E1
3.465088333E-1,2.039901733E0,-2.594405365E1,-2.083111572E1,3.333452416E1
3.564678333E-1,2.558837891E0,-2.595329285E1,-2.055310059E1,3.320468347E1
