"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.500458371E-3,8.432083130E0,-3.029180527E1,-6.782958984E0,3.216678450E1
1.945745829E-2,8.609069824E0,-3.013255692E1,-6.882232666E0,3.208507747E1
2.941445820E-2,8.723678589E0,-3.003401566E1,-7.001342773E0,3.204939103E1
3.937045834E-2,8.965530396E0,-3.000447083E1,-7.311889648E0,3.215762328E1
4.932745825E-2,9.078598022E0,-2.976443481E1,-7.447082520E0,3.199689922E1
5.928445840E-2,9.396728516E0,-2.969510651E1,-7.855865479E0,3.212183805E1
6.924045831E-2,9.463592529E0,-2.948324203E1,-8.114257812E0,3.201034714E1
7.919745822E-2,9.463592529E0,-2.948324203E1,-8.114257812E0,3.201034714E1
8.915445837E-2,9.472702026E0,-2.939842606E1,-8.179779053E0,3.195165604E1
9.911145829E-2,9.446044922E0,-2.946846771E1,-8.518646240E0,3.209650585E1
1.090674584E-1,9.355697632E0,-2.946378708E1,-8.444061279E0,3.204599816E1
1.190244583E-1,9.279693604E0,-2.941067123E1,-8.570281982E0,3.200859305E1
1.289814583E-1,9.135894775E0,-2.929888153E1,-8.661193848E0,3.188895281E1
1.389374584E-1,9.032226562E0,-2.932250595E1,-8.825408936E0,3.192613843E1
1.488944583E-1,8.915039062E0,-2.931708145E1,-9.174713135E0,3.198663076E1
1.588514582E-1,8.472183228E0,-2.932957458E1,-9.210723877E0,3.188791728E1
1.688084584E-1,8.285675049E0,-2.930276108E1,-9.449645996E0,3.188416578E1
1.787644583E-1,7.974441528E0,-2.929265213E1,-9.935485840E0,3.194315365E1
1.887214584E-1,7.777923584E0,-2.920277405E1,-1.019393921E1,3.189380040E1
1.986784583E-1,7.606918335E0,-2.920365524E1,-1.037792969E1,3.191269513E1
2.086344582E-1,7.339187622E0,-2.925642395E1,-1.058795166E1,3.196727604E1
2.185914584E-1,7.355819702E0,-2.924211121E1,-1.066415405E1,3.198332898E1
2.285484583E-1,7.397140503E0,-2.928800964E1,-1.050576782E1,3.198243821E1
2.385054582E-1,7.681091309E0,-2.930594254E1,-1.051443481E1,3.206853241E1
2.484614584E-1,7.712707520E0,-2.922892380E1,-1.051678467E1,3.200654001E1
2.584184583E-1,7.896972656E0,-2.892422485E1,-1.106628418E1,3.195990623E1
2.683754584E-1,8.130523682E0,-2.861400223E1,-1.145147705E1,3.187479985E1
2.783324583E-1,8.266738892E0,-2.846310425E1,-1.167013550E1,3.185403174E1
2.882884583E-1,8.604278564E0,-2.832282066E1,-1.206292725E1,3.196451147E1
2.982454584E-1,9.033416748E0,-2.818582916E1,-1.205218506E1,3.195776507E1
3.082024583E-1,9.564254761E0,-2.803232002E1,-1.194091797E1,3.193542636E1
3.181584582E-1,9.935546875E0,-2.796361160E1,-1.170086670E1,3.189967002E1
3.281153333E-1,1.008341980E1,-2.776052475E1,-1.125906372E1,3.160836290E1
3.380723333E-1,1.043641663E1,-2.761310387E1,-1.122860718E1,3.158296877E1
3.480293334E-1,1.057055664E1,-2.757796860E1,-1.119055176E1,3.158337329E1
3.579853333E-1,1.083970642E1,-2.737271500E1,-1.132861328E1,3.154524117E1
3.679423332E-1,1.121354675E1,-2.710323715E1,-1.155563354E1,3.152557314E1
3.778993334E-1,1.153137207E1,-2.673876381E1,-1.194055176E1,3.147238167E1
3.878553333E-1,1.156448364E1,-2.646360588E1,-1.265750122E1,3.153207978E1
3.978123334E-1,1.138957214E1,-2.605566216E1,-1.344094849E1,3.145280560E1
4.077693333E-1,1.068756104E1,-2.596111679E1,-1.404855347E1,3.139371594E1
4.177263333E-1,9.749618530E0,-2.575496864E1,-1.480517578E1,3.126606309E1
4.276823334E-1,8.328994751E0,-2.577424812E1,-1.559750366E1,3.125645758E1
4.376393333E-1,7.194641113E0,-2.590229988E1,-1.566970825E1,3.111642262E1
4.475963332E-1,6.541076660E0,-2.611306190E1,-1.565817261E1,3.114251203E1
4.575523334E-1,6.150283813E0,-2.645418739E1,-1.543704224E1,3.124023519E1
4.675093333E-1,5.837402344E0,-2.701079559E1,-1.484426880E1,3.136894421E1
4.774663334E-1,5.986557007E0,-2.721157646E1,-1.416802979E1,3.125766828E1
4.874233333E-1,5.823455811E0,-2.756027603E1,-1.357748413E1,3.127026587E1
4.973793332E-1,5.781173706E0,-2.782267952E1,-1.312805176E1,3.130286262E1
5.073363334E-1,5.648345947E0,-2.804287338E1,-1.284960938E1,3.135951244E1
5.172933333E-1,5.809799194E0,-2.817575455E1,-1.262530518E1,3.141695787E1
5.272493332E-1,5.899154663E0,-2.819946861E1,-1.253253174E1,3.141774033E1
5.372063334E-1,6.138275146E0,-2.828807831E1,-1.244274902E1,3.150739277E1
