"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.358437492E-2,1.159309387E1,-6.777920532E1,1.029592896E1,6.953004137E1
2.354137506E-2,1.165071106E1,-6.774670410E1,1.037680054E1,6.952001851E1
3.349837498E-2,1.168522644E1,-6.777866364E1,1.037350464E1,6.955646167E1
4.345537513E-2,1.181575012E1,-6.792630005E1,1.047149658E1,6.973698036E1
5.341237504E-2,1.200956726E1,-6.784412384E1,1.069149780E1,6.972347503E1
6.336937496E-2,1.232524109E1,-6.785637665E1,1.083245850E1,6.981218788E1
7.332637510E-2,1.257733154E1,-6.796887970E1,1.097058105E1,6.998793843E1
8.328337502E-2,1.281193542E1,-6.807775879E1,1.122869873E1,7.017699485E1
9.324037493E-2,1.312028503E1,-6.824217224E1,1.131335449E1,7.040687425E1
1.031973751E-1,1.327102661E1,-6.841523743E1,1.163546753E1,7.065514110E1
1.131543750E-1,1.349940491E1,-6.838049316E1,1.192434692E1,7.071291132E1
1.231113749E-1,1.376759338E1,-6.828804779E1,1.230953979E1,7.074128122E1
1.330683751E-1,1.416206360E1,-6.831963348E1,1.228396606E1,7.084512818E1
1.430253750E-1,1.446688080E1,-6.842916870E1,1.247219849E1,7.104503856E1
1.529823751E-1,1.489651489E1,-6.846131897E1,1.282797241E1,7.122791045E1
1.629393750E-1,1.539877319E1,-6.845056152E1,1.312194824E1,7.137777745E1
1.728963749E-1,1.567928314E1,-6.857366180E1,1.342016602E1,7.161206511E1
1.828533751E-1,1.624494171E1,-6.856713867E1,1.384393311E1,7.181229087E1
1.928103750E-1,1.687785339E1,-6.833691406E1,1.396289062E1,7.176181487E1
2.027673749E-1,1.729611206E1,-6.832824707E1,1.482562256E1,7.202571710E1
2.127243751E-1,1.776961517E1,-6.815815735E1,1.498828125E1,7.201348632E1
2.226813750E-1,1.845979309E1,-6.795665741E1,1.533053589E1,7.206869347E1
2.326383749E-1,1.883885193E1,-6.775599670E1,1.553079224E1,7.202071187E1
2.425953750E-1,1.910162354E1,-6.769252014E1,1.570809937E1,7.206867343E1
2.525523750E-1,1.941700745E1,-6.759909058E1,1.566540527E1,7.205596538E1
2.625093751E-1,1.981697083E1,-6.735476685E1,1.592117310E1,7.199208778E1
2.724663750E-1,2.036438751E1,-6.707780457E1,1.632778931E1,7.197733565E1
2.824240001E-1,2.104610443E1,-6.679685974E1,1.681924438E1,7.202531475E1
2.923810000E-1,2.139876556E1,-6.684892273E1,1.728976440E1,7.228846098E1
3.023379999E-1,2.171861267E1,-6.681768036E1,1.799270630E1,7.252611960E1
3.122950001E-1,2.188968658E1,-6.697402191E1,1.860565186E1,7.287556704E1
3.222520000E-1,2.218505859E1,-6.734568787E1,1.941888428E1,7.351674344E1
3.322089999E-1,2.233400726E1,-6.766120148E1,1.985916138E1,7.396777918E1
3.421660000E-1,2.276606750E1,-6.752050781E1,2.062927246E1,7.418139718E1
3.521230000E-1,2.321263123E1,-6.755382538E1,2.104547119E1,7.446648528E1
3.620800001E-1,2.343618011E1,-6.746403503E1,2.189083862E1,7.469845632E1
3.720370000E-1,2.357894135E1,-6.755863190E1,2.249197388E1,7.500682707E1
3.819939999E-1,2.364479065E1,-6.762417603E1,2.300738525E1,7.524257494E1
3.919510001E-1,2.363806915E1,-6.781632233E1,2.324163818E1,7.548500270E1
4.019080000E-1,2.342266083E1,-6.778863525E1,2.365008545E1,7.551984277E1
4.118649999E-1,2.313855743E1,-6.804733276E1,2.378546143E1,7.570720251E1
4.218220001E-1,2.309088898E1,-6.815447235E1,2.367517090E1,7.575443863E1
4.317790000E-1,2.301712036E1,-6.798022461E1,2.329058838E1,7.545561791E1
4.417360001E-1,2.312276459E1,-6.750437927E1,2.258935547E1,7.484505624E1
4.516930000E-1,2.341716003E1,-6.685117340E1,2.185714722E1,7.412946549E1
4.616500000E-1,2.363582611E1,-6.611502838E1,2.096914673E1,7.327724318E1
4.716070001E-1,2.406900787E1,-6.517107391E1,2.034945679E1,7.239258530E1
4.815640000E-1,2.433123779E1,-6.446583557E1,1.999005127E1,7.174576809E1
4.915209999E-1,2.456797028E1,-6.384158325E1,1.964700317E1,7.117118553E1
5.014780001E-1,2.482292938E1,-6.321193695E1,1.964428711E1,7.069529555E1
5.114350000E-1,2.510593414E1,-6.255469131E1,1.951306152E1,7.017233718E1
5.213919999E-1,2.548881531E1,-6.190325546E1,1.937994385E1,6.969415303E1
5.313490001E-1,2.610364532E1,-6.095357513E1,1.928958130E1,6.905669097E1
5.413060000E-1,2.610364532E1,-6.095357513E1,1.928958130E1,6.905669097E1
5.512630001E-1,2.687049866E1,-5.979726028E1,1.971948242E1,6.845870304E1
5.612200000E-1,2.754291534E1,-5.855507278E1,1.960104370E1,6.761293995E1
5.711769999E-1,2.796208191E1,-5.711192322E1,1.969418335E1,6.656959258E1
5.811340001E-1,2.827994537E1,-5.566866302E1,1.951657104E1,6.541904844E1
5.910910000E-1,2.848840332E1,-5.445372009E1,1.918255615E1,6.437986654E1
6.010479999E-1,2.848079681E1,-5.338485718E1,1.865615845E1,6.331785697E1
6.110050001E-1,2.819804382E1,-5.254286194E1,1.817288208E1,6.233887759E1
6.209620000E-1,2.791408539E1,-5.182627106E1,1.796264648E1,6.154522893E1
6.309189999E-1,2.774832916E1,-5.113674545E1,1.767141724E1,6.080473250E1
6.408760000E-1,2.766708374E1,-5.056893158E1,1.736914062E1,6.020275251E1
6.508330000E-1,2.772985077E1,-4.989794159E1,1.746475220E1,5.969729280E1
6.607900001E-1,2.786381531E1,-4.917336655E1,1.746737671E1,5.915675304E1
6.707470000E-1,2.789688110E1,-4.856332779E1,1.777368164E1,5.875828912E1
6.807039999E-1,2.789348602E1,-4.819924545E1,1.788250732E1,5.848929725E1
6.906610001E-1,2.811042786E1,-4.799082947E1,1.835482788E1,5.856804226E1
7.006180000E-1,2.819435120E1,-4.787026215E1,1.850964355E1,5.855843527E1
7.105749999E-1,2.824188232E1,-4.792423630E1,1.879803467E1,5.871713931E1
7.205320001E-1,2.831018066E1,-4.825383759E1,1.909881592E1,5.911568269E1
7.304900000E-1,2.857833099E1,-4.839601135E1,1.985037231E1,5.960647782E1
7.404460001E-1,2.897808075E1,-4.873445129E1,2.093237305E1,6.043955781E1
7.504040000E-1,2.942671204E1,-4.911348724E1,2.203390503E1,6.134785230E1
7.603610000E-1,2.981439209E1,-4.915080261E1,2.338836670E1,6.206218712E1
7.703180001E-1,3.028769684E1,-4.930411911E1,2.455587769E1,6.285882492E1
7.802750000E-1,3.060774994E1,-4.952994156E1,2.586486816E1,6.371060251E1
7.902319999E-1,3.076721954E1,-5.026000214E1,2.634158325E1,6.454896298E1
8.001890001E-1,3.092135620E1,-5.068808746E1,2.708248901E1,6.526004667E1
8.101460000E-1,3.071476746E1,-5.177729034E1,2.771316528E1,6.627446164E1
