"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.416483335E-2,1.657897949E0,3.132151604E1,-3.156767273E1,4.450060622E1
2.412183350E-2,1.657714844E0,3.131841850E1,-3.145634460E1,4.441951116E1
3.407883341E-2,1.652572632E0,3.131387138E1,-3.144813538E1,4.441030011E1
4.403583333E-2,1.699401855E0,3.135613823E1,-3.165962219E1,4.459178230E1
5.399283348E-2,1.711273193E0,3.141988754E1,-3.166072083E1,4.463786545E1
6.394983339E-2,1.706878662E0,3.138460922E1,-3.168589783E1,4.463074335E1
7.390683354E-2,1.902282715E0,3.155286980E1,-3.157539368E1,4.467894088E1
8.386383345E-2,1.982391357E0,3.157838058E1,-3.146122742E1,4.461987031E1
9.382083337E-2,1.989089966E0,3.140702248E1,-3.138493347E1,4.444515259E1
1.037778335E-1,2.246063232E0,3.144540596E1,-3.141819763E1,4.450799365E1
1.137358334E-1,2.409469604E0,3.139680481E1,-3.148023987E1,4.452606426E1
1.236928334E-1,2.720535278E0,3.154813194E1,-3.148686218E1,4.465544123E1
1.336498335E-1,3.006469727E0,3.149027252E1,-3.159632874E1,4.471022381E1
1.436068334E-1,3.232543945E0,3.156801987E1,-3.155937195E1,4.475470005E1
1.535638333E-1,3.301742554E0,3.154458427E1,-3.161817932E1,4.478472468E1
1.635208335E-1,3.582244873E0,3.165330696E1,-3.157014465E1,4.484906190E1
1.734778334E-1,3.842636108E0,3.156708908E1,-3.168647766E1,4.489186822E1
1.834348335E-1,3.995681763E0,3.162833977E1,-3.148905945E1,4.480935409E1
1.933918335E-1,4.123199463E0,3.167475510E1,-3.144984436E1,4.482614856E1
2.033488334E-1,4.284378052E0,3.162333107E1,-3.143241882E1,4.479272169E1
2.133058335E-1,4.378097534E0,3.170893669E1,-3.153218079E1,4.493220259E1
2.232638334E-1,4.477371216E0,3.165966225E1,-3.130326843E1,4.474679521E1
2.332208334E-1,4.527099609E0,3.160608864E1,-3.125752258E1,4.468190000E1
2.431778335E-1,4.635787964E0,3.144287491E1,-3.123548889E1,4.456232354E1
2.531348334E-1,4.820861816E0,3.165374565E1,-3.114106750E1,4.466504682E1
2.630918333E-1,4.855636597E0,3.155875397E1,-3.126206970E1,4.468611821E1
