"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.534445840E-2,-2.032394409E0,-3.121648788E1,1.584167480E0,3.132266479E1
2.530245844E-2,-2.121353149E0,-3.124245071E1,1.402587891E0,3.134578311E1
3.526045836E-2,-2.072082520E0,-3.123117256E1,1.341491699E0,3.132856948E1
4.521845840E-2,-2.063278198E0,-3.109751320E1,1.052337646E0,3.118364729E1
5.517645844E-2,-2.081069946E0,-3.128616524E1,8.929748535E-1,3.136801542E1
6.513445836E-2,-1.997146606E0,-3.134239960E1,9.104309082E-1,3.141915803E1
7.509345841E-2,-1.947799683E0,-3.124841499E1,9.476013184E-1,3.132339879E1
8.505145845E-2,-1.706573486E0,-3.108008575E1,9.365234375E-1,3.114098906E1
9.500945837E-2,-1.459823608E0,-3.097474861E1,9.597167969E-1,3.102397771E1
1.049674584E-1,-1.355331421E0,-3.107966995E1,7.577209473E-1,3.111843423E1
1.149254584E-1,-1.227127075E0,-3.084690285E1,4.866333008E-1,3.087513673E1
1.248844584E-1,-1.089447021E0,-3.080732346E1,2.686767578E-1,3.082775147E1
1.348424584E-1,-9.198303223E-1,-3.062027740E1,-4.006958008E-2,3.063411630E1
1.448004583E-1,-7.306976318E-1,-3.034015465E1,-2.681884766E-1,3.035013720E1
1.547584584E-1,-5.876007080E-1,-3.015247917E1,-3.508911133E-1,3.016024535E1
1.647164584E-1,-4.359741211E-1,-3.005929947E1,-6.301574707E-1,3.006906477E1
1.746754583E-1,-1.584167480E-1,-3.001463699E1,-1.074645996E0,3.003428697E1
1.846334584E-1,4.924011230E-2,-2.980599403E1,-1.334930420E0,2.983591366E1
1.945914584E-1,1.016082764E-1,-2.967682648E1,-1.612121582E0,2.972075521E1
2.045494583E-1,3.221893311E-1,-2.949241447E1,-2.277557373E0,2.958198075E1
2.145074584E-1,5.171051025E-1,-2.928963852E1,-2.607452393E0,2.941001752E1
2.244664584E-1,7.246551514E-1,-2.899282265E1,-3.229949951E0,2.918118344E1
2.344244584E-1,9.732360840E-1,-2.859170532E1,-3.760498047E0,2.885436097E1
2.443824584E-1,1.363739014E0,-2.798126984E1,-4.757049561E0,2.841550222E1
2.543404584E-1,1.623718262E0,-2.737283707E1,-5.788818359E0,2.802532940E1
2.642984584E-1,1.936676025E0,-2.680252647E1,-7.038757324E0,2.777895326E1
2.742565834E-1,2.122695923E0,-2.604882431E1,-7.787384033E0,2.727068822E1
2.842155833E-1,2.565902710E0,-2.522005081E1,-9.085052490E0,2.692903634E1
2.941735834E-1,2.730468750E0,-2.423715782E1,-9.890411377E0,2.631948928E1
3.041315834E-1,2.978256226E0,-2.332364655E1,-1.089208984E1,2.591331935E1
3.140895833E-1,3.144653320E0,-2.262286377E1,-1.186007690E1,2.573604930E1
3.240475834E-1,3.192001343E0,-2.196476936E1,-1.261422729E1,2.552956514E1
3.340065834E-1,3.164001465E0,-2.147195053E1,-1.311874390E1,2.536054034E1
3.439645834E-1,3.149200439E0,-2.125936127E1,-1.345309448E1,2.535475608E1
3.539225834E-1,3.333007812E0,-2.113398361E1,-1.344699097E1,2.527005680E1
3.638805834E-1,3.527404785E0,-2.126696205E1,-1.309936523E1,2.522537669E1
3.738385834E-1,3.875228882E0,-2.143151093E1,-1.245858765E1,2.509070476E1
3.837975834E-1,3.875228882E0,-2.143151093E1,-1.245858765E1,2.509070476E1
3.937555834E-1,4.191558838E0,-2.174903870E1,-1.189660645E1,2.514197873E1
4.037135834E-1,4.573974609E0,-2.207089233E1,-1.115750122E1,2.515025578E1
4.136715834E-1,4.989059448E0,-2.227446175E1,-1.052474976E1,2.513588506E1
4.236295834E-1,5.304061890E0,-2.218220520E1,-1.020352173E1,2.498589914E1
4.335885834E-1,5.528930664E0,-2.219936371E1,-1.005752563E1,2.499069117E1
4.435465834E-1,5.597183228E0,-2.218996811E1,-9.864685059E0,2.492057696E1
4.535045833E-1,5.603286743E0,-2.233959198E1,-9.890319824E0,2.506536691E1
4.634625834E-1,5.692626953E0,-2.259518242E1,-9.806732178E0,2.528082804E1
4.734205834E-1,5.821060181E0,-2.262501526E1,-9.494262695E0,2.521739640E1
4.833795833E-1,5.891799927E0,-2.251322174E1,-9.692108154E0,2.520903449E1
4.933375834E-1,5.817855835E0,-2.249399185E1,-9.715057373E0,2.518351555E1
5.032955834E-1,5.721603394E0,-2.231390381E1,-1.011465454E1,2.515856286E1
5.132535833E-1,5.632400513E0,-2.206046486E1,-1.066821289E1,2.514356402E1
5.232115834E-1,5.334976196E0,-2.181645012E1,-1.128359985E1,2.513442047E1
5.331705834E-1,4.964218140E0,-2.151865005E1,-1.166949463E1,2.497744716E1
5.431285833E-1,4.449249268E0,-2.158792877E1,-1.228381348E1,2.523344133E1
5.530865834E-1,3.881103516E0,-2.147212410E1,-1.284939575E1,2.532236263E1
5.630445834E-1,3.361694336E0,-2.140858841E1,-1.352307129E1,2.554412072E1
5.730025833E-1,2.692535400E0,-2.150813675E1,-1.386569214E1,2.573144209E1
5.829605834E-1,1.723114014E0,-2.164459229E1,-1.437078857E1,2.603799265E1
5.929195834E-1,8.009643555E-1,-2.170608902E1,-1.485107422E1,2.631254929E1
6.028775834E-1,-1.827392578E-1,-2.184768677E1,-1.541937256E1,2.674157551E1
6.128355834E-1,-1.213912964E0,-2.192306900E1,-1.580441284E1,2.705316995E1
6.227935834E-1,-2.039169312E0,-2.205507088E1,-1.604898071E1,2.735240656E1
6.327525834E-1,-2.624893188E0,-2.218837357E1,-1.625054932E1,2.762778201E1
6.427105834E-1,-3.010650635E0,-2.217582512E1,-1.638720703E1,2.773755201E1
6.526685834E-1,-3.235076904E0,-2.224113464E1,-1.651779175E1,2.789213576E1
6.626265834E-1,-3.617187500E0,-2.230767441E1,-1.648272705E1,2.797135452E1
6.725845834E-1,-3.852676392E0,-2.233592606E1,-1.662969971E1,2.811198357E1
6.825425834E-1,-4.268646240E0,-2.258115768E1,-1.664257812E1,2.837437981E1
6.925015834E-1,-4.472717285E0,-2.254813766E1,-1.670980835E1,2.841903248E1
7.024595834E-1,-4.998001099E0,-2.277462196E1,-1.687707520E1,2.878366008E1
7.124175834E-1,-5.337692261E0,-2.269551468E1,-1.700982666E1,2.886020700E1
7.223755834E-1,-5.897735596E0,-2.295371628E1,-1.692507935E1,2.912240867E1
7.323335834E-1,-6.298706055E0,-2.315721130E1,-1.683666992E1,2.931558608E1
7.422925833E-1,-6.750625610E0,-2.348832321E1,-1.681741333E1,2.966644004E1
7.522505834E-1,-7.189010620E0,-2.357787704E1,-1.679391479E1,2.982672851E1
7.622085834E-1,-7.485092163E0,-2.379811859E1,-1.678289795E1,3.006730312E1
7.721665833E-1,-7.699539185E0,-2.415305519E1,-1.661920166E1,3.031255256E1
7.821245834E-1,-7.909942627E0,-2.414516449E1,-1.622265625E1,3.014516108E1
7.920835834E-1,-8.158432007E0,-2.440560150E1,-1.615240479E1,3.038245510E1
8.020415833E-1,-8.169052124E0,-2.450671768E1,-1.595700073E1,3.036344013E1
8.119995834E-1,-8.286285400E0,-2.470055771E1,-1.617169189E1,3.066437176E1
8.219575834E-1,-8.523330688E0,-2.476777840E1,-1.615179443E1,3.077288541E1
8.319155833E-1,-8.486724854E0,-2.489105988E1,-1.605450439E1,3.081130429E1
8.418745834E-1,-8.639404297E0,-2.515384293E1,-1.596047974E1,3.101760845E1
8.518325834E-1,-8.667633057E0,-2.519935608E1,-1.570257568E1,3.093066913E1
8.617905834E-1,-8.885742188E0,-2.516945457E1,-1.561636353E1,3.092456415E1
8.717485834E-1,-9.007369995E0,-2.508929062E1,-1.556341553E1,3.086786551E1
8.817065834E-1,-9.211776733E0,-2.527881432E1,-1.559399414E1,3.109739438E1
8.916655834E-1,-9.390441895E0,-2.533171844E1,-1.566836548E1,3.123097877E1
9.016235834E-1,-9.390441895E0,-2.533171844E1,-1.566836548E1,3.123097877E1
9.115815834E-1,-9.525802612E0,-2.544048691E1,-1.576675415E1,3.140939073E1
9.215395834E-1,-9.356445312E0,-2.538388824E1,-1.589480591E1,3.137721635E1
9.314975834E-1,-9.384109497E0,-2.530747986E1,-1.593759155E1,3.134544420E1
9.414565834E-1,-9.440032959E0,-2.535007095E1,-1.587612915E1,3.136545546E1
9.514145834E-1,-9.552917480E0,-2.555714226E1,-1.574752808E1,3.150254582E1
9.613725834E-1,-9.578781128E0,-2.542556000E1,-1.605187988E1,3.155748718E1
9.713305834E-1,-9.635330200E0,-2.547389984E1,-1.604840088E1,3.161187011E1
9.812885834E-1,-9.911331177E0,-2.557257080E1,-1.579190063E1,3.164766956E1
9.912475834E-1,-9.937454224E0,-2.564407921E1,-1.591073608E1,3.177299667E1
1.001205583E0,-1.003311157E1,-2.561117172E1,-1.593908691E1,3.179072092E1
1.011163583E0,-1.021496582E1,-2.579536819E1,-1.601705933E1,3.203580398E1
1.021121583E0,-1.033647156E1,-2.593082047E1,-1.611645508E1,3.223337119E1
1.031079583E0,-1.050514221E1,-2.580320740E1,-1.599694824E1,3.212578214E1
1.041037583E0,-1.050198364E1,-2.586896133E1,-1.591299438E1,3.213593333E1
1.050996583E0,-1.050506592E1,-2.576815796E1,-1.600283813E1,3.210054833E1
1.060954583E0,-1.031817627E1,-2.557880783E1,-1.614517212E1,3.195945485E1
1.070912583E0,-1.042884827E1,-2.571027946E1,-1.616876221E1,3.211243089E1
1.080870583E0,-1.032765198E1,-2.560063744E1,-1.637527466E1,3.209677013E1
1.090828583E0,-1.031893921E1,-2.563473129E1,-1.655352783E1,3.221240815E1
1.100787583E0,-1.017892456E1,-2.549831390E1,-1.655960083E1,3.206235950E1
1.110745583E0,-1.011105347E1,-2.541262627E1,-1.661157227E1,3.199967670E1
1.120703583E0,-1.007452393E1,-2.549153519E1,-1.675552368E1,3.212572135E1
1.130661583E0,-1.007048035E1,-2.545754814E1,-1.668594360E1,3.206122340E1
1.140619583E0,-9.888626099E0,-2.550829506E1,-1.669128418E1,3.204773019E1
1.150578583E0,-9.978286743E0,-2.567444992E1,-1.647244263E1,3.209493653E1
1.160536583E0,-9.911422729E0,-2.574236870E1,-1.642086792E1,3.210219229E1
1.170494583E0,-9.942810059E0,-2.592212105E1,-1.650558472E1,3.229938325E1
1.180452583E0,-9.937271118E0,-2.602721596E1,-1.663980103E1,3.245070579E1
1.190410583E0,-9.969924927E0,-2.606441879E1,-1.650988770E1,3.242421505E1
1.200369583E0,-9.909362793E0,-2.597151184E1,-1.635784912E1,3.225359090E1
1.210327583E0,-9.850051880E0,-2.608889961E1,-1.633462524E1,3.231832587E1
1.220285583E0,-1.001853943E1,-2.615711975E1,-1.613699341E1,3.232597411E1
1.230243583E0,-1.003965759E1,-2.622350883E1,-1.648291016E1,3.255999796E1
1.240201583E0,-1.018350220E1,-2.634458733E1,-1.635437012E1,3.263750022E1
1.250159583E0,-1.002754211E1,-2.627260590E1,-1.643148804E1,3.256985140E1
1.260118583E0,-1.003895569E1,-2.620479965E1,-1.651290894E1,3.255991888E1
1.270076333E0,-1.010197449E1,-2.628140640E1,-1.659103394E1,3.268064593E1
1.280034333E0,-9.974914551E0,-2.644389725E1,-1.656106567E1,3.275740402E1
1.289992333E0,-1.001283264E1,-2.637798119E1,-1.666720581E1,3.276965759E1
1.299950333E0,-1.016665649E1,-2.627202415E1,-1.672204590E1,3.275983786E1
1.309909333E0,-1.018270874E1,-2.622226334E1,-1.655145264E1,3.263809486E1
1.319867333E0,-1.027615356E1,-2.621027184E1,-1.655099487E1,3.265751235E1
1.329825333E0,-1.027185059E1,-2.612689972E1,-1.659591675E1,3.261211824E1
1.339783333E0,-1.043077087E1,-2.612200165E1,-1.694607544E1,3.283792661E1
1.349741333E0,-1.048034668E1,-2.591807175E1,-1.706835938E1,3.275535073E1
1.359700333E0,-1.047363281E1,-2.586338234E1,-1.725509644E1,3.280777169E1
1.369658333E0,-1.042826843E1,-2.578599930E1,-1.733645630E1,3.277528427E1
1.379616333E0,-1.028581238E1,-2.570677567E1,-1.726052856E1,3.262762783E1
1.389574333E0,-1.038034058E1,-2.575176620E1,-1.734948730E1,3.274003120E1
1.399532333E0,-1.031277466E1,-2.590643501E1,-1.739111328E1,3.286255494E1
1.409490333E0,-1.031277466E1,-2.590643501E1,-1.739111328E1,3.286255494E1
1.419449333E0,-1.023641968E1,-2.574421883E1,-1.729180908E1,3.265816517E1
1.429407333E0,-1.004075623E1,-2.567816162E1,-1.742480469E1,3.261607868E1
1.439365333E0,-1.011387634E1,-2.571524048E1,-1.763806152E1,3.278208813E1
1.449323333E0,-1.010845947E1,-2.569926834E1,-1.756793213E1,3.273019379E1
1.459281333E0,-1.007806396E1,-2.555663300E1,-1.758404541E1,3.261759520E1
1.469240333E0,-9.983123779E0,-2.538711166E1,-1.780551147E1,3.257613295E1
1.479198333E0,-1.008557129E1,-2.517382431E1,-1.814706421E1,3.263060095E1
1.489156333E0,-9.951538086E0,-2.490329361E1,-1.850305176E1,3.258174439E1
1.499114333E0,-9.947677612E0,-2.495528030E1,-1.855728149E1,3.265111026E1
1.509072333E0,-9.680404663E0,-2.472092056E1,-1.862866211E1,3.243240971E1
1.519030333E0,-9.555450439E0,-2.472534561E1,-1.850540161E1,3.232799464E1
1.528989333E0,-9.182540894E0,-2.468590164E1,-1.889132690E1,3.241288369E1
1.538947333E0,-9.108856201E0,-2.471463776E1,-1.880926514E1,3.236623296E1
1.548905333E0,-8.987365723E0,-2.477262497E1,-1.887329102E1,3.241383662E1
1.558863333E0,-8.921264648E0,-2.468655396E1,-1.879522705E1,3.228429137E1
1.568821333E0,-8.969268799E0,-2.470851517E1,-1.882867432E1,3.233384420E1
1.578780333E0,-8.873123169E0,-2.474179268E1,-1.892031860E1,3.238621737E1
1.588738333E0,-8.881179810E0,-2.474642754E1,-1.902413940E1,3.245271808E1
1.598696333E0,-8.972686768E0,-2.471538162E1,-1.890643311E1,3.238537339E1
1.608654333E0,-9.043365479E0,-2.486824417E1,-1.895538330E1,3.255024706E1
1.618612333E0,-9.193923950E0,-2.494329643E1,-1.900662231E1,3.267947316E1
1.628571333E0,-9.027023315E0,-2.488471985E1,-1.900888062E1,3.258947643E1
1.638529333E0,-9.000808716E0,-2.491457367E1,-1.906234741E1,3.263623182E1
1.648487333E0,-9.125061035E0,-2.506100464E1,-1.937905884E1,3.296769045E1
1.658445333E0,-9.274581909E0,-2.499331284E1,-1.927407837E1,3.289640791E1
1.668403333E0,-9.199111938E0,-2.488505936E1,-1.932327271E1,3.282192419E1
1.678361333E0,-9.343307495E0,-2.476294708E1,-1.935507202E1,3.278901883E1
1.688320333E0,-9.365722656E0,-2.472642517E1,-1.956393433E1,3.289164619E1
1.698278333E0,-9.265869141E0,-2.468970108E1,-1.977642822E1,3.296277876E1
1.708236333E0,-9.227539062E0,-2.478253555E1,-1.988998413E1,3.308977205E1
1.718194333E0,-9.149581909E0,-2.471482849E1,-1.989712524E1,3.302170785E1
1.728152333E0,-9.051376343E0,-2.477820396E1,-1.978738403E1,3.297616370E1
1.738111333E0,-8.916427612E0,-2.490538025E1,-1.965057373E1,3.295338669E1
1.748069333E0,-8.865905762E0,-2.497713852E1,-1.965307617E1,3.299553207E1
1.758027333E0,-8.794662476E0,-2.501198196E1,-1.971917725E1,3.304226507E1
1.767985333E0,-8.757553101E0,-2.508411026E1,-1.960226440E1,3.301751192E1
1.777943333E0,-8.625793457E0,-2.524280167E1,-1.974929810E1,3.319093436E1
1.787901333E0,-8.597595215E0,-2.532874870E1,-1.985336304E1,3.331096183E1
1.797860333E0,-8.541763306E0,-2.511809158E1,-1.976541138E1,3.308401022E1
1.807818333E0,-8.441207886E0,-2.521031570E1,-1.961679077E1,3.303986212E1
1.817776333E0,-8.191543579E0,-2.512829781E1,-1.970651245E1,3.296785358E1
1.827734333E0,-7.948822021E0,-2.521280670E1,-1.984472656E1,3.305574936E1
1.837692333E0,-7.845123291E0,-2.524014282E1,-1.981231689E1,3.303238820E1
1.847651333E0,-7.650756836E0,-2.535330582E1,-1.995703125E1,3.316032708E1
1.857609333E0,-7.607864380E0,-2.529119873E1,-1.974288940E1,3.297432358E1
1.867567333E0,-7.561935425E0,-2.523237991E1,-1.960372925E1,3.283537824E1
1.877525333E0,-7.555236816E0,-2.542175674E1,-1.959579468E1,3.297487662E1
1.887483333E0,-7.562713623E0,-2.560858917E1,-1.965777588E1,3.315754257E1
1.897441333E0,-7.596237183E0,-2.555215645E1,-1.987976074E1,3.325387805E1
1.907400333E0,-7.403503418E0,-2.554332161E1,-1.976583862E1,3.313550238E1
1.917358333E0,-7.456100464E0,-2.564534950E1,-1.972354126E1,3.320083531E1
1.927316333E0,-7.456100464E0,-2.564534950E1,-1.972354126E1,3.320083531E1
1.937274333E0,-7.290664673E0,-2.554578590E1,-1.980899048E1,3.313815132E1
1.947232333E0,-7.379440308E0,-2.567572021E1,-1.967309570E1,3.317724284E1
1.957191333E0,-7.278564453E0,-2.565496635E1,-1.987463379E1,3.325892162E1
1.967149333E0,-7.354614258E0,-2.578129578E1,-1.997793579E1,3.343476456E1
1.977107333E0,-7.367050171E0,-2.592387772E1,-1.976623535E1,3.342192281E1
1.987065333E0,-7.191711426E0,-2.580564117E1,-1.999432373E1,3.342790468E1
1.997023333E0,-7.143936157E0,-2.574259186E1,-1.995254517E1,3.334397874E1
2.006982333E0,-7.074188232E0,-2.579487228E1,-2.014590454E1,3.348547514E1
2.016940333E0,-6.916870117E0,-2.562978935E1,-2.005279541E1,3.326926206E1
2.026898333E0,-6.761672974E0,-2.554766655E1,-2.001815796E1,3.315313161E1
2.036856333E0,-6.657623291E0,-2.558334923E1,-2.027487183E1,3.331519373E1
2.046814333E0,-6.543151855E0,-2.548849297E1,-2.031701660E1,3.324540981E1
2.056772333E0,-6.557708740E0,-2.542776489E1,-2.041693115E1,3.326298016E1
2.066731333E0,-6.549057007E0,-2.537662125E1,-2.054867554E1,3.330331995E1
2.076689333E0,-6.594619751E0,-2.539543533E1,-2.052975464E1,3.331498118E1
2.086647333E0,-6.700408936E0,-2.560176468E1,-2.053402710E1,3.349615058E1
2.096605333E0,-6.748260498E0,-2.570178223E1,-2.074826050E1,3.371366107E1
2.106563333E0,-6.668045044E0,-2.582090569E1,-2.067642212E1,3.374457626E1
2.116522333E0,-6.870193481E0,-2.612546158E1,-2.028494263E1,3.378192118E1
2.126480333E0,-6.804229736E0,-2.627168655E1,-2.024700928E1,3.385912641E1
2.136438333E0,-6.903778076E0,-2.635770035E1,-2.024557495E1,3.394515907E1
2.146396333E0,-7.050308228E0,-2.656334114E1,-2.022543335E1,3.412310204E1
2.156354333E0,-7.305725098E0,-2.646577072E1,-2.031842041E1,3.415624170E1
2.166313333E0,-7.545013428E0,-2.653772736E1,-2.061502075E1,3.444063416E1
2.176271333E0,-7.460418701E0,-2.640029907E1,-2.082498169E1,3.444290204E1
2.186229333E0,-7.576095581E0,-2.638756943E1,-2.093740845E1,3.452645532E1
2.196187333E0,-7.683242798E0,-2.632438660E1,-2.115258789E1,3.463289656E1
2.206145333E0,-7.845474243E0,-2.614976120E1,-2.111337280E1,3.451283802E1
2.216103333E0,-7.914260864E0,-2.625545120E1,-2.121151733E1,3.466861276E1
2.226062333E0,-7.948730469E0,-2.633152008E1,-2.112844849E1,3.468346294E1
2.236020333E0,-7.902755737E0,-2.647905350E1,-2.107550049E1,3.475299330E1
2.245978333E0,-8.009063721E0,-2.683582687E1,-2.107760620E1,3.505099412E1
2.255936333E0,-8.156204224E0,-2.698770142E1,-2.086138916E1,3.507217206E1
2.265894333E0,-8.106353760E0,-2.710055923E1,-2.073492432E1,3.507264416E1
2.275852792E0,-8.098861694E0,-2.731960487E1,-2.078713989E1,3.527120009E1
2.285810792E0,-8.206115723E0,-2.741977119E1,-2.067791748E1,3.530949531E1
2.295768792E0,-8.271987915E0,-2.755638123E1,-2.073730469E1,3.546569802E1
2.305726792E0,-8.324020386E0,-2.782268524E1,-2.069430542E1,3.566013750E1
2.315684792E0,-8.426391602E0,-2.779369545E1,-2.066271973E1,3.564325418E1
2.325643792E0,-8.379562378E0,-2.777993202E1,-2.068630981E1,3.563516666E1
2.335601792E0,-8.442352295E0,-2.780733299E1,-2.073153687E1,3.569758677E1
2.345559792E0,-8.498733521E0,-2.791126823E1,-2.075772095E1,3.580712701E1
2.355517792E0,-8.378112793E0,-2.789922714E1,-2.076907349E1,3.577588661E1
2.365475792E0,-8.288497925E0,-2.809549713E1,-2.082754517E1,3.594221466E1
2.375434792E0,-8.166793823E0,-2.817470551E1,-2.069995117E1,3.590262567E1
2.385392792E0,-8.110321045E0,-2.831477165E1,-2.060894775E1,3.594763314E1
2.395350792E0,-7.905685425E0,-2.846723366E1,-2.039572144E1,3.590081764E1
2.405308792E0,-7.760070801E0,-2.845972443E1,-2.031872559E1,3.581934146E1
2.415266792E0,-7.805206299E0,-2.871780396E1,-2.032644653E1,3.603883930E1
2.425224792E0,-7.707260132E0,-2.888222885E1,-2.024609375E1,3.610386841E1
2.435183792E0,-7.707260132E0,-2.888222885E1,-2.024609375E1,3.610386841E1
2.445141792E0,-7.593124390E0,-2.866897392E1,-2.029486084E1,3.593670798E1
2.455099792E0,-7.604797363E0,-2.883296394E1,-2.035025024E1,3.610132183E1
2.465057792E0,-7.567916870E0,-2.892972946E1,-2.028753662E1,3.613567150E1
2.475015792E0,-7.636322021E0,-2.905934525E1,-2.038931274E1,3.631092169E1
2.484974792E0,-7.540893555E0,-2.908249283E1,-2.032415771E1,3.627296309E1
2.494932792E0,-7.436508179E0,-2.916270828E1,-2.037512207E1,3.634433667E1
2.504890792E0,-7.308120728E0,-2.907732964E1,-2.033224487E1,3.622568024E1
2.514848792E0,-7.298324585E0,-2.918044090E1,-2.023464966E1,3.625196160E1
2.524806792E0,-7.396682739E0,-2.926016426E1,-2.039260864E1,3.642425861E1
2.534765792E0,-7.176651001E0,-2.918071365E1,-2.033529663E1,3.628419295E1
2.544723792E0,-7.291198730E0,-2.928719330E1,-2.015008545E1,3.628949178E1
2.554681792E0,-7.014984131E0,-2.929227257E1,-2.000723267E1,3.615987546E1
2.564639792E0,-6.953521729E0,-2.934453201E1,-2.035006714E1,3.638101505E1
2.574597792E0,-6.889144897E0,-2.943019485E1,-2.011770630E1,3.630866003E1
2.584555792E0,-6.844268799E0,-2.944791603E1,-2.005215454E1,3.627826726E1
2.594514792E0,-6.788406372E0,-2.949570847E1,-2.001361084E1,3.628531243E1
2.604472792E0,-6.697341919E0,-2.954780960E1,-2.008895874E1,3.635235487E1
2.614430792E0,-6.758605957E0,-2.951611519E1,-2.065734863E1,3.665522968E1
2.624388792E0,-6.860702515E0,-2.944228554E1,-2.084667969E1,3.672194808E1
2.634346792E0,-6.793426514E0,-2.923435974E1,-2.078442383E1,3.650740620E1
2.644305792E0,-6.766174316E0,-2.932576752E1,-2.107788086E1,3.674314653E1
2.654263792E0,-6.623046875E0,-2.916469383E1,-2.095410156E1,3.651737242E1
2.664221792E0,-6.474792480E0,-2.910163689E1,-2.102218628E1,3.647959050E1
2.674179792E0,-6.294754028E0,-2.917209816E1,-2.113021851E1,3.656667025E1
2.684137792E0,-6.216354370E0,-2.914814949E1,-2.108792114E1,3.650969869E1
2.694095792E0,-6.089218140E0,-2.917872047E1,-2.101956177E1,3.647325435E1
2.704054792E0,-5.984512329E0,-2.911611938E1,-2.099749756E1,3.639309961E1
2.714012792E0,-5.863159180E0,-2.904363441E1,-2.112280273E1,3.638793936E1
2.723970792E0,-5.802886963E0,-2.893270683E1,-2.118200684E1,3.632426786E1
2.733928792E0,-5.875122070E0,-2.892718124E1,-2.126327515E1,3.637891895E1
2.743886792E0,-5.929351807E0,-2.886152077E1,-2.121914673E1,3.630973398E1
2.753845792E0,-5.907485962E0,-2.886224174E1,-2.140765381E1,3.641723535E1
2.763803792E0,-5.735717773E0,-2.856581688E1,-2.151522827E1,3.621890942E1
2.773761792E0,-5.785476685E0,-2.845913887E1,-2.175805664E1,3.628784031E1
2.783719792E0,-5.751373291E0,-2.851362801E1,-2.168109131E1,3.627912619E1
2.793677792E0,-5.695129395E0,-2.834144592E1,-2.193255615E1,3.628648612E1
2.803635792E0,-5.670333862E0,-2.825575256E1,-2.209436035E1,3.631392293E1
2.813594792E0,-5.597106934E0,-2.814995193E1,-2.229992676E1,3.634603325E1
2.823552792E0,-5.528823853E0,-2.813756752E1,-2.226467896E1,3.630435963E1
2.833510792E0,-5.331283569E0,-2.801537514E1,-2.218405151E1,3.613054068E1
2.843468792E0,-5.069229126E0,-2.816153145E1,-2.233401489E1,3.629844568E1
2.853426792E0,-4.896240234E0,-2.800767708E1,-2.228378296E1,3.612437026E1
2.863385792E0,-4.855453491E0,-2.804899025E1,-2.203744507E1,3.599958705E1
2.873343792E0,-4.699020386E0,-2.808035278E1,-2.189184570E1,3.591434133E1
2.883301792E0,-4.625961304E0,-2.825230980E1,-2.185556030E1,3.601746858E1
2.893259792E0,-4.585754395E0,-2.830493927E1,-2.182223511E1,3.603343830E1
2.903217792E0,-4.434967041E0,-2.840569687E1,-2.177017212E1,3.606234797E1
2.913176792E0,-4.166122437E0,-2.849880028E1,-2.170230103E1,3.606283493E1
2.923134792E0,-4.105957031E0,-2.853409576E1,-2.156906128E1,3.600385964E1
2.933092792E0,-3.899154663E0,-2.861651421E1,-2.170425415E1,3.612731571E1
2.943050792E0,-3.816284180E0,-2.861730957E1,-2.146411133E1,3.597530413E1
2.953008792E0,-3.816284180E0,-2.861730957E1,-2.146411133E1,3.597530413E1
2.962966792E0,-3.712295532E0,-2.873337746E1,-2.145996094E1,3.605437618E1
2.972925792E0,-3.573028564E0,-2.876729393E1,-2.169335938E1,3.620670620E1
2.982883792E0,-3.289230347E0,-2.877270126E1,-2.137966919E1,3.599691138E1
2.992841792E0,-3.247161865E0,-2.899599838E1,-2.117733765E1,3.605262282E1
3.002799792E0,-3.164993286E0,-2.901029778E1,-2.104742432E1,3.598067023E1
3.012757792E0,-3.099853516E0,-2.917555428E1,-2.113562012E1,3.615987413E1
3.022716792E0,-2.879333496E0,-2.926436234E1,-2.096694946E1,3.611518287E1
