"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.931000061E-3,-3.009910583E1,-5.844462204E1,-3.544338989E1,7.468576775E1
1.488899998E-2,-3.001251984E1,-5.833242416E1,-3.545935059E1,7.457069531E1
2.484700002E-2,-3.002996826E1,-5.837694168E1,-3.559207153E1,7.467571138E1
3.480599995E-2,-2.998927307E1,-5.829587555E1,-3.545758057E1,7.453191011E1
4.476399999E-2,-2.998927307E1,-5.829587555E1,-3.545758057E1,7.453191011E1
5.472200003E-2,-3.013373566E1,-5.829497147E1,-3.556216431E1,7.463922061E1
6.467999995E-2,-3.011895752E1,-5.816612625E1,-3.547280884E1,7.449006653E1
7.463900000E-2,-3.025510406E1,-5.822933578E1,-3.560165405E1,7.465590827E1
8.459700004E-2,-3.033762360E1,-5.824447632E1,-3.572686768E1,7.476094904E1
9.455499996E-2,-3.023004913E1,-5.810615540E1,-3.580578613E1,7.464740777E1
1.045130000E-1,-3.032222748E1,-5.816094971E1,-3.580108643E1,7.472517206E1
1.144710000E-1,-3.033253479E1,-5.806021500E1,-3.607556152E1,7.478300189E1
1.244300000E-1,-3.028119659E1,-5.804630280E1,-3.618597412E1,7.480473821E1
1.343880000E-1,-3.013864899E1,-5.805045319E1,-3.612686157E1,7.472177330E1
1.443460000E-1,-3.003082275E1,-5.785882568E1,-3.615567017E1,7.454345384E1
1.543040000E-1,-3.009973907E1,-5.780157852E1,-3.626574707E1,7.458030023E1
1.642630000E-1,-3.012230682E1,-5.790191269E1,-3.651812744E1,7.479009622E1
1.742210001E-1,-3.009938812E1,-5.784578323E1,-3.643109131E1,7.469492765E1
1.841790000E-1,-3.023793793E1,-5.784626770E1,-3.622354126E1,7.465030823E1
1.941370000E-1,-3.025489807E1,-5.783573151E1,-3.626129150E1,7.466734198E1
2.040950001E-1,-3.024810028E1,-5.786722565E1,-3.628118896E1,7.469864823E1
2.140540000E-1,-3.020645905E1,-5.779293442E1,-3.653881836E1,7.474984069E1
2.240120000E-1,-3.034465790E1,-5.772248077E1,-3.665216064E1,7.480684414E1
2.339700001E-1,-3.026371765E1,-5.754405212E1,-3.688784790E1,7.475241711E1
2.439280000E-1,-3.024034882E1,-5.749224091E1,-3.682479858E1,7.467196429E1
2.538870000E-1,-3.028220367E1,-5.744455338E1,-3.690301514E1,7.469083677E1
2.638450000E-1,-3.027013397E1,-5.738975906E1,-3.700631714E1,7.469493265E1
2.738030000E-1,-3.045684814E1,-5.749182892E1,-3.713354492E1,7.491214955E1
2.837610000E-1,-3.039558411E1,-5.737538910E1,-3.741091919E1,7.493599724E1
2.937200000E-1,-3.058122253E1,-5.736513138E1,-3.731710815E1,7.495689448E1
3.036780000E-1,-3.061213684E1,-5.728446579E1,-3.757757568E1,7.503790467E1
3.136360000E-1,-3.064263916E1,-5.728301239E1,-3.752569580E1,7.502328098E1
3.235940000E-1,-3.084109497E1,-5.731580734E1,-3.776116943E1,7.524746393E1
3.335520000E-1,-3.074462891E1,-5.725786591E1,-3.745123291E1,7.500860125E1
3.435110000E-1,-3.084577942E1,-5.740438461E1,-3.745687866E1,7.516477393E1
3.534690000E-1,-3.087674713E1,-5.735091782E1,-3.744897461E1,7.513272913E1
3.634270000E-1,-3.088925934E1,-5.744160843E1,-3.759689331E1,7.528088142E1
3.733850000E-1,-3.087768555E1,-5.741876602E1,-3.762313843E1,7.527181877E1
3.833440000E-1,-3.091643524E1,-5.751194000E1,-3.751925659E1,7.530699719E1
3.933020000E-1,-3.101161957E1,-5.751427841E1,-3.767678833E1,7.542647512E1
4.032600001E-1,-3.118466187E1,-5.755244064E1,-3.747537231E1,7.542658742E1
4.132180000E-1,-3.124560547E1,-5.758842087E1,-3.754812622E1,7.551540149E1
4.231760000E-1,-3.148747253E1,-5.764033890E1,-3.734704590E1,7.555575049E1
4.331350001E-1,-3.155189514E1,-5.760141754E1,-3.754147339E1,7.564924067E1
4.430930000E-1,-3.163943481E1,-5.770041656E1,-3.794039917E1,7.595963268E1
4.530510000E-1,-3.171278381E1,-5.765478134E1,-3.800656128E1,7.598863842E1
4.630090001E-1,-3.156977844E1,-5.766938782E1,-3.795437622E1,7.591405586E1
4.729680000E-1,-3.169953918E1,-5.749174881E1,-3.795285034E1,7.583258412E1
