"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.054166635E-3,1.084586334E1,-2.076725388E1,-2.058856201E1,3.118974945E1
1.701016654E-2,1.093778229E1,-2.067243576E1,-2.071939087E1,3.124544510E1
2.696716646E-2,1.092841339E1,-2.064114380E1,-2.067895508E1,3.119465050E1
3.692416660E-2,1.098719788E1,-2.064554024E1,-2.074685669E1,3.126321979E1
4.688116652E-2,1.106231689E1,-2.067796707E1,-2.067163086E1,3.126130995E1
5.683816667E-2,1.102228546E1,-2.069555855E1,-2.074868774E1,3.130982216E1
6.679516658E-2,1.110823059E1,-2.071011734E1,-2.047225952E1,3.116753370E1
7.675116649E-2,1.107271576E1,-2.069245911E1,-2.048626709E1,3.115236809E1
8.670816664E-2,1.111492920E1,-2.065815735E1,-2.048400879E1,3.114314904E1
9.666516655E-2,1.100636292E1,-2.077769470E1,-2.070773315E1,3.133149907E1
1.066221665E-1,1.097484589E1,-2.073470497E1,-2.048400879E1,3.114433895E1
1.165791666E-1,1.084685516E1,-2.074922562E1,-2.027874756E1,3.097438027E1
1.265351665E-1,1.086708069E1,-2.078165054E1,-2.068026733E1,3.126729760E1
1.364921667E-1,1.085697937E1,-2.074788284E1,-2.057723999E1,3.117324893E1
1.464491666E-1,1.091595459E1,-2.085508347E1,-2.059304810E1,3.127564869E1
1.564061665E-1,1.098776245E1,-2.079047203E1,-2.060757446E1,3.126734361E1
1.663631666E-1,1.103515625E1,-2.064958382E1,-2.063323975E1,3.120754024E1
1.763201666E-1,1.094911957E1,-2.065631485E1,-2.061331177E1,3.116849667E1
1.862761665E-1,1.099729156E1,-2.066838264E1,-2.074978638E1,3.128379928E1
1.962331666E-1,1.113815308E1,-2.057741547E1,-2.095834351E1,3.141242817E1
2.061901665E-1,1.121331787E1,-2.061111450E1,-2.105041504E1,3.152263492E1
2.161471664E-1,1.115758514E1,-2.050547791E1,-2.085623169E1,3.130413280E1
2.261041666E-1,1.121269989E1,-2.035138512E1,-2.091625977E1,3.126329217E1
2.360601665E-1,1.118062592E1,-2.036354828E1,-2.104742432E1,3.134764050E1
2.460171666E-1,1.123300171E1,-2.028799057E1,-2.103906250E1,3.131173965E1
2.559741666E-1,1.139791870E1,-2.016887665E1,-2.105450439E1,3.130476467E1
2.659311665E-1,1.148020172E1,-2.018159485E1,-2.106259155E1,3.134843800E1
2.758881666E-1,1.145356750E1,-1.996509552E1,-2.116281128E1,3.126745639E1
2.858451665E-1,1.132870483E1,-1.991316986E1,-2.120989990E1,3.122072614E1
2.958011664E-1,1.140815735E1,-1.987829590E1,-2.131127930E1,3.129637882E1
3.057581666E-1,1.146926117E1,-1.975953674E1,-2.124520874E1,3.119843167E1
3.157151665E-1,1.128303528E1,-1.983321762E1,-2.140643311E1,3.128735822E1
3.256721667E-1,1.122018433E1,-1.981683350E1,-2.112133789E1,3.105978655E1
3.356291666E-1,1.129547882E1,-1.982028008E1,-2.136135864E1,3.125282367E1
3.455851665E-1,1.116555786E1,-1.991777039E1,-2.139102173E1,3.128838555E1
3.555421666E-1,1.117079926E1,-1.994793892E1,-2.137304688E1,3.129719086E1
3.654991665E-1,1.089881897E1,-2.007654572E1,-2.145422363E1,3.133904361E1
3.754561665E-1,1.087751770E1,-2.009226799E1,-2.150286865E1,3.137503760E1
3.854131666E-1,1.095412445E1,-2.009000778E1,-2.159329224E1,3.146222377E1
3.953701665E-1,1.090053558E1,-2.013325691E1,-2.155105591E1,3.144229191E1
4.053261667E-1,1.089506531E1,-2.022996902E1,-2.162057495E1,3.155001357E1
4.152831666E-1,1.089506531E1,-2.022996902E1,-2.162057495E1,3.155001357E1
4.252401665E-1,1.097771454E1,-2.012336731E1,-2.147668457E1,3.141191030E1
4.351971666E-1,1.101766968E1,-2.011933708E1,-2.148867798E1,3.143151366E1
4.451541665E-1,1.094105530E1,-2.021387863E1,-2.144647217E1,3.143658297E1
4.551101665E-1,1.080980682E1,-2.025687790E1,-2.150650024E1,3.145985662E1
4.650671666E-1,1.066666412E1,-2.030645752E1,-2.176101685E1,3.161758679E1
4.750241665E-1,1.060473633E1,-2.016821480E1,-2.149194336E1,3.132285029E1
4.849811667E-1,1.066054535E1,-2.024304008E1,-2.152481079E1,3.141250354E1
