"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.333083242E-3,1.061387634E1,-2.581301498E1,-3.334548950E0,2.810845656E1
1.829008316E-2,1.065417480E1,-2.595402908E1,-3.418395996E0,2.826320041E1
2.824708330E-2,1.070953369E1,-2.585137177E1,-3.518676758E0,2.820228041E1
3.820308321E-2,1.078047180E1,-2.580900955E1,-3.176223755E0,2.814981250E1
4.816008313E-2,1.077680969E1,-2.587111664E1,-3.507690430E0,2.824461356E1
5.811708327E-2,1.085018921E1,-2.582703018E1,-3.383361816E0,2.821717971E1
6.807408319E-2,1.084802246E1,-2.577422333E1,-3.327651978E0,2.816138220E1
7.803108334E-2,1.087982178E1,-2.579817581E1,-3.291534424E0,2.819132129E1
8.798708324E-2,1.099478149E1,-2.558465385E1,-3.215240479E0,2.803207991E1
9.794408316E-2,1.089154053E1,-2.559089661E1,-3.090072632E0,2.798335564E1
1.079010833E-1,1.084281921E1,-2.556358147E1,-3.057586670E0,2.793585979E1
1.178580832E-1,1.090509033E1,-2.561258125E1,-3.018676758E0,2.800067362E1
1.278140831E-1,1.087117004E1,-2.560186768E1,-3.047561646E0,2.798080768E1
1.377710833E-1,1.086528015E1,-2.574682999E1,-2.948745728E0,2.810068804E1
1.477280832E-1,1.086587524E1,-2.577213860E1,-3.015136719E0,2.813114683E1
1.576850833E-1,1.100857544E1,-2.559432602E1,-3.210693359E0,2.804579843E1
1.676410832E-1,1.094067383E1,-2.557430649E1,-3.028167725E0,2.798058784E1
1.775980832E-1,1.104010010E1,-2.552035904E1,-3.221191406E0,2.799193830E1
1.875550833E-1,1.090084839E1,-2.566504478E1,-3.261962891E0,2.807424837E1
1.975120832E-1,1.094548035E1,-2.567650986E1,-3.401138306E0,2.811857820E1
2.074690831E-1,1.086856079E1,-2.574041176E1,-3.331893921E0,2.813886864E1
2.174250833E-1,1.095446777E1,-2.573909187E1,-3.453643799E0,2.818561460E1
2.273820832E-1,1.102565002E1,-2.564394379E1,-3.467422485E0,2.812827457E1
2.373390833E-1,1.100221252E1,-2.561171150E1,-3.370941162E0,2.807795738E1
2.472960833E-1,1.096284485E1,-2.562215424E1,-3.452911377E0,2.808204679E1
2.572520832E-1,1.096284485E1,-2.562215424E1,-3.452911377E0,2.808204679E1
2.672090833E-1,1.098188782E1,-2.549618721E1,-3.531173706E0,2.798439940E1
2.771660832E-1,1.101281738E1,-2.551577759E1,-3.393218994E0,2.799733894E1
2.871230831E-1,1.108593750E1,-2.554329491E1,-3.217803955E0,2.803055810E1
2.970800833E-1,1.109461975E1,-2.556198692E1,-3.297561646E0,2.806028645E1
3.070360832E-1,1.110910034E1,-2.552062988E1,-3.289840698E0,2.802744569E1
3.169930833E-1,1.106001282E1,-2.543985939E1,-3.209625244E0,2.792511457E1
3.269500833E-1,1.101792908E1,-2.541770172E1,-3.287643433E0,2.789736406E1
3.369070832E-1,1.100254822E1,-2.549949837E1,-3.191879272E0,2.795475948E1
3.468630833E-1,1.089947510E1,-2.554475212E1,-3.363433838E0,2.797580393E1
3.568200832E-1,1.097106934E1,-2.545657158E1,-3.552841187E0,2.794680804E1
3.667770831E-1,1.087710571E1,-2.549781036E1,-3.612792969E0,2.795535790E1
3.767340833E-1,1.084443665E1,-2.556518745E1,-3.610366821E0,2.800384553E1
3.866910832E-1,1.083406067E1,-2.541563416E1,-3.702056885E0,2.787537543E1
3.966470831E-1,1.077899170E1,-2.542234421E1,-3.840682983E0,2.787890050E1
4.066040833E-1,1.064906311E1,-2.545356369E1,-3.880844116E0,2.786301134E1
4.165610832E-1,1.061767578E1,-2.540359116E1,-3.904861450E0,2.780872931E1
4.265180833E-1,1.063790894E1,-2.542634010E1,-3.887390137E0,2.783479261E1
4.364740832E-1,1.059162903E1,-2.543734550E1,-4.206405640E0,2.787355378E1
4.464310831E-1,1.055366516E1,-2.547619438E1,-4.315048218E0,2.791121584E1
4.563880833E-1,1.055943298E1,-2.550537109E1,-4.169067383E0,2.791785634E1
4.663450832E-1,1.061576843E1,-2.542500496E1,-4.344589233E0,2.789266700E1
4.763020831E-1,1.058157349E1,-2.542460823E1,-4.211685181E0,2.785890689E1
4.862580833E-1,1.053100586E1,-2.536922646E1,-4.262039185E0,2.779684718E1
