"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.526375026E-3,1.606416321E1,-2.685502243E1,-5.316513062E0,3.174137490E1
1.548437506E-2,1.598465729E1,-2.689397812E1,-5.360519409E0,3.174162088E1
2.544237499E-2,1.595822144E1,-2.687577820E1,-5.348724365E0,3.171089935E1
3.540037503E-2,1.594892120E1,-2.700104904E1,-5.510711670E0,3.184011118E1
4.535837506E-2,1.579367065E1,-2.697057152E1,-5.390991211E0,3.171615593E1
5.531637499E-2,1.588092041E1,-2.696139526E1,-5.551925659E0,3.177962155E1
6.527437503E-2,1.593042755E1,-2.683473396E1,-5.524642944E0,3.169232002E1
7.523337507E-2,1.588839722E1,-2.695179367E1,-5.476699829E0,3.176215656E1
8.519137499E-2,1.580702209E1,-2.692852020E1,-5.266128540E0,3.166605845E1
9.514937503E-2,1.570411682E1,-2.694750595E1,-5.482971191E0,3.166781229E1
1.051073751E-1,1.565194702E1,-2.691054535E1,-5.412612915E0,3.159837456E1
1.150653750E-1,1.564900970E1,-2.706069756E1,-5.503631592E0,3.174055478E1
1.250233750E-1,1.574397278E1,-2.694748688E1,-5.416656494E0,3.167617236E1
1.349813751E-1,1.581368256E1,-2.703846359E1,-5.434738159E0,3.179131089E1
1.449393750E-1,1.581368256E1,-2.703846359E1,-5.434738159E0,3.179131089E1
1.548983750E-1,1.583824158E1,-2.684180069E1,-5.187988281E0,3.159505314E1
1.648563751E-1,1.574653625E1,-2.696479797E1,-5.384201050E0,3.168664316E1
1.748143750E-1,1.569725800E1,-2.675434494E1,-5.030166626E0,3.142453592E1
1.847723750E-1,1.570079041E1,-2.665664673E1,-5.288772583E0,3.138570932E1
1.947303751E-1,1.573791504E1,-2.667854118E1,-5.307266235E0,3.142600204E1
2.046883750E-1,1.580570221E1,-2.663997269E1,-5.263488770E0,3.141994082E1
2.146463750E-1,1.577992249E1,-2.666969299E1,-5.316513062E0,3.144111622E1
2.246043751E-1,1.577674866E1,-2.667571640E1,-5.411315918E0,3.146080075E1
2.345633750E-1,1.574981689E1,-2.663227081E1,-5.319381714E0,3.139475120E1
2.445213750E-1,1.559790802E1,-2.659585762E1,-5.262756348E0,3.127828291E1
2.544793750E-1,1.562133026E1,-2.651694107E1,-5.350204468E0,3.123777858E1
2.644373750E-1,1.565221405E1,-2.638178635E1,-5.457015991E0,3.115717380E1
2.743953750E-1,1.567829895E1,-2.650745010E1,-5.423385620E0,3.127086632E1
2.843533750E-1,1.562979126E1,-2.656120682E1,-5.499404907E0,3.130545538E1
2.943113750E-1,1.561527252E1,-2.654578781E1,-5.692611694E0,3.131966498E1
3.042693750E-1,1.573648071E1,-2.639289856E1,-5.775894165E0,3.126632171E1
3.142283750E-1,1.561082458E1,-2.627179337E1,-5.779098511E0,3.110149434E1
3.241863750E-1,1.548600769E1,-2.633677101E1,-5.656097412E0,3.107142384E1
3.341443751E-1,1.559339905E1,-2.632079124E1,-5.827331543E0,3.114315235E1
3.441023750E-1,1.555220032E1,-2.611892700E1,-5.853897095E0,3.095702495E1
3.540603750E-1,1.559336090E1,-2.610406876E1,-5.727066040E0,3.094147048E1
3.640183751E-1,1.557421112E1,-2.604471207E1,-5.813934326E0,3.089797584E1
3.739763750E-1,1.548294067E1,-2.616289520E1,-5.845550537E0,3.095785843E1
3.839343750E-1,1.551302338E1,-2.609825325E1,-5.877716064E0,3.092442826E1
3.938933751E-1,1.547532654E1,-2.609326172E1,-5.964874268E0,3.091801681E1
4.038513750E-1,1.552435303E1,-2.607842255E1,-6.111862183E0,3.095875512E1
4.138093750E-1,1.561937714E1,-2.613419533E1,-6.030197144E0,3.103746744E1
4.237673751E-1,1.549416351E1,-2.612456894E1,-6.224487305E0,3.100494231E1
4.337253750E-1,1.561334229E1,-2.603498077E1,-6.199813843E0,3.098442145E1
4.436833750E-1,1.562587738E1,-2.599505234E1,-5.989242554E0,3.091572118E1
4.536413751E-1,1.559865570E1,-2.595307922E1,-6.037918091E0,3.087615319E1
4.635993750E-1,1.546279144E1,-2.601481628E1,-6.373107910E0,3.092709314E1
4.735573750E-1,1.540898132E1,-2.596727371E1,-6.267288208E0,3.083852965E1
4.835163751E-1,1.542269897E1,-2.603883362E1,-6.073089600E0,3.086685791E1
4.934743750E-1,1.535269165E1,-2.609078979E1,-6.167129517E0,3.089446454E1
5.034323750E-1,1.535920715E1,-2.616328049E1,-6.093002319E0,3.094425904E1
5.133903751E-1,1.536809540E1,-2.594931602E1,-6.178817749E0,3.078511243E1
5.233483750E-1,1.530797577E1,-2.596927452E1,-5.921752930E0,3.072140132E1
5.333063750E-1,1.518556976E1,-2.606025314E1,-5.966415405E0,3.074632394E1
5.432643751E-1,1.534033203E1,-2.602999496E1,-5.885787964E0,3.078195778E1
5.532223750E-1,1.533054352E1,-2.611427689E1,-5.854278564E0,3.084239938E1
5.631813750E-1,1.528961182E1,-2.598807144E1,-5.853378296E0,3.071504720E1
5.731393751E-1,1.516460419E1,-2.605399895E1,-5.658294678E0,3.067233900E1
5.830973750E-1,1.505824280E1,-2.603428268E1,-5.351867676E0,3.054794655E1
5.930553750E-1,1.493675995E1,-2.615880203E1,-5.379302979E0,3.059945460E1
6.030133751E-1,1.492693329E1,-2.604925537E1,-5.469726562E0,3.051712554E1
6.129713750E-1,1.483026886E1,-2.607320213E1,-5.386703491E0,3.047565124E1
6.229293750E-1,1.486163330E1,-2.595031357E1,-5.488204956E0,3.040406736E1
6.328873751E-1,1.493853760E1,-2.583930969E1,-5.496994019E0,3.034875243E1
6.428463750E-1,1.481295776E1,-2.585256958E1,-5.699493408E0,3.033584178E1
6.528043750E-1,1.481295776E1,-2.585256958E1,-5.699493408E0,3.033584178E1
6.627623751E-1,1.479335022E1,-2.578433228E1,-5.610671997E0,3.025152297E1
6.727203750E-1,1.456118011E1,-2.578699303E1,-5.596939087E0,3.013839251E1
6.826783750E-1,1.467124939E1,-2.573827934E1,-5.928634644E0,3.021346208E1
6.926363751E-1,1.464633942E1,-2.547274780E1,-5.699356079E0,2.993090040E1
7.025943750E-1,1.458939362E1,-2.545606613E1,-5.714065552E0,2.989167533E1
7.125523750E-1,1.452650452E1,-2.538840866E1,-5.818405151E0,2.982355556E1
7.225113750E-1,1.427206421E1,-2.562144279E1,-5.814559937E0,2.989915141E1
7.324693750E-1,1.427414703E1,-2.561724854E1,-5.813049316E0,2.989625793E1
7.424273751E-1,1.418811035E1,-2.568931389E1,-5.517974854E0,2.986120175E1
7.523853750E-1,1.391743469E1,-2.570873260E1,-5.431564331E0,2.973442133E1
7.623433750E-1,1.393786621E1,-2.576992035E1,-5.365951538E0,2.978500202E1
7.723013751E-1,1.381468964E1,-2.564365768E1,-5.150192261E0,2.957984634E1
7.822593750E-1,1.371508789E1,-2.571865082E1,-5.239013672E0,2.961418410E1
7.922173750E-1,1.357360840E1,-2.575858307E1,-5.109100342E0,2.956095995E1
8.021753751E-1,1.334755707E1,-2.582780457E1,-4.868713379E0,2.947773971E1
8.121343750E-1,1.319577789E1,-2.580449677E1,-4.859024048E0,2.938725442E1
8.220923750E-1,1.305680084E1,-2.572858810E1,-4.803726196E0,2.924920648E1
8.320503751E-1,1.295158386E1,-2.582090378E1,-4.815673828E0,2.928571855E1
8.420083750E-1,1.291970825E1,-2.577164078E1,-4.662734985E0,2.920338041E1
8.519663750E-1,1.263718414E1,-2.590135002E1,-4.330352783E0,2.914327214E1
8.619243751E-1,1.272222137E1,-2.593763351E1,-4.481338501E0,2.923522095E1
8.718823750E-1,1.247551727E1,-2.602392578E1,-4.418685913E0,2.919602763E1
8.818403750E-1,1.238605499E1,-2.593161774E1,-4.274383545E0,2.905397583E1
8.917993751E-1,1.206255341E1,-2.598617935E1,-4.377944946E0,2.898194462E1
9.017573750E-1,1.202126312E1,-2.601953316E1,-4.534088135E0,2.901869790E1
9.117153750E-1,1.192401886E1,-2.587434769E1,-4.399566650E0,2.882742237E1
9.216733751E-1,1.185553741E1,-2.584549141E1,-4.201965332E0,2.874368985E1
9.316313750E-1,1.180680084E1,-2.578500175E1,-4.240829468E0,2.867492801E1
9.415891251E-1,1.174159241E1,-2.584443665E1,-4.194839478E0,2.869488763E1
9.515471250E-1,1.174687195E1,-2.587035942E1,-4.307037354E0,2.873699824E1
9.615051250E-1,1.169667816E1,-2.581749153E1,-4.270828247E0,2.866348065E1
9.714631251E-1,1.159626007E1,-2.583917618E1,-4.023468018E0,2.860637286E1
9.814221250E-1,1.159931946E1,-2.586095810E1,-4.024261475E0,2.862740027E1
9.913801251E-1,1.143730164E1,-2.586246490E1,-3.679107666E0,2.851692117E1
1.001338125E0,1.150164032E1,-2.573834229E1,-3.660308838E0,2.842794144E1
1.011296125E0,1.119295502E1,-2.586583710E1,-3.675491333E0,2.842240326E1
1.021254125E0,1.111815643E1,-2.592307281E1,-3.395828247E0,2.841039873E1
1.031212125E0,1.115508270E1,-2.574969673E1,-3.298309326E0,2.825529324E1
1.041170125E0,1.110427094E1,-2.578299713E1,-3.258483887E0,2.826102424E1
1.051128125E0,1.106752014E1,-2.574298096E1,-3.213287354E0,2.820489827E1
1.061087125E0,1.098740387E1,-2.580095291E1,-3.117843628E0,2.821583179E1
1.071045125E0,1.093486786E1,-2.579659271E1,-3.096008301E0,2.818901910E1
1.081003125E0,1.105149841E1,-2.580802536E1,-3.124114990E0,2.824800674E1
1.090961125E0,1.099547577E1,-2.582591629E1,-3.015853882E0,2.823072465E1
1.100919125E0,1.108744049E1,-2.567796707E1,-3.021286011E0,2.813214351E1
1.110877125E0,1.092356110E1,-2.575204849E1,-2.927093506E0,2.812579003E1
1.120835125E0,1.099184418E1,-2.561135864E1,-2.805725098E0,2.801132670E1
1.130793125E0,1.102244568E1,-2.567857742E1,-2.814025879E0,2.808562602E1
1.140751125E0,1.085797119E1,-2.566153145E1,-2.705169678E0,2.799513668E1
1.150710125E0,1.074229431E1,-2.556540108E1,-2.488998413E0,2.784208563E1
1.160668125E0,1.074229431E1,-2.556540108E1,-2.488998413E0,2.784208563E1
1.170626125E0,1.079624939E1,-2.560085297E1,-2.448303223E0,2.789187807E1
1.180584125E0,1.068417358E1,-2.568261719E1,-2.232131958E0,2.790574858E1
1.190542125E0,1.079264832E1,-2.544309616E1,-2.270050049E0,2.773058829E1
1.200500125E0,1.070677185E1,-2.552889633E1,-2.266967773E0,2.777586460E1
1.210458125E0,1.098992157E1,-2.550577545E1,-2.094009399E0,2.785153197E1
1.220416125E0,1.089379883E1,-2.543434525E1,-2.116577148E0,2.774996702E1
1.230374125E0,1.092891693E1,-2.530919838E1,-2.280960083E0,2.766224009E1
1.240333125E0,1.110554504E1,-2.537161636E1,-2.332260132E0,2.779373104E1
1.250291125E0,1.117576599E1,-2.515525627E1,-2.315658569E0,2.762330426E1
1.260249125E0,1.123546600E1,-2.523195076E1,-2.370986938E0,2.772198793E1
1.270207125E0,1.115461731E1,-2.504360199E1,-2.407760620E0,2.752098834E1
1.280165125E0,1.113786316E1,-2.512266922E1,-2.158798218E0,2.756557480E1
1.290123125E0,1.118851471E1,-2.494119644E1,-2.227920532E0,2.742644292E1
1.300081125E0,1.138721466E1,-2.495146179E1,-2.152359009E0,2.751139314E1
1.310039125E0,1.134262848E1,-2.479074287E1,-2.405136108E0,2.736824497E1
1.319997125E0,1.126560211E1,-2.487073135E1,-2.585494995E0,2.742538702E1
1.329956125E0,1.120539856E1,-2.464700317E1,-2.747634888E0,2.721369545E1
1.339914125E0,1.127169037E1,-2.471693802E1,-3.013015747E0,2.733233054E1
