"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.325783331E-2,-1.334718323E1,-2.004528427E1,-1.693609619E1,2.944133278E1
2.321583335E-2,-1.343145752E1,-1.996807480E1,-1.706872559E1,2.950371935E1
3.317483340E-2,-1.350115967E1,-2.001657677E1,-1.697738647E1,2.951569598E1
4.313283332E-2,-1.361317444E1,-1.985358238E1,-1.663290405E1,2.925981457E1
5.309083336E-2,-1.367630005E1,-1.988789558E1,-1.655616760E1,2.926903243E1
6.304883340E-2,-1.381286621E1,-1.966821861E1,-1.665985107E1,2.924354175E1
7.300683332E-2,-1.403738403E1,-1.966341972E1,-1.661082458E1,2.931923804E1
8.296583337E-2,-1.407917786E1,-1.939130402E1,-1.684143066E1,2.928958360E1
9.292383341E-2,-1.414617920E1,-1.922087479E1,-1.697215271E1,2.928498559E1
1.028818333E-1,-1.419866943E1,-1.891237259E1,-1.748396301E1,2.941035554E1
1.128398334E-1,-1.403843689E1,-1.865398598E1,-1.766482544E1,2.927618419E1
1.227988333E-1,-1.405764771E1,-1.838438416E1,-1.782185364E1,2.920995561E1
1.327568333E-1,-1.408596802E1,-1.832944107E1,-1.797953796E1,2.928560551E1
1.427148334E-1,-1.414273071E1,-1.800074387E1,-1.826467896E1,2.928552730E1
1.526728333E-1,-1.420799255E1,-1.800005531E1,-1.800051880E1,2.915283384E1
1.626308333E-1,-1.427549744E1,-1.798582268E1,-1.813928223E1,2.926282974E1
1.725898334E-1,-1.428742981E1,-1.816021538E1,-1.777661133E1,2.915359298E1
1.825478333E-1,-1.437300110E1,-1.811900520E1,-1.763372803E1,2.908315448E1
1.925058333E-1,-1.455120850E1,-1.833614159E1,-1.745759583E1,2.920135971E1
2.024638334E-1,-1.453625488E1,-1.818373680E1,-1.761247253E1,2.919161145E1
2.124218333E-1,-1.461662292E1,-1.827912521E1,-1.740100098E1,2.916448044E1
2.223808334E-1,-1.473645020E1,-1.822201347E1,-1.731954956E1,2.914054798E1
2.323388334E-1,-1.468252563E1,-1.826003265E1,-1.728945923E1,2.911925054E1
2.422968333E-1,-1.473504639E1,-1.795085144E1,-1.730964661E1,2.896512602E1
2.522548334E-1,-1.486386108E1,-1.796244240E1,-1.731074524E1,2.903869150E1
2.622138334E-1,-1.495739746E1,-1.777719879E1,-1.764289856E1,2.917232259E1
2.721718333E-1,-1.511199951E1,-1.769268990E1,-1.761671448E1,2.918479799E1
2.821298334E-1,-1.502651978E1,-1.750627327E1,-1.763481140E1,2.903880978E1
2.920878334E-1,-1.518673706E1,-1.744166756E1,-1.764158630E1,2.908735665E1
3.020458333E-1,-1.528381348E1,-1.728610039E1,-1.752546692E1,2.897492384E1
3.120048334E-1,-1.537979126E1,-1.711987114E1,-1.734579468E1,2.881847602E1
3.219628334E-1,-1.543374634E1,-1.713590622E1,-1.747984314E1,2.893760053E1
3.319208333E-1,-1.550318909E1,-1.706800842E1,-1.729348755E1,2.882239572E1
3.418788334E-1,-1.566403198E1,-1.706777573E1,-1.729975891E1,2.891284359E1
3.518368334E-1,-1.566430664E1,-1.692559433E1,-1.739999390E1,2.888954886E1
3.617958333E-1,-1.573785400E1,-1.665893936E1,-1.736761475E1,2.875472746E1
3.717538334E-1,-1.588751221E1,-1.655010223E1,-1.729495239E1,2.873037254E1
3.817118333E-1,-1.606391907E1,-1.651212883E1,-1.730268860E1,2.881115977E1
3.916698333E-1,-1.609869385E1,-1.637826538E1,-1.735421753E1,2.878514177E1
4.016288334E-1,-1.615039062E1,-1.629049873E1,-1.741996765E1,2.880400561E1
4.115868333E-1,-1.620042419E1,-1.621854782E1,-1.726162720E1,2.869597203E1
4.215448333E-1,-1.620042419E1,-1.621854782E1,-1.726162720E1,2.869597203E1
4.315028334E-1,-1.621812439E1,-1.615316010E1,-1.729130554E1,2.868695500E1
4.414608333E-1,-1.624905396E1,-1.612340546E1,-1.715748596E1,2.860725926E1
4.514198333E-1,-1.622163391E1,-1.613166046E1,-1.693409729E1,2.846287981E1
4.613778334E-1,-1.625042725E1,-1.602683640E1,-1.678541565E1,2.833171454E1
4.713358333E-1,-1.633728027E1,-1.612986183E1,-1.689587402E1,2.850525791E1
4.812938333E-1,-1.629682922E1,-1.611351013E1,-1.694564819E1,2.850240067E1
4.912518334E-1,-1.624548340E1,-1.602131081E1,-1.680503845E1,2.833738605E1
5.012108333E-1,-1.650306702E1,-1.599511337E1,-1.665919495E1,2.838527169E1
5.111688334E-1,-1.642652893E1,-1.601734924E1,-1.649061584E1,2.825467643E1
5.211268334E-1,-1.644740295E1,-1.581856537E1,-1.678215027E1,2.832639479E1
5.310848333E-1,-1.631410217E1,-1.580701828E1,-1.654310608E1,2.810135433E1
5.410438334E-1,-1.638185120E1,-1.596221161E1,-1.644708252E1,2.817203882E1
5.510018334E-1,-1.632141113E1,-1.593128967E1,-1.656515503E1,2.818862915E1
5.609598333E-1,-1.633004761E1,-1.586916351E1,-1.643978882E1,2.808500422E1
5.709178334E-1,-1.641072083E1,-1.592658424E1,-1.635511780E1,2.811507997E1
5.808758334E-1,-1.634396362E1,-1.564415550E1,-1.626864624E1,2.786635245E1
5.908348333E-1,-1.636892700E1,-1.559222221E1,-1.638537598E1,2.792023837E1
6.007928334E-1,-1.647207642E1,-1.553866768E1,-1.653762817E1,2.804055349E1
6.107508334E-1,-1.648313904E1,-1.548546982E1,-1.662191772E1,2.806745084E1
6.207088333E-1,-1.643489075E1,-1.543017960E1,-1.665753174E1,2.802979557E1
6.306668334E-1,-1.626712036E1,-1.532970428E1,-1.631698608E1,2.767423121E1
6.406258333E-1,-1.644857788E1,-1.537638474E1,-1.631742859E1,2.780732633E1
6.505838333E-1,-1.636123657E1,-1.541547585E1,-1.635771179E1,2.780110956E1
6.605418334E-1,-1.638699341E1,-1.533935928E1,-1.634992981E1,2.776958230E1
6.704998333E-1,-1.629080200E1,-1.514015961E1,-1.621060181E1,2.752086979E1
6.804578333E-1,-1.626727295E1,-1.497608376E1,-1.663990784E1,2.767297936E1
6.904168334E-1,-1.625245667E1,-1.477130127E1,-1.675859070E1,2.762578598E1
7.003748333E-1,-1.608900452E1,-1.441329765E1,-1.703936768E1,2.751252926E1
7.103328333E-1,-1.613632202E1,-1.436101913E1,-1.707981873E1,2.753797318E1
7.202908334E-1,-1.622334290E1,-1.434705734E1,-1.702215576E1,2.754611943E1
7.302488333E-1,-1.635513306E1,-1.448057175E1,-1.667625427E1,2.748226323E1
7.402078334E-1,-1.638642883E1,-1.448331261E1,-1.639776611E1,2.733437630E1
7.501658334E-1,-1.633639526E1,-1.460757256E1,-1.632656860E1,2.732793129E1
7.601238333E-1,-1.637139893E1,-1.463702202E1,-1.648406982E1,2.745887242E1
