"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.990666665E-3,2.449623108E1,1.975502014E0,-2.006228638E1,3.172480544E1
1.794866659E-2,2.441687012E1,2.013191223E0,-2.010833740E1,3.169513714E1
2.790766675E-2,2.433200073E1,1.959411621E0,-2.017602539E1,3.166950511E1
3.786566667E-2,2.413299561E1,1.810619354E0,-2.053894043E1,3.174157988E1
4.782366659E-2,2.398437500E1,1.743648529E0,-2.058255005E1,3.165330821E1
5.778166675E-2,2.406738281E1,1.829250336E0,-2.062875366E1,3.175107163E1
6.773966667E-2,2.396580505E1,1.770847321E0,-2.066876221E1,3.169689958E1
7.769866660E-2,2.388171387E1,1.654846191E0,-2.105242920E1,3.187913971E1
8.765666676E-2,2.379475403E1,1.706527710E0,-2.130780029E1,3.198632379E1
9.761466668E-2,2.344555664E1,1.797878265E0,-2.144552612E1,3.182510146E1
1.075726666E-1,2.328666687E1,1.824531555E0,-2.168789673E1,3.187416876E1
1.175306668E-1,2.322555542E1,1.596443176E0,-2.186102295E1,3.193555041E1
1.274895000E-1,2.314784241E1,1.461093903E0,-2.175393677E1,3.179923220E1
1.374474999E-1,2.315553284E1,1.417465210E0,-2.186154175E1,3.187655747E1
1.474055001E-1,2.337074280E1,1.255290985E0,-2.191296387E1,3.206158698E1
1.573635000E-1,2.351742554E1,1.277896881E0,-2.186029053E1,3.213369923E1
1.673214999E-1,2.374511719E1,1.129878998E0,-2.183511353E1,3.227815669E1
1.772805001E-1,2.375106812E1,1.039569855E0,-2.173956299E1,3.221494282E1
1.872385000E-1,2.389640808E1,8.262634277E-1,-2.175155640E1,3.232415871E1
1.971964999E-1,2.402456665E1,7.418556213E-1,-2.151812744E1,3.226081154E1
2.071545001E-1,2.424668884E1,6.677169800E-1,-2.150915527E1,3.241899947E1
2.171125000E-1,2.454284668E1,6.346511841E-1,-2.129064941E1,3.249685920E1
2.270714999E-1,2.466223145E1,5.725936890E-1,-2.104400635E1,3.242535623E1
2.370295001E-1,2.490875244E1,4.073257446E-1,-2.083724976E1,3.247772837E1
2.469875000E-1,2.531541443E1,4.554634094E-1,-2.072521973E1,3.272021374E1
2.569454999E-1,2.541590881E1,4.556312561E-1,-2.053555298E1,3.267850910E1
2.669035001E-1,2.549018860E1,2.697219849E-1,-2.060086060E1,3.277526387E1
2.768625000E-1,2.545791626E1,4.529800415E-1,-2.028469849E1,3.255425754E1
2.868204999E-1,2.551953125E1,5.369987488E-1,-2.028665161E1,3.260495478E1
2.967785001E-1,2.568440247E1,8.865165710E-1,-2.020382690E1,3.269050418E1
3.067365000E-1,2.558351135E1,8.323936462E-1,-2.026770020E1,3.264948091E1
3.166944999E-1,2.569703674E1,1.106414795E0,-2.042599487E1,3.284483396E1
3.266535001E-1,2.541331482E1,9.943580627E-1,-2.077618408E1,3.284014530E1
3.366115000E-1,2.540917969E1,1.088958740E0,-2.080551147E1,3.285850805E1
3.465694999E-1,2.548217773E1,1.134460449E0,-2.096173096E1,3.301548951E1
3.565275001E-1,2.546725464E1,1.227787018E0,-2.122460938E1,3.317487849E1
3.664855000E-1,2.554528809E1,1.242233276E0,-2.140084839E1,3.334818134E1
3.764444999E-1,2.577703857E1,1.002895355E0,-2.100494385E1,3.326663768E1
3.864025001E-1,2.589257812E1,5.930633545E-1,-2.081729126E1,3.322855612E1
3.963605000E-1,2.623800659E1,-7.985687256E-2,-2.038092041E1,3.322380598E1
4.063184999E-1,2.661688232E1,-4.665107727E-1,-1.994055176E1,3.326111335E1
4.162765001E-1,2.656550598E1,-4.344863892E-1,-1.994497681E1,3.322223632E1
4.262355000E-1,2.676586914E1,-3.841743469E-1,-2.002172852E1,3.342796664E1
4.361934999E-1,2.650074768E1,-3.309059143E-1,-2.031784058E1,3.339481654E1
4.461515001E-1,2.650074768E1,-3.309059143E-1,-2.031784058E1,3.339481654E1
4.561095000E-1,2.612493896E1,-2.562866211E-1,-2.074884033E1,3.336304084E1
4.660674999E-1,2.589157104E1,-1.013832092E-1,-2.116827393E1,3.344367729E1
4.760265001E-1,2.544982910E1,-2.391128540E-1,-2.196154785E1,3.361637340E1
4.859845000E-1,2.495826721E1,-3.235244751E-1,-2.254595947E1,3.363539890E1
4.959425000E-1,2.433448792E1,-4.226188660E-1,-2.334521484E1,3.372454544E1
5.059005001E-1,2.369541931E1,-2.456359863E-1,-2.393280029E1,3.367955111E1
5.158585000E-1,2.311491394E1,-2.047157288E-1,-2.434393311E1,3.357034754E1
5.258175000E-1,2.269119263E1,-2.472267151E-1,-2.490023804E1,3.368936328E1
5.357754999E-1,2.222937012E1,-2.955017090E-1,-2.540679932E1,3.376000102E1
5.457335000E-1,2.191384888E1,-3.361892700E-1,-2.564584351E1,3.373483489E1
5.556915000E-1,2.178637695E1,-3.232192993E-1,-2.616409302E1,3.404864836E1
5.656494999E-1,2.169909668E1,-2.817497253E-1,-2.603964233E1,3.389680151E1
5.756085000E-1,2.176960754E1,-2.283554077E-1,-2.603982544E1,3.394172164E1
5.855665000E-1,2.207185364E1,-1.745834351E-1,-2.590600586E1,3.403407619E1
5.955244999E-1,2.253715515E1,6.262207031E-2,-2.548245239E1,3.401885747E1
6.054825000E-1,2.298588562E1,3.110198975E-1,-2.524499512E1,3.414319038E1
