"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.624749904E-3,4.411056519E0,-3.921027374E1,-2.822369385E1,4.851267753E1
1.258274983E-2,4.783706665E0,-3.930947876E1,-2.832723999E1,4.868830964E1
2.253974997E-2,4.661010742E0,-3.934008789E1,-2.814843750E1,4.859734633E1
3.249674989E-2,5.051101685E0,-3.941844940E1,-2.868960571E1,4.901450048E1
4.245375004E-2,4.660751343E0,-3.928635406E1,-2.823648071E1,4.860492837E1
5.241074995E-2,4.890014648E0,-3.904035950E1,-2.927087402E1,4.903922898E1
6.236774987E-2,4.711120605E0,-3.872411728E1,-2.931027222E1,4.879389279E1
7.232475001E-2,4.922546387E0,-3.842940521E1,-2.981344604E1,4.888652384E1
8.228274994E-2,4.681121826E0,-3.826814270E1,-2.991592407E1,4.879883360E1
9.223974985E-2,4.986831665E0,-3.795694351E1,-3.056570435E1,4.898836936E1
1.021967500E-1,4.827224731E0,-3.788361359E1,-3.034558105E1,4.877832066E1
1.121537499E-1,5.054946899E0,-3.773608398E1,-3.071911621E1,4.892063597E1
1.221107498E-1,5.133728027E0,-3.798332596E1,-3.049853516E1,4.898212798E1
1.320677500E-1,5.133728027E0,-3.798332596E1,-3.049853516E1,4.898212798E1
1.420247499E-1,5.168960571E0,-3.803900146E1,-3.063665771E1,4.911505453E1
1.519827500E-1,4.991485596E0,-3.821268082E1,-3.019137573E1,4.895552137E1
1.619397500E-1,5.132049561E0,-3.843191910E1,-2.996243286E1,4.900099715E1
1.718967499E-1,4.971511841E0,-3.857347870E1,-2.965121460E1,4.890627481E1
1.818537500E-1,4.925018311E0,-3.868949509E1,-2.994732666E1,4.917291134E1
1.918107499E-1,4.801193237E0,-3.871886826E1,-2.958590698E1,4.896455971E1
2.017677499E-1,4.903472900E0,-3.872703171E1,-2.980355835E1,4.911292215E1
2.117247500E-1,4.777969360E0,-3.861855698E1,-2.977160645E1,4.899561699E1
2.216827499E-1,4.997650146E0,-3.847489929E1,-3.011672974E1,4.911529082E1
2.316397498E-1,4.750198364E0,-3.841149521E1,-3.031109619E1,4.916065399E1
2.415967500E-1,4.916824341E0,-3.819884872E1,-3.076074219E1,4.929047033E1
2.515537499E-1,4.771896362E0,-3.812127686E1,-3.098184204E1,4.935460749E1
2.615107500E-1,4.786315918E0,-3.781298065E1,-3.145434570E1,4.941767082E1
2.714677500E-1,4.707733154E0,-3.760796738E1,-3.146603394E1,4.926086939E1
2.814257499E-1,4.644775391E0,-3.752368164E1,-3.169619751E1,4.933811467E1
2.913827500E-1,4.559524536E0,-3.751588440E1,-3.148513794E1,4.918886823E1
3.013397499E-1,4.622314453E0,-3.755998993E1,-3.181192017E1,4.943801067E1
3.112967499E-1,4.696884155E0,-3.753917313E1,-3.186993408E1,4.946658406E1
3.212537500E-1,4.807540894E0,-3.746005630E1,-3.177764893E1,4.935774751E1
3.312107499E-1,4.931564331E0,-3.756390381E1,-3.197457886E1,4.957560780E1
3.411677498E-1,5.098098755E0,-3.748551941E1,-3.188317871E1,4.947415346E1
3.511257500E-1,5.332351685E0,-3.760057068E1,-3.208795166E1,4.971793974E1
3.610827499E-1,5.421981812E0,-3.751706696E1,-3.177365112E1,4.946203701E1
3.710397498E-1,5.630477905E0,-3.753924942E1,-3.185293579E1,4.955307303E1
3.809967500E-1,5.635742188E0,-3.766833496E1,-3.158172607E1,4.947797965E1
3.909537499E-1,5.888854980E0,-3.780059814E1,-3.163592529E1,4.964267924E1
4.009107500E-1,5.915756226E0,-3.776231003E1,-3.140032959E1,4.946684676E1
4.108677499E-1,6.158660889E0,-3.801675797E1,-3.149285889E1,4.974940352E1
4.208257499E-1,6.047149658E0,-3.805603790E1,-3.124606323E1,4.960994363E1
4.307827500E-1,6.446578979E0,-3.829863358E1,-3.124841309E1,4.984783882E1
4.407397499E-1,6.330688477E0,-3.817934799E1,-3.070541382E1,4.940205125E1
4.506967498E-1,6.701766968E0,-3.847439194E1,-3.094000244E1,4.982445450E1
4.606537500E-1,6.385879517E0,-3.843050766E1,-3.050366211E1,4.947885183E1
4.706107499E-1,6.814865112E0,-3.856534958E1,-3.082629395E1,4.983963255E1
4.805677498E-1,6.450805664E0,-3.857130814E1,-3.044265747E1,4.955919792E1
4.905257500E-1,6.970413208E0,-3.864146805E1,-3.083663940E1,4.992642630E1
5.004827499E-1,6.578613281E0,-3.864677429E1,-3.041757202E1,4.961935110E1
5.104397500E-1,7.237548828E0,-3.868649292E1,-3.095935059E1,5.007502607E1
5.203967500E-1,6.895736694E0,-3.851700592E1,-3.027920532E1,4.947667334E1
5.303537499E-1,7.559020996E0,-3.880645370E1,-3.068142700E1,5.004427650E1
5.403107500E-1,7.221923828E0,-3.860345840E1,-3.025650024E1,4.957659722E1
5.502677499E-1,7.686523438E0,-3.874332809E1,-3.068096924E1,5.001449778E1
5.602257499E-1,7.198837280E0,-3.879364777E1,-2.997451782E1,4.955039943E1
5.701827500E-1,7.717788696E0,-3.886532211E1,-3.029580688E1,4.987898796E1
5.801397499E-1,7.237075806E0,-3.898026276E1,-2.974240112E1,4.956255215E1
5.900967498E-1,7.789596558E0,-3.908580017E1,-3.020123291E1,5.000492035E1
6.000537500E-1,7.385589600E0,-3.902946854E1,-2.962902832E1,4.955527890E1
6.100107499E-1,7.987380981E0,-3.902784729E1,-3.034890747E1,5.008020870E1
6.199677500E-1,7.574478149E0,-3.893281555E1,-2.935922241E1,4.934674039E1
6.299257500E-1,8.156829834E0,-3.902019501E1,-3.030163574E1,5.007293301E1
6.398827499E-1,7.609985352E0,-3.902954102E1,-2.978387451E1,4.968194974E1
6.498382499E-1,8.060470581E0,-3.917153931E1,-3.015072632E1,5.008439852E1
6.597952500E-1,7.608291626E0,-3.910670471E1,-2.997735596E1,4.985842281E1
6.697522500E-1,7.608291626E0,-3.910670471E1,-2.997735596E1,4.985842281E1
6.797092499E-1,8.016159058E0,-3.899179840E1,-3.033496094E1,5.004826674E1
6.896662500E-1,7.662582397E0,-3.897246552E1,-2.991870117E1,4.972621961E1
6.996242499E-1,8.041946411E0,-3.886433411E1,-3.049130249E1,5.004826566E1
7.095812499E-1,7.691925049E0,-3.892947388E1,-2.988711548E1,4.967805671E1
7.195382500E-1,8.209533691E0,-3.894078827E1,-3.022177124E1,4.997136071E1
7.294952499E-1,7.830200195E0,-3.908065414E1,-2.957147217E1,4.962944217E1
7.394522498E-1,8.258544922E0,-3.916946411E1,-3.028936768E1,5.019856848E1
7.494092500E-1,7.827011108E0,-3.927076721E1,-2.983261108E1,4.993435635E1
7.593672499E-1,8.216125488E0,-3.941787720E1,-2.999182129E1,5.020740090E1
7.693242498E-1,7.744842529E0,-3.952052307E1,-2.965048218E1,5.001005322E1
7.792812500E-1,7.992294312E0,-3.938911057E1,-2.986767578E1,5.007451304E1
7.892382499E-1,7.702163696E0,-3.941800308E1,-2.966812134E1,4.993295221E1
7.991952500E-1,8.171752930E0,-3.942401123E1,-3.025372314E1,5.036187021E1
8.091522499E-1,7.950546265E0,-3.949760056E1,-3.000021362E1,5.023230487E1
8.191092499E-1,8.149475098E0,-3.944055939E1,-3.008975220E1,5.027290380E1
8.290672500E-1,8.202377319E0,-3.949546814E1,-3.003973389E1,5.029469763E1
8.390242499E-1,8.500625610E0,-3.930851746E1,-3.049801636E1,5.047325215E1
8.489812498E-1,8.129241943E0,-3.946444702E1,-3.008499146E1,5.028552341E1
8.589382500E-1,8.453277588E0,-3.940671539E1,-3.027334595E1,5.040657293E1
8.688952499E-1,8.218429565E0,-3.942564392E1,-2.978164673E1,5.008862610E1
8.788522498E-1,8.329788208E0,-3.961809921E1,-2.977792358E1,5.025638158E1
8.888092500E-1,8.199707031E0,-3.990591812E1,-2.941641235E1,5.024980410E1
8.987672499E-1,8.212249756E0,-4.007708359E1,-2.971301270E1,5.056161388E1
9.087242500E-1,8.106369019E0,-4.012570953E1,-2.940945435E1,5.040537461E1
9.186812500E-1,8.217102051E0,-4.027539062E1,-2.941415405E1,5.054523039E1
9.286382499E-1,8.024276733E0,-4.036921692E1,-2.915124512E1,5.043667102E1
9.385952500E-1,8.166961670E0,-4.043770981E1,-2.937329102E1,5.064284611E1
9.485522499E-1,7.931854248E0,-4.055921173E1,-2.907299805E1,5.052923098E1
9.585092498E-1,8.091445923E0,-4.068365479E1,-2.912518311E1,5.068439163E1
9.684672500E-1,8.012573242E0,-4.063834763E1,-2.879168701E1,5.044440374E1
9.784242499E-1,7.967727661E0,-4.081100464E1,-2.897189331E1,5.067931911E1
9.883812498E-1,7.874465942E0,-4.096731567E1,-2.869500732E1,5.063330537E1
9.983382500E-1,8.002410889E0,-4.098463440E1,-2.878469849E1,5.071821866E1
1.008295250E0,7.856384277E0,-4.117538452E1,-2.864575195E1,5.077119429E1
1.018252250E0,7.739288330E0,-4.139235687E1,-2.843176270E1,5.080933892E1
1.028209250E0,7.741455078E0,-4.152890778E1,-2.832128906E1,5.085937202E1
1.038167250E0,7.598617554E0,-4.176951599E1,-2.836029053E1,5.105621934E1
1.048124250E0,7.519775391E0,-4.199673843E1,-2.812048340E1,5.109828419E1
1.058081250E0,7.828720093E0,-4.196592712E1,-2.804437256E1,5.107753645E1
1.068038250E0,7.869094849E0,-4.209712982E1,-2.798483276E1,5.115898609E1
1.077995250E0,7.977890015E0,-4.212284851E1,-2.788278198E1,5.114128104E1
1.087952250E0,7.957214355E0,-4.232725525E1,-2.773818970E1,5.122812670E1
1.097909250E0,8.099243164E0,-4.237594604E1,-2.730514526E1,5.105770756E1
1.107867250E0,8.314529419E0,-4.243900299E1,-2.741436768E1,5.120300703E1
1.117824250E0,8.439010620E0,-4.236481857E1,-2.706231689E1,5.097414785E1
1.127781250E0,8.701934814E0,-4.261850357E1,-2.734753418E1,5.138042567E1
1.137738250E0,8.717056274E0,-4.240455246E1,-2.686578369E1,5.095000955E1
1.147695250E0,9.197830200E0,-4.240481186E1,-2.740936279E1,5.132291221E1
1.157652250E0,9.064880371E0,-4.232495880E1,-2.718179321E1,5.111187803E1
