"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.629083306E-3,2.534698486E0,-3.259470749E1,-2.512762451E1,4.123393222E1
1.658608322E-2,2.379486084E0,-3.259073257E1,-2.529635620E1,4.132461059E1
2.654308314E-2,2.234649658E0,-3.253245926E1,-2.538467407E1,4.132476548E1
3.649908327E-2,1.951705933E0,-3.225440216E1,-2.571630859E1,4.129750770E1
4.645608319E-2,1.692169189E0,-3.224040985E1,-2.602325439E1,4.146706203E1
5.641308334E-2,1.541275024E0,-3.206839752E1,-2.605648804E1,4.134849716E1
6.637008325E-2,1.227416992E0,-3.211652756E1,-2.610791016E1,4.140773922E1
7.632608316E-2,1.140747070E0,-3.234368896E1,-2.600695801E1,4.151839815E1
8.628308331E-2,1.177947998E0,-3.237757111E1,-2.590512085E1,4.148216434E1
9.624008322E-2,1.186401367E0,-3.243788528E1,-2.578051758E1,4.145188821E1
1.061970831E-1,1.162094116E0,-3.269904327E1,-2.529956055E1,4.135995234E1
1.161530833E-1,1.162094116E0,-3.269904327E1,-2.529956055E1,4.135995234E1
1.261100832E-1,1.174652100E0,-3.273233795E1,-2.535266113E1,4.141911614E1
1.360670833E-1,1.039276123E0,-3.278283691E1,-2.540133667E1,4.148520695E1
1.460240833E-1,8.691406250E-1,-3.271401978E1,-2.525695801E1,4.133855855E1
1.559810832E-1,7.985534668E-1,-3.263891602E1,-2.554428101E1,4.145415321E1
1.659370833E-1,5.885314941E-1,-3.252492905E1,-2.583724976E1,4.154251863E1
1.758940832E-1,4.439544678E-1,-3.242326736E1,-2.607546997E1,4.161004081E1
1.858510831E-1,2.465667725E-1,-3.244077301E1,-2.607867432E1,4.162405318E1
1.958080833E-1,2.409973145E-1,-3.225939560E1,-2.622521973E1,4.157509872E1
2.057640832E-1,2.285919189E-1,-3.222016525E1,-2.619366455E1,4.152468381E1
2.157210833E-1,1.994934082E-1,-3.236162567E1,-2.626211548E1,4.167749180E1
2.256780833E-1,2.442779541E-1,-3.232726669E1,-2.581768799E1,4.137227159E1
2.356350832E-1,1.156616211E-1,-3.244222260E1,-2.592263794E1,4.152703146E1
2.455920833E-1,8.856201172E-2,-3.256424332E1,-2.577481079E1,4.153045458E1
2.555480832E-1,1.564788818E-1,-3.262911224E1,-2.565975952E1,4.151032053E1
2.655050831E-1,1.394348145E-1,-3.266912079E1,-2.569293213E1,4.156221429E1
2.754620833E-1,5.342102051E-2,-3.271078873E1,-2.557272339E1,4.152063023E1
2.854190832E-1,-1.552886963E-1,-3.289518738E1,-2.561791992E1,4.169406778E1
2.953750833E-1,-2.613983154E-1,-3.302095795E1,-2.540548706E1,4.166402244E1
3.053320833E-1,-4.309082031E-1,-3.297620392E1,-2.529415894E1,4.156212438E1
3.152890832E-1,-4.647064209E-1,-3.306752014E1,-2.522393799E1,4.159235372E1
3.252460833E-1,-4.747314453E-1,-3.317993164E1,-2.509924316E1,4.160655286E1
3.352030832E-1,-4.534912109E-1,-3.320154190E1,-2.507647705E1,4.160982745E1
3.451590831E-1,-4.952087402E-1,-3.338550186E1,-2.502450562E1,4.172604519E1
3.551160833E-1,-5.374298096E-1,-3.325492859E1,-2.523925781E1,4.175163759E1
3.650730832E-1,-5.829772949E-1,-3.307849121E1,-2.509521484E1,4.152464631E1
3.750300833E-1,-6.623840332E-1,-3.309535217E1,-2.515380859E1,4.157469392E1
3.849860833E-1,-7.677612305E-1,-3.295941162E1,-2.497756958E1,4.136171241E1
3.949430832E-1,-8.613891602E-1,-3.296263885E1,-2.523321533E1,4.152099117E1
4.049000833E-1,-1.044158936E0,-3.299884033E1,-2.495315552E1,4.138446208E1
4.148570832E-1,-1.130355835E0,-3.301154327E1,-2.495632935E1,4.139876892E1
4.248140831E-1,-1.065963745E0,-3.286641693E1,-2.499893188E1,4.130719351E1
4.347700833E-1,-1.069137573E0,-3.286720657E1,-2.533743286E1,4.151363423E1
4.447270832E-1,-1.103973389E0,-3.277074814E1,-2.536886597E1,4.145744868E1
4.546840834E-1,-1.178558350E0,-3.265639114E1,-2.557800293E1,4.149774833E1
4.646410833E-1,-1.307189941E0,-3.263085175E1,-2.586648560E1,4.166000850E1
4.745970832E-1,-1.265686035E0,-3.246604538E1,-2.596954346E1,4.159402903E1
4.845540833E-1,-1.165603638E0,-3.227116394E1,-2.609176636E1,4.151586354E1
4.945110832E-1,-1.325637817E0,-3.214203644E1,-2.612396240E1,4.144067125E1
5.044680831E-1,-1.421051025E0,-3.218841171E1,-2.628555298E1,4.158176920E1
5.144250833E-1,-1.648056030E0,-3.205911255E1,-2.636508179E1,4.154058646E1
5.243810832E-1,-1.918151855E0,-3.211941147E1,-2.626937866E1,4.153812893E1
5.343380834E-1,-2.040405273E0,-3.217625046E1,-2.636068726E1,4.164565019E1
5.442950833E-1,-2.113632202E0,-3.233977127E1,-2.627566528E1,4.172216237E1
5.542520832E-1,-2.197021484E0,-3.228250122E1,-2.635156250E1,4.172998484E1
5.642090833E-1,-2.372283936E0,-3.243016052E1,-2.609960938E1,4.169571503E1
5.741650832E-1,-2.612701416E0,-3.243127060E1,-2.591693115E1,4.159688500E1
5.841220831E-1,-2.723968506E0,-3.254364014E1,-2.609075928E1,4.179995499E1
5.940790833E-1,-2.918014526E0,-3.251798630E1,-2.608740234E1,4.179098949E1
6.040360832E-1,-2.843597412E0,-3.232608414E1,-2.613848877E1,4.166872157E1
6.139920834E-1,-2.965957642E0,-3.233739853E1,-2.615390015E1,4.169569212E1
6.239490833E-1,-3.119277954E0,-3.214524460E1,-2.623284912E1,4.160779997E1
6.339060832E-1,-3.182281494E0,-3.202144623E1,-2.626440430E1,4.153695785E1
6.438630833E-1,-3.360794067E0,-3.204647827E1,-2.648312378E1,4.170884261E1
6.538200832E-1,-3.360794067E0,-3.204647827E1,-2.648312378E1,4.170884261E1
6.637760832E-1,-3.488418579E0,-3.180177307E1,-2.657492065E1,4.159024215E1
6.737330833E-1,-3.432144165E0,-3.167998123E1,-2.667837524E1,4.155883215E1
6.836900832E-1,-3.639953613E0,-3.167041397E1,-2.693246460E1,4.173274533E1
6.936470834E-1,-3.644241333E0,-3.167385864E1,-2.688027954E1,4.170207722E1
7.036037082E-1,-3.660079956E0,-3.162065125E1,-2.693295288E1,4.169707090E1
7.135597083E-1,-3.865432739E0,-3.171192932E1,-2.678134155E1,4.168726768E1
7.235167082E-1,-3.787246704E0,-3.157059860E1,-2.693188477E1,4.166980142E1
7.334737082E-1,-3.726394653E0,-3.151754761E1,-2.679693604E1,4.153694266E1
7.434307083E-1,-3.857070923E0,-3.167398071E1,-2.699044800E1,4.179237171E1
7.533877082E-1,-4.037506104E0,-3.183387375E1,-2.686968994E1,4.185304303E1
7.633437084E-1,-4.235839844E0,-3.181526184E1,-2.676040649E1,4.178842640E1
7.733007083E-1,-4.215911865E0,-3.187410736E1,-2.685241699E1,4.189015315E1
7.832577082E-1,-4.462478638E0,-3.184431076E1,-2.657092285E1,4.171316081E1
7.932147083E-1,-4.557769775E0,-3.163810730E1,-2.673303223E1,4.167011052E1
8.031717082E-1,-4.473434448E0,-3.151902390E1,-2.700738525E1,4.174756689E1
