"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.027670829E-2,1.380175781E1,-2.932890320E1,-2.302442932E1,3.975924329E1
2.023470821E-2,1.368479156E1,-2.930287933E1,-2.302149963E1,3.969788033E1
3.019170836E-2,1.363371277E1,-2.931105995E1,-2.300108337E1,3.967450309E1
4.014870827E-2,1.355014038E1,-2.931888008E1,-2.280485535E1,3.953813932E1
5.010670819E-2,1.357474518E1,-2.931447983E1,-2.300642395E1,3.965990390E1
6.006370834E-2,1.343731689E1,-2.930360985E1,-2.286666870E1,3.952401261E1
7.002070826E-2,1.355770111E1,-2.905422974E1,-2.285183716E1,3.937214734E1
7.997870818E-2,1.347158051E1,-2.891185379E1,-2.296791077E1,3.930526295E1
8.993570833E-2,1.345645905E1,-2.861933517E1,-2.303286743E1,3.912359413E1
9.989270824E-2,1.315799713E1,-2.865583038E1,-2.320390320E1,3.914984837E1
1.098507084E-1,1.300856018E1,-2.851604462E1,-2.322096252E1,3.900769846E1
1.198077083E-1,1.290605164E1,-2.828704453E1,-2.351835632E1,3.898507587E1
1.297657082E-1,1.278707886E1,-2.813629723E1,-2.394438171E1,3.909595916E1
1.397227084E-1,1.266980743E1,-2.797699738E1,-2.415542603E1,3.907327743E1
1.496797083E-1,1.243580627E1,-2.784097862E1,-2.407917786E1,3.885326466E1
1.596377082E-1,1.232050323E1,-2.774410629E1,-2.416691589E1,3.880167597E1
1.695947084E-1,1.222967529E1,-2.774777603E1,-2.423022461E1,3.881504627E1
1.795517083E-1,1.204317474E1,-2.770514679E1,-2.450454712E1,3.889840673E1
1.895097082E-1,1.198030090E1,-2.752478790E1,-2.425221252E1,3.859159716E1
1.994667083E-1,1.164175415E1,-2.755785751E1,-2.421324158E1,3.848697206E1
2.094237083E-1,1.166121674E1,-2.770333862E1,-2.419154358E1,3.858354218E1
2.193817082E-1,1.154174805E1,-2.765066910E1,-2.425242615E1,3.854804306E1
2.293387083E-1,1.144603729E1,-2.753250122E1,-2.398945618E1,3.826936635E1
2.392957082E-1,1.132210541E1,-2.747482109E1,-2.377265930E1,3.805515990E1
2.492537082E-1,1.111479187E1,-2.761795425E1,-2.380830383E1,3.811988099E1
2.592107083E-1,1.117978668E1,-2.744610214E1,-2.385459900E1,3.804363346E1
2.691677082E-1,1.083142853E1,-2.766225243E1,-2.374063110E1,3.802811616E1
2.791257084E-1,1.057690430E1,-2.782028961E1,-2.376867676E1,3.808922962E1
2.890827083E-1,1.047377777E1,-2.777741623E1,-2.373994446E1,3.801144349E1
2.990397082E-1,1.025479889E1,-2.769653130E1,-2.383457947E1,3.795188960E1
3.089977084E-1,1.002229309E1,-2.775722504E1,-2.386746216E1,3.795478429E1
3.189547083E-1,9.844276428E0,-2.759923172E1,-2.382093811E1,3.776326869E1
3.289127082E-1,9.855110168E0,-2.740411758E1,-2.381317139E1,3.761882492E1
3.388697084E-1,9.849700928E0,-2.718520546E1,-2.408439636E1,3.763123905E1
3.488267083E-1,9.869636536E0,-2.705099869E1,-2.394804382E1,3.745230378E1
3.587847082E-1,9.869636536E0,-2.705099869E1,-2.394804382E1,3.745230378E1
3.687417083E-1,9.872077942E0,-2.705440140E1,-2.380732727E1,3.736559098E1
3.786987083E-1,9.884071350E0,-2.712847519E1,-2.395785522E1,3.751836696E1
3.886567082E-1,1.003648376E1,-2.717687988E1,-2.392842102E1,3.757503345E1
3.986137083E-1,1.015089417E1,-2.722186470E1,-2.387304688E1,3.760309744E1
4.085707082E-1,1.028274536E1,-2.726384735E1,-2.354518127E1,3.746235158E1
4.185287084E-1,1.041776276E1,-2.736421394E1,-2.327134705E1,3.740167882E1
4.284857083E-1,1.066172028E1,-2.740187263E1,-2.316241455E1,3.743036670E1
4.384427082E-1,1.068359375E1,-2.772370720E1,-2.271952820E1,3.740214002E1
4.484007084E-1,1.083198547E1,-2.802869034E1,-2.226290894E1,3.739754679E1
4.583577083E-1,1.064884949E1,-2.830871582E1,-2.171221924E1,3.723173178E1
4.683147082E-1,1.024034119E1,-2.836680984E1,-2.159692383E1,3.709403735E1
4.782727084E-1,9.980712891E0,-2.830679131E1,-2.169464111E1,3.703439640E1
4.882297083E-1,9.790611267E0,-2.825408936E1,-2.184425354E1,3.703135222E1
4.981877082E-1,9.452461243E0,-2.842626762E1,-2.144511414E1,3.684147981E1
5.081447084E-1,9.477691650E0,-2.858163643E1,-2.131420898E1,3.689216834E1
5.181017083E-1,9.648506165E0,-2.875335312E1,-2.092864990E1,3.684911632E1
5.280597082E-1,9.950248718E0,-2.883672142E1,-2.081120300E1,3.692790438E1
5.380167083E-1,1.028049469E1,-2.901107788E1,-2.037297058E1,3.691055596E1
5.479737082E-1,1.059462738E1,-2.914598846E1,-2.001806641E1,3.691148541E1
5.579317082E-1,1.100020599E1,-2.913769913E1,-1.972225952E1,3.686431286E1
5.678887083E-1,1.129090118E1,-2.913549042E1,-1.992002869E1,3.705629224E1
5.778457082E-1,1.156822968E1,-2.887542343E1,-2.011825562E1,3.704535362E1
5.878037084E-1,1.186580658E1,-2.830497742E1,-2.053335571E1,3.692678986E1
5.977607083E-1,1.220316315E1,-2.774709320E1,-2.102745056E1,3.689135466E1
6.077177082E-1,1.211765289E1,-2.715481949E1,-2.160491943E1,3.675587405E1
6.176757084E-1,1.166059113E1,-2.685294724E1,-2.244087219E1,3.688689341E1
6.276327083E-1,1.088164520E1,-2.657027054E1,-2.283332825E1,3.668447025E1
6.375907082E-1,9.748992920E0,-2.640564346E1,-2.323468018E1,3.649864700E1
6.475477084E-1,8.547729492E0,-2.632743835E1,-2.392253113E1,3.658531379E1
6.575047083E-1,6.946540833E0,-2.629656792E1,-2.414591980E1,3.637017125E1
6.674627082E-1,5.468681335E0,-2.620504951E1,-2.433905029E1,3.618011145E1
6.774197083E-1,4.370475769E0,-2.627203941E1,-2.447178650E1,3.616890167E1
6.873767083E-1,3.643981934E0,-2.644981384E1,-2.429319763E1,3.609751664E1
6.973347082E-1,3.215454102E0,-2.665035248E1,-2.415731812E1,3.611310636E1
7.072917083E-1,2.542465210E0,-2.671969604E1,-2.404150391E1,3.603332064E1
7.172487082E-1,2.389961243E0,-2.677137375E1,-2.407316589E1,3.608234587E1
7.272067082E-1,2.530998230E0,-2.685550690E1,-2.384431458E1,3.600243798E1
7.371637083E-1,3.018684387E0,-2.698889542E1,-2.383979797E1,3.613653136E1
7.471207082E-1,3.564193726E0,-2.681298065E1,-2.404959106E1,3.619422936E1
7.570787084E-1,4.016586304E0,-2.682535553E1,-2.431536865E1,3.642759692E1
7.670357083E-1,4.189857483E0,-2.680595207E1,-2.437411499E1,3.647206402E1
7.769937082E-1,4.501655579E0,-2.673196411E1,-2.454957581E1,3.657245521E1
7.869507084E-1,4.771102905E0,-2.673305511E1,-2.446510315E1,3.655079932E1
7.969077083E-1,5.101570129E0,-2.673098755E1,-2.456167603E1,3.665852755E1
8.068657082E-1,5.043815613E0,-2.686815643E1,-2.475553894E1,3.688054520E1
8.168227084E-1,5.214210510E0,-2.712970924E1,-2.456642151E1,3.696915174E1
8.267797083E-1,5.232902527E0,-2.723645020E1,-2.452314758E1,3.702151071E1
8.367377082E-1,5.264465332E0,-2.734480286E1,-2.438800049E1,3.701658286E1
8.466947083E-1,5.282714844E0,-2.739711189E1,-2.420756531E1,3.693934263E1
8.566517083E-1,5.484275818E0,-2.750378036E1,-2.396099854E1,3.688718838E1
8.666097082E-1,5.656120300E0,-2.785162163E1,-2.407032776E1,3.724359277E1
8.765667083E-1,5.864624023E0,-2.791693306E1,-2.408105469E1,3.733157057E1
8.865237082E-1,5.864624023E0,-2.791693306E1,-2.408105469E1,3.733157057E1
8.964817084E-1,6.131637573E0,-2.809547424E1,-2.380419922E1,3.733085256E1
9.064387083E-1,6.312561035E0,-2.820219994E1,-2.372320557E1,3.738987818E1
9.163967082E-1,6.377632141E0,-2.835251999E1,-2.370631409E1,3.750371860E1
9.263537084E-1,6.331649780E0,-2.849928856E1,-2.390397644E1,3.773194041E1
9.363107083E-1,6.282989502E0,-2.848330307E1,-2.381048584E1,3.765253971E1
9.462687082E-1,6.076286316E0,-2.865739441E1,-2.377169800E1,3.772613332E1
9.562257084E-1,5.797096252E0,-2.874513626E1,-2.356547546E1,3.761942075E1
9.661827083E-1,5.274375916E0,-2.886087608E1,-2.356918335E1,3.763343744E1
9.761404584E-1,4.823265076E0,-2.909621048E1,-2.345861816E1,3.768501183E1
