"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.463208352E-3,-2.600990295E1,-2.697770309E1,-2.118676758E1,4.304870075E1
1.642120827E-2,-2.601968384E1,-2.685656357E1,-2.121789551E1,4.299416290E1
2.638020832E-2,-2.604275513E1,-2.675239944E1,-2.134713745E1,4.300716508E1
3.633920837E-2,-2.617936707E1,-2.651384735E1,-2.154614258E1,4.304160338E1
4.629820830E-2,-2.633912659E1,-2.634758759E1,-2.167797852E1,4.310312881E1
5.625620834E-2,-2.647399902E1,-2.625684738E1,-2.155230713E1,4.306734960E1
6.621520838E-2,-2.685386658E1,-2.618355560E1,-2.133224487E1,4.314827233E1
7.617420831E-2,-2.688488770E1,-2.599909973E1,-2.116647339E1,4.297406158E1
8.613220835E-2,-2.715869141E1,-2.591967392E1,-2.116589355E1,4.309778492E1
9.609120828E-2,-2.749623108E1,-2.559584045E1,-2.102932739E1,4.305139234E1
1.060502083E-1,-2.764651489E1,-2.530691147E1,-2.096762085E1,4.294660263E1
1.160092084E-1,-2.775578308E1,-2.501157761E1,-2.115463257E1,4.293577748E1
1.259672083E-1,-2.805076599E1,-2.466295242E1,-2.087585449E1,4.278911071E1
1.359262083E-1,-2.830084229E1,-2.441014481E1,-2.127844238E1,4.300656873E1
1.458852083E-1,-2.848631287E1,-2.421924210E1,-2.146456909E1,4.311344842E1
1.558432083E-1,-2.858718872E1,-2.396215439E1,-2.137539673E1,4.299208982E1
1.658022084E-1,-2.868290710E1,-2.379187393E1,-2.147769165E1,4.301225016E1
1.757612083E-1,-2.888208008E1,-2.361243057E1,-2.152407837E1,4.306979657E1
1.857202083E-1,-2.881008911E1,-2.332954788E1,-2.167968750E1,4.294528949E1
1.956782084E-1,-2.894262695E1,-2.311064529E1,-2.168325806E1,4.291784315E1
2.056372083E-1,-2.911332703E1,-2.295570755E1,-2.170941162E1,4.296334336E1
2.155962083E-1,-2.941093445E1,-2.291859818E1,-2.165985107E1,4.312092712E1
2.255542084E-1,-2.958880615E1,-2.269479370E1,-2.134362793E1,4.296628404E1
2.355132083E-1,-2.989903259E1,-2.258691788E1,-2.154895020E1,4.322589807E1
2.454722084E-1,-2.986228943E1,-2.245778656E1,-2.143853760E1,4.307806172E1
2.554312083E-1,-3.015110779E1,-2.240069962E1,-2.140283203E1,4.323149157E1
2.653892083E-1,-3.019252014E1,-2.235365677E1,-2.128558350E1,4.317812303E1
2.753482084E-1,-3.017141724E1,-2.237539673E1,-2.132122803E1,4.319221644E1
2.853072083E-1,-3.016462708E1,-2.222783279E1,-2.145291138E1,4.317648300E1
2.952652083E-1,-3.026779175E1,-2.218397903E1,-2.142526245E1,4.321238265E1
3.052242083E-1,-3.038655090E1,-2.193877792E1,-2.137152100E1,4.314387978E1
3.151832083E-1,-3.066694641E1,-2.189057159E1,-2.114535522E1,4.320630480E1
3.251422084E-1,-3.092137146E1,-2.161519623E1,-2.092861938E1,4.314342395E1
3.351002083E-1,-3.151579285E1,-2.140016556E1,-2.067944336E1,4.334572254E1
3.450592083E-1,-3.192466736E1,-2.088665009E1,-2.026223755E1,4.319716204E1
3.550182084E-1,-3.239102173E1,-2.055637741E1,-1.982296753E1,4.318209099E1
3.649762083E-1,-3.294570923E1,-2.017761612E1,-1.925628662E1,4.316665986E1
3.749352084E-1,-3.330052185E1,-1.993070221E1,-1.890029907E1,4.316687331E1
3.848942083E-1,-3.376972961E1,-1.976409531E1,-1.848110962E1,4.327315004E1
3.948522083E-1,-3.388192749E1,-1.961054993E1,-1.815521240E1,4.315287263E1
