"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.470750012E-3,3.543342590E1,2.471634293E1,-2.271757507E1,4.881099770E1
1.242975006E-2,3.477617645E1,2.474608994E1,-2.272657776E1,4.835544181E1
2.238874999E-2,3.485237885E1,2.500409317E1,-2.265129089E1,4.850746299E1
3.234775004E-2,3.420465851E1,2.500564194E1,-2.276261902E1,4.809758432E1
4.230675008E-2,3.459463501E1,2.523357391E1,-2.294508362E1,4.857981974E1
5.226575001E-2,3.404087830E1,2.514012909E1,-2.313117981E1,4.822716004E1
6.222575007E-2,3.432590485E1,2.526655579E1,-2.341151428E1,4.862885549E1
7.218475000E-2,3.385854340E1,2.505116272E1,-2.355989075E1,4.826002659E1
8.214375004E-2,3.409307098E1,2.519997406E1,-2.402610779E1,4.873017584E1
9.210275009E-2,3.339643860E1,2.508374786E1,-2.444566345E1,4.839531981E1
1.020617500E-1,3.348915863E1,2.518383408E1,-2.493931580E1,4.876185719E1
1.120207501E-1,3.348915863E1,2.518383408E1,-2.493931580E1,4.876185719E1
1.219811251E-1,3.281444550E1,2.517567444E1,-2.500288391E1,4.832956259E1
1.319401250E-1,3.295201111E1,2.558761215E1,-2.529939270E1,4.879159971E1
1.418991251E-1,3.218640900E1,2.562892532E1,-2.522975159E1,4.826331011E1
1.518581250E-1,3.229550934E1,2.609508133E1,-2.558119202E1,4.876833581E1
1.618171250E-1,3.176381683E1,2.630146027E1,-2.557395935E1,4.852560426E1
1.717761251E-1,3.169637299E1,2.667933655E1,-2.584523010E1,4.883055374E1
1.817351250E-1,3.106610870E1,2.682372665E1,-2.611396790E1,4.864724803E1
1.916951251E-1,3.108676910E1,2.735106277E1,-2.607923889E1,4.893459461E1
2.016541250E-1,3.072883606E1,2.744622803E1,-2.617906189E1,4.881495754E1
2.116131251E-1,3.073788452E1,2.791066360E1,-2.629338074E1,4.914432376E1
2.215721250E-1,3.027845001E1,2.818600845E1,-2.627668762E1,4.900714152E1
2.315311250E-1,3.010156250E1,2.841251373E1,-2.636003113E1,4.907368177E1
2.414901251E-1,2.986960602E1,2.874936676E1,-2.631898499E1,4.910609355E1
2.514501250E-1,2.968611145E1,2.909485626E1,-2.643513489E1,4.926045301E1
2.614091251E-1,2.924517059E1,2.952719116E1,-2.615327454E1,4.910324623E1
2.713681250E-1,2.886609650E1,3.017832565E1,-2.597813416E1,4.918176817E1
2.813271250E-1,2.855432892E1,3.091760635E1,-2.546635437E1,4.919129280E1
2.912861251E-1,2.794440460E1,3.175654221E1,-2.522920227E1,4.925322699E1
3.012451250E-1,2.733991241E1,3.261676407E1,-2.461595154E1,4.916573176E1
3.112051251E-1,2.671253204E1,3.356865311E1,-2.414616394E1,4.922855952E1
3.211641250E-1,2.622763824E1,3.437048721E1,-2.357160950E1,4.924266619E1
3.311231250E-1,2.566350555E1,3.521684647E1,-2.305204773E1,4.929745122E1
3.410821251E-1,2.536876678E1,3.597301102E1,-2.262013245E1,4.949042576E1
3.510411250E-1,2.463921356E1,3.650121689E1,-2.205207825E1,4.925163788E1
3.610001251E-1,2.443914032E1,3.734318161E1,-2.168516541E1,4.961885923E1
3.709601250E-1,2.379537201E1,3.788902664E1,-2.114405823E1,4.948605124E1
3.809191250E-1,2.374060822E1,3.872689438E1,-2.034587097E1,4.977291726E1
3.908781251E-1,2.303680420E1,3.907677841E1,-1.954194641E1,4.939207050E1
4.008371250E-1,2.297948456E1,3.984642410E1,-1.873646545E1,4.966738731E1
4.107961251E-1,2.247297668E1,4.007107162E1,-1.791575623E1,4.931226808E1
4.207551250E-1,2.260340118E1,4.079772568E1,-1.734150696E1,4.976038614E1
4.307141250E-1,2.205107880E1,4.091705704E1,-1.659053040E1,4.935282496E1
4.406741250E-1,2.238397980E1,4.166608810E1,-1.569886780E1,4.983532783E1
4.506331250E-1,2.167365265E1,4.152278519E1,-1.484101868E1,4.913394696E1
4.605921251E-1,2.242535400E1,4.216485214E1,-1.410221863E1,4.979602222E1
4.705511250E-1,2.215176392E1,4.187416458E1,-1.355448914E1,4.927342569E1
4.805101251E-1,2.312586212E1,4.207599258E1,-1.306141663E1,4.975736383E1
4.904691250E-1,2.303634644E1,4.163789749E1,-1.231776428E1,4.915399355E1
5.004291250E-1,2.446430206E1,4.191131973E1,-1.163777161E1,4.990489480E1
5.103881251E-1,2.469364166E1,4.111714554E1,-1.081123352E1,4.916582518E1
5.203471250E-1,2.631083679E1,4.091919327E1,-1.031611633E1,4.972989812E1
5.303061251E-1,2.692440033E1,3.987815475E1,-9.856979370E0,4.911568591E1
5.402651250E-1,2.853608704E1,3.938834000E1,-9.288955688E0,4.951801984E1
5.502241250E-1,2.916783905E1,3.841657639E1,-9.449478149E0,4.915169187E1
5.601841251E-1,3.071992493E1,3.769371414E1,-9.771987915E0,4.959860503E1
5.701431250E-1,3.119541168E1,3.631883621E1,-1.037409973E1,4.898809569E1
5.801021251E-1,3.291479492E1,3.532186508E1,-1.124501038E1,4.957285685E1
5.900611250E-1,3.334806061E1,3.374793625E1,-1.236647034E1,4.903005136E1
6.000201250E-1,3.486824036E1,3.260541916E1,-1.330891418E1,4.955839728E1
6.099791251E-1,3.486824036E1,3.260541916E1,-1.330891418E1,4.955839728E1
6.199381250E-1,3.454578400E1,3.172886276E1,-1.432005310E1,4.904279606E1
6.298981251E-1,3.510144806E1,3.157143784E1,-1.493058777E1,4.951555103E1
6.398571250E-1,3.420365906E1,3.146623611E1,-1.538871765E1,4.895739923E1
6.498161250E-1,3.444573212E1,3.173876572E1,-1.589213562E1,4.946127460E1
6.597751250E-1,3.351712799E1,3.162707138E1,-1.624046326E1,4.886125418E1
6.697341250E-1,3.396348572E1,3.189434433E1,-1.641368103E1,4.939814255E1
6.796931251E-1,3.351906586E1,3.174099350E1,-1.629429626E1,4.895429026E1
6.896531250E-1,3.375897980E1,3.195837021E1,-1.612580872E1,4.920414464E1
6.996121251E-1,3.316656494E1,3.236769485E1,-1.598356628E1,4.902206739E1
7.095711250E-1,3.324053955E1,3.306395340E1,-1.541285706E1,4.935295986E1
7.195301250E-1,3.254280090E1,3.340932083E1,-1.495863342E1,4.897935609E1
7.294891251E-1,3.245575714E1,3.395122147E1,-1.469731140E1,4.921455652E1
7.394481250E-1,3.190389252E1,3.413521194E1,-1.457337952E1,4.894337997E1
7.494071251E-1,3.204396820E1,3.437735367E1,-1.487055969E1,4.929251352E1
7.593671250E-1,3.177454376E1,3.399899673E1,-1.538426208E1,4.901253850E1
7.693261250E-1,3.229372406E1,3.348849106E1,-1.628437805E1,4.929041099E1
7.792851251E-1,3.223768616E1,3.257213211E1,-1.725407410E1,4.896851307E1
7.892441250E-1,3.277417755E1,3.186048508E1,-1.803309631E1,4.913684754E1
7.992031251E-1,3.270996094E1,3.085670853E1,-1.902073669E1,4.882485463E1
8.091621250E-1,3.293460846E1,3.006457901E1,-2.018553162E1,4.894918827E1
8.191221250E-1,3.289231110E1,2.951238251E1,-2.151542664E1,4.915077246E1
8.290811251E-1,3.258636475E1,2.916923523E1,-2.242842102E1,4.915027488E1
8.390401250E-1,3.218244934E1,2.923884964E1,-2.313426208E1,4.925255786E1
8.489991251E-1,3.158321381E1,2.931235886E1,-2.356739807E1,4.911350148E1
8.589581250E-1,3.121414185E1,2.960733795E1,-2.365452576E1,4.909637156E1
8.689171250E-1,3.105114746E1,3.001738358E1,-2.321070862E1,4.903013430E1
8.788761251E-1,3.106625366E1,3.009188461E1,-2.300239563E1,4.898718037E1
8.888361250E-1,3.124771118E1,3.035046005E1,-2.203675842E1,4.881791271E1
8.987951251E-1,3.160166931E1,3.068877029E1,-2.115898132E1,4.886889211E1
9.087541250E-1,3.192853546E1,3.061176682E1,-2.039305115E1,4.870716764E1
9.187131251E-1,3.258626556E1,3.061071396E1,-1.981489563E1,4.890307354E1
9.286721250E-1,3.282534027E1,3.041567612E1,-1.910609436E1,4.865859800E1
9.386311250E-1,3.354827118E1,3.020077133E1,-1.864640808E1,4.883914027E1
9.485911251E-1,3.366900635E1,2.975685501E1,-1.840641785E1,4.855788944E1
9.585501250E-1,3.452342224E1,2.951189041E1,-1.821376038E1,4.893423572E1
9.685091251E-1,3.456654358E1,2.916982651E1,-1.803681946E1,4.869344483E1
9.784681250E-1,3.513651276E1,2.899615860E1,-1.786149597E1,4.893245120E1
9.884271250E-1,3.482443237E1,2.869721222E1,-1.784425354E1,4.852513229E1
9.983861251E-1,3.531104279E1,2.860749054E1,-1.766328430E1,4.875704944E1
1.008345125E0,3.508970642E1,2.846005630E1,-1.747975159E1,4.844382331E1
1.018305125E0,3.567305756E1,2.822856140E1,-1.745054626E1,4.872309800E1
1.028264125E0,3.529330444E1,2.794562149E1,-1.716777039E1,4.817994852E1
1.038223125E0,3.582453918E1,2.771060181E1,-1.725035095E1,4.846493236E1
1.048182125E0,3.511759949E1,2.741336060E1,-1.752998352E1,4.787523843E1
1.058141125E0,3.560992432E1,2.730532837E1,-1.876893616E1,4.864073017E1
1.068100125E0,3.445436859E1,2.664762115E1,-1.981761169E1,4.785328580E1
1.078060125E0,3.470092010E1,2.623126221E1,-2.162132263E1,4.857689333E1
1.088019125E0,3.361268616E1,2.589500809E1,-2.228581238E1,4.792725266E1
1.097978125E0,3.391393280E1,2.563734818E1,-2.359959412E1,4.862478074E1
1.107937125E0,3.391393280E1,2.563734818E1,-2.359959412E1,4.862478074E1
1.117895375E0,3.318499756E1,2.506006622E1,-2.373411560E1,4.788067695E1
1.127854375E0,3.423047638E1,2.450518036E1,-2.423344421E1,4.857457355E1
1.137813375E0,3.396867371E1,2.403660965E1,-2.419621277E1,4.813612063E1
1.147773375E0,3.476876068E1,2.365747452E1,-2.442729187E1,4.863368594E1
1.157732375E0,3.444945526E1,2.333928299E1,-2.376676941E1,4.792020896E1
1.167691375E0,3.546938324E1,2.321259308E1,-2.380369568E1,4.861602156E1
1.177650375E0,3.522209930E1,2.302271652E1,-2.325651550E1,4.807813712E1
1.187609375E0,3.591340637E1,2.280721664E1,-2.333946228E1,4.852496664E1
1.197568375E0,3.550783539E1,2.282160950E1,-2.262895203E1,4.789260594E1
1.207528375E0,3.612316132E1,2.268574142E1,-2.300416565E1,4.846356657E1
1.217487375E0,3.562957764E1,2.266136169E1,-2.276921082E1,4.797333715E1
1.227446375E0,3.613391113E1,2.243447495E1,-2.297804260E1,4.834206907E1
1.237405375E0,3.551108551E1,2.243895721E1,-2.287458801E1,4.783085585E1
1.247364375E0,3.589257050E1,2.232168579E1,-2.340229797E1,4.831357805E1
1.257323375E0,3.545079803E1,2.218445206E1,-2.351136780E1,4.797596701E1
1.267283375E0,3.586202240E1,2.207665634E1,-2.362861633E1,4.828845530E1
1.277242375E0,3.547389984E1,2.184494781E1,-2.370326233E1,4.793165927E1
1.287201375E0,3.593971252E1,2.177250671E1,-2.370982361E1,4.824790898E1
1.297160375E0,3.575498199E1,2.159294128E1,-2.376325989E1,4.805586719E1
1.307119375E0,3.595487976E1,2.149022293E1,-2.398677063E1,4.826953724E1
1.317078375E0,3.567680359E1,2.152744675E1,-2.366877747E1,4.792156409E1
1.327037375E0,3.589376068E1,2.157040787E1,-2.366322327E1,4.809982003E1
1.336997375E0,3.574028778E1,2.176831436E1,-2.370549011E1,4.809550855E1
1.346956375E0,3.580264282E1,2.192847443E1,-2.391609192E1,4.831838859E1
1.356915375E0,3.521523285E1,2.202672577E1,-2.379090881E1,4.786749017E1
1.366874375E0,3.546699524E1,2.234254456E1,-2.396647644E1,4.828549515E1
1.376833375E0,3.475543976E1,2.262192154E1,-2.402558899E1,4.792620216E1
1.386792375E0,3.493911743E1,2.310039139E1,-2.417216492E1,4.835973083E1
1.396752375E0,3.440586853E1,2.367377472E1,-2.384773254E1,4.809288665E1
1.406711375E0,3.425853729E1,2.418431473E1,-2.350523376E1,4.807311588E1
1.416670375E0,3.412108612E1,2.476929092E1,-2.323326111E1,4.814094632E1
1.426629375E0,3.420373535E1,2.515916824E1,-2.290785217E1,4.824571432E1
1.436588375E0,3.422198486E1,2.544278717E1,-2.259153748E1,4.825823487E1
1.446547375E0,3.414999390E1,2.556898499E1,-2.213771057E1,4.806322196E1
1.456507375E0,3.416325378E1,2.574456024E1,-2.189360046E1,4.805455267E1
1.466466375E0,3.410152435E1,2.584957123E1,-2.175819397E1,4.800555489E1
1.476425375E0,3.398947906E1,2.580736542E1,-2.178208923E1,4.791413370E1
1.486384375E0,3.378591156E1,2.595034027E1,-2.209977722E1,4.799279251E1
1.496343375E0,3.372731018E1,2.616907120E1,-2.218211365E1,4.810818959E1
1.506302375E0,3.345214081E1,2.635448837E1,-2.246626282E1,4.814911990E1
1.516262375E0,3.318422699E1,2.636098862E1,-2.301841736E1,4.822802276E1
1.526221375E0,3.272895050E1,2.659459686E1,-2.328697205E1,4.817405786E1
1.536180375E0,3.276463318E1,2.687001419E1,-2.345240784E1,4.843071632E1
1.546139375E0,3.221791840E1,2.693999481E1,-2.322499084E1,4.799122614E1
1.556098375E0,3.251889038E1,2.719073105E1,-2.321879578E1,4.833142419E1
1.566057375E0,3.211434174E1,2.727463531E1,-2.304325867E1,4.802320738E1
1.576016375E0,3.253962708E1,2.737502670E1,-2.316911316E1,4.842548112E1
1.585976375E0,3.219097137E1,2.725794601E1,-2.293077087E1,4.801119153E1
1.595935375E0,3.238658905E1,2.719069672E1,-2.332005310E1,4.829130372E1
1.605894375E0,3.238658905E1,2.719069672E1,-2.332005310E1,4.829130372E1
1.615853375E0,3.182492065E1,2.701342010E1,-2.321571350E1,4.776525718E1
1.625812375E0,3.214450073E1,2.684925079E1,-2.359449768E1,4.807131698E1
1.635771375E0,3.165715790E1,2.685831833E1,-2.360527039E1,4.775723714E1
1.645731375E0,3.203340149E1,2.674342346E1,-2.431797791E1,4.829817345E1
1.655690375E0,3.118757629E1,2.663865280E1,-2.436375427E1,4.770613441E1
1.665649375E0,3.153990173E1,2.671482086E1,-2.509834290E1,4.835673553E1
1.675608375E0,3.053544617E1,2.659523392E1,-2.501713562E1,4.759807784E1
1.685567375E0,3.084011078E1,2.664241409E1,-2.597047424E1,4.832593707E1
1.695526375E0,2.996790314E1,2.664651871E1,-2.596745300E1,4.777468779E1
1.705486375E0,3.046158600E1,2.667705154E1,-2.642192078E1,4.834967630E1
1.715445375E0,2.987857056E1,2.660388184E1,-2.591685486E1,4.766737745E1
1.725404375E0,3.080741119E1,2.684976578E1,-2.597703552E1,4.842326797E1
1.735363375E0,3.063513184E1,2.687139130E1,-2.524769592E1,4.793776301E1
