"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.046791673E-2,6.610664368E0,-3.129523849E1,-9.541015625E0,3.337849330E1
2.042491664E-2,6.673469543E0,-3.137940598E1,-9.485900879E0,3.345421693E1
3.038191679E-2,6.666175842E0,-3.138188171E1,-9.523773193E0,3.346584313E1
4.033891670E-2,6.756813049E0,-3.132642555E1,-9.572708130E0,3.344601922E1
5.029691663E-2,6.752319336E0,-3.137034225E1,-9.602539062E0,3.349478983E1
6.025391677E-2,6.954597473E0,-3.124033356E1,-9.823669434E0,3.347878952E1
7.021091669E-2,7.038146973E0,-3.113470078E1,-9.858932495E0,3.340813756E1
8.016791684E-2,7.080863953E0,-3.100872040E1,-9.839477539E0,3.329406393E1
9.012466669E-2,7.137245178E0,-3.110557938E1,-1.023443604E1,3.351478805E1
1.000826668E-1,7.258895874E0,-3.105938911E1,-1.021290588E1,3.349150143E1
1.100396668E-1,7.303680420E0,-3.106261635E1,-1.024618530E1,3.351438789E1
1.199966667E-1,7.354728699E0,-3.097790909E1,-1.006501770E1,3.339202700E1
1.299536668E-1,7.400070190E0,-3.104719925E1,-1.003396606E1,3.345698873E1
1.399116667E-1,7.389823914E0,-3.093898392E1,-9.987548828E0,3.334038624E1
1.498686667E-1,7.440345764E0,-3.093940353E1,-1.016709900E1,3.340621706E1
1.598256668E-1,7.430114746E0,-3.091870689E1,-9.909393311E0,3.330719317E1
1.697826667E-1,7.653396606E0,-3.100612640E1,-1.022732544E1,3.353434866E1
1.797396666E-1,7.615600586E0,-3.093290520E1,-1.049479675E1,3.354076259E1
1.896976668E-1,7.690132141E0,-3.091639900E1,-1.041984558E1,3.351917424E1
1.996546667E-1,7.805587769E0,-3.078533745E1,-1.042320251E1,3.342614774E1
2.096116669E-1,7.736778259E0,-3.085060310E1,-1.036920166E1,3.345351690E1
2.195686668E-1,7.739135742E0,-3.079969788E1,-1.018980408E1,3.335187728E1
2.295266667E-1,7.822113037E0,-3.084331512E1,-1.039291382E1,3.347399286E1
2.394836668E-1,7.800811768E0,-3.086458206E1,-1.044723511E1,3.350551912E1
2.494406668E-1,7.832000732E0,-3.091599083E1,-1.041854858E1,3.355122768E1
2.593976667E-1,7.753944397E0,-3.087630463E1,-1.032540894E1,3.346765470E1
2.693556668E-1,7.644325256E0,-3.105579948E1,-1.025331116E1,3.358613970E1
2.793126667E-1,7.596374512E0,-3.108601379E1,-9.908645630E0,3.349964802E1
2.892696667E-1,7.384239197E0,-3.115339470E1,-9.892715454E0,3.351010010E1
2.992266668E-1,7.410408020E0,-3.100348473E1,-1.012773132E1,3.344699021E1
3.091836667E-1,7.390892029E0,-3.110904694E1,-9.933593750E0,3.348244870E1
3.191416666E-1,7.356758118E0,-3.106381416E1,-9.902282715E0,3.342360907E1
3.290986668E-1,7.402442932E0,-3.101880264E1,-1.003656006E1,3.343194306E1
3.390556667E-1,7.393669128E0,-3.089149475E1,-1.006161499E1,3.331946709E1
3.490126668E-1,7.346046448E0,-3.098832703E1,-1.030043030E1,3.347147554E1
3.589706668E-1,7.253128052E0,-3.103058052E1,-1.023243713E1,3.346950199E1
3.689276667E-1,7.003257751E0,-3.086025429E1,-1.042468262E1,3.331778686E1
3.788846668E-1,6.962539673E0,-3.083305359E1,-1.054484558E1,3.332188351E1
3.888416667E-1,6.758872986E0,-3.099073219E1,-1.076506042E1,3.349618444E1
3.987986667E-1,6.602684021E0,-3.091392899E1,-1.080953979E1,3.340827131E1
4.087566668E-1,6.340896606E0,-3.093339729E1,-1.077102661E1,3.336310915E1
