"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.586054161E-2,6.430876160E1,2.897859192E1,-1.271255493E1,7.167276094E1
2.581754164E-2,6.432544708E1,2.901224518E1,-1.272879028E1,7.170422313E1
3.577454167E-2,6.431211853E1,2.902593231E1,-1.274966431E1,7.170151516E1
4.573154170E-2,6.422672272E1,2.909003067E1,-1.268020630E1,7.163860291E1
5.568754161E-2,6.413310242E1,2.901304245E1,-1.268719482E1,7.152465568E1
6.564454164E-2,6.422181702E1,2.912538528E1,-1.301385498E1,7.170836960E1
7.560154167E-2,6.418930817E1,2.910676575E1,-1.281329346E1,7.163554693E1
8.555854170E-2,6.424861908E1,2.905023575E1,-1.286343384E1,7.167474577E1
9.551554162E-2,6.409433746E1,2.906200409E1,-1.303344727E1,7.157202613E1
1.054725416E-1,6.398879623E1,2.901733398E1,-1.278118896E1,7.141379773E1
1.154295417E-1,6.416307068E1,2.906697464E1,-1.266366577E1,7.156924678E1
1.253855417E-1,6.415151215E1,2.909400558E1,-1.260812378E1,7.156006188E1
1.353425416E-1,6.415151215E1,2.909400558E1,-1.260812378E1,7.156006188E1
1.452995416E-1,6.430288696E1,2.912904358E1,-1.259756470E1,7.170816612E1
1.552565417E-1,6.434458923E1,2.912017441E1,-1.246154785E1,7.171820477E1
1.652135416E-1,6.428775024E1,2.917937851E1,-1.271200562E1,7.173524969E1
1.751705416E-1,6.424684906E1,2.897457123E1,-1.262557983E1,7.160020013E1
1.851275417E-1,6.425938416E1,2.915275192E1,-1.253842163E1,7.166842690E1
1.950845417E-1,6.411581421E1,2.913597107E1,-1.268316650E1,7.155840380E1
2.050405416E-1,6.415664673E1,2.925611877E1,-1.270321655E1,7.164752275E1
2.149975416E-1,6.425324249E1,2.908486176E1,-1.256427002E1,7.163985787E1
2.249545417E-1,6.417862701E1,2.908920670E1,-1.261291504E1,7.158326437E1
2.349115417E-1,6.409892273E1,2.921228790E1,-1.249182129E1,7.154072448E1
2.448685416E-1,6.412867737E1,2.896578217E1,-1.267236328E1,7.149889921E1
2.548255416E-1,6.420919800E1,2.899844360E1,-1.281484985E1,7.160971453E1
2.647825417E-1,6.418298340E1,2.896043777E1,-1.271246338E1,7.155256137E1
2.747385417E-1,6.426898193E1,2.903134918E1,-1.269833374E1,7.165590662E1
2.846955416E-1,6.425684357E1,2.913838959E1,-1.273397827E1,7.169478290E1
2.946525416E-1,6.429005432E1,2.917920303E1,-1.272650146E1,7.173981331E1
3.046095417E-1,6.420765686E1,2.910779190E1,-1.268673706E1,7.162988235E1
3.145665417E-1,6.433091736E1,2.905484009E1,-1.273379517E1,7.172726260E1
3.245235416E-1,6.422908020E1,2.902886581E1,-1.267077637E1,7.161423300E1
3.344805416E-1,6.424513245E1,2.910118103E1,-1.264297485E1,7.165305711E1
3.444365417E-1,6.428273010E1,2.915768814E1,-1.267944336E1,7.171616590E1
3.543935417E-1,6.430197144E1,2.923356628E1,-1.263973999E1,7.175728503E1
3.643505416E-1,6.417288971E1,2.917491913E1,-1.255123901E1,7.160215975E1
3.743075416E-1,6.418087769E1,2.906284332E1,-1.264498901E1,7.158023239E1
3.842645417E-1,6.423781586E1,2.918038559E1,-1.255871582E1,7.166389071E1
3.942215416E-1,6.431570435E1,2.923806381E1,-1.270541382E1,7.178301847E1
4.041785416E-1,6.417542267E1,2.914664841E1,-1.270321655E1,7.161971585E1
4.141345416E-1,6.420870972E1,2.911017609E1,-1.259753418E1,7.161605004E1
4.240915417E-1,6.416799164E1,2.903101349E1,-1.261148071E1,7.154984515E1
