"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.348416580E-3,1.459307861E1,-6.991961670E1,1.113912964E1,7.228963240E1
1.430641674E-2,1.462867737E1,-6.993439484E1,1.078494263E1,7.225740633E1
2.426341665E-2,1.469496918E1,-6.993507385E1,1.068823242E1,7.225714488E1
3.422041656E-2,1.470631409E1,-6.988949585E1,1.035487366E1,7.216675628E1
4.417841672E-2,1.483066559E1,-7.002641296E1,1.002746582E1,7.227860835E1
5.413541663E-2,1.504632568E1,-6.985529327E1,9.876388550E0,7.213665480E1
6.409337511E-2,1.495249939E1,-6.993477631E1,9.877517700E0,7.219429015E1
7.405037503E-2,1.507582092E1,-6.974644470E1,9.568038940E0,7.199579359E1
8.400837495E-2,1.507425690E1,-6.977188110E1,9.543441772E0,7.201684452E1
9.396537510E-2,1.515697479E1,-6.986644745E1,9.180419922E0,7.207866865E1
1.039223750E-1,1.522646332E1,-6.981479645E1,9.072235107E0,7.202955253E1
1.138803749E-1,1.522646332E1,-6.981479645E1,9.072235107E0,7.202955253E1
1.238373751E-1,1.535603333E1,-6.981407928E1,9.007247925E0,7.204820568E1
1.337953750E-1,1.542804718E1,-6.977055359E1,8.981445312E0,7.201820011E1
1.437523749E-1,1.545487213E1,-6.971124268E1,8.868850708E0,7.195253255E1
1.537103751E-1,1.532498932E1,-6.971108246E1,8.552352905E0,7.188625081E1
1.636673750E-1,1.541967773E1,-6.975730896E1,8.338714600E0,7.192623149E1
1.736243749E-1,1.557972717E1,-6.967308044E1,8.546585083E0,7.190347804E1
1.835823751E-1,1.556679535E1,-6.966456604E1,8.660003662E0,7.190599796E1
1.935393750E-1,1.551754761E1,-6.965826416E1,8.698501587E0,7.189389390E1
2.034973749E-1,1.554892731E1,-6.956208801E1,8.531860352E0,7.178750497E1
2.134543750E-1,1.576584625E1,-6.934571838E1,8.217926025E0,7.158858061E1
2.234123750E-1,1.579548645E1,-6.925238037E1,8.360931396E0,7.152128881E1
2.333693751E-1,1.567468262E1,-6.920008850E1,8.488204956E0,7.145906204E1
2.433263750E-1,1.575163269E1,-6.928768158E1,8.545867920E0,7.156765058E1
2.532843750E-1,1.590496826E1,-6.922705078E1,8.568817139E0,7.154563021E1
2.632413751E-1,1.594644165E1,-6.916007233E1,8.430023193E0,7.147356082E1
2.731993750E-1,1.605372620E1,-6.918854523E1,8.369110107E0,7.151796222E1
2.831563749E-1,1.594537354E1,-6.926236725E1,8.304885864E0,7.155768011E1
