"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.251958199E-3,1.491094208E1,-1.233395004E1,-2.351470947E0,1.949338177E1
1.620895835E-2,1.492604065E1,-1.235738754E1,-2.352508545E0,1.951988762E1
2.616595826E-2,1.489426422E1,-1.240133286E1,-2.374176025E0,1.952610752E1
3.612295818E-2,1.491214752E1,-1.229943275E1,-2.355346680E0,1.947295170E1
4.607895832E-2,1.484188843E1,-1.242152977E1,-2.608001709E0,1.952889467E1
5.603595823E-2,1.484188843E1,-1.242152977E1,-2.608001709E0,1.952889467E1
6.599295815E-2,1.502642059E1,-1.229964638E1,-2.612472534E0,1.959335677E1
7.594995829E-2,1.501032257E1,-1.231048775E1,-2.694000244E0,1.959886552E1
8.590695821E-2,1.495159149E1,-1.220792770E1,-2.484573364E0,1.946167238E1
9.586295835E-2,1.502454376E1,-1.218227577E1,-2.478454590E0,1.950096140E1
1.058199583E-1,1.493759918E1,-1.217198372E1,-2.796005249E0,1.947066261E1
1.157769582E-1,1.480325317E1,-1.212339211E1,-2.697219849E0,1.932324858E1
1.257339583E-1,1.484170532E1,-1.196808052E1,-2.788619995E0,1.926882378E1
1.356899582E-1,1.481799316E1,-1.193119049E1,-2.978347778E0,1.925608432E1
1.456469581E-1,1.478138733E1,-1.183028603E1,-2.942550659E0,1.915994998E1
1.556039583E-1,1.475540161E1,-1.176759720E1,-3.044189453E0,1.911714701E1
1.655609582E-1,1.473635864E1,-1.170557785E1,-3.147186279E0,1.908102723E1
1.755180415E-1,1.467046356E1,-1.159245491E1,-3.377029419E0,1.900031157E1
1.854740416E-1,1.468460083E1,-1.145787811E1,-3.401092529E0,1.893377677E1
1.954310415E-1,1.455435944E1,-1.134563255E1,-3.470306396E0,1.877753400E1
2.053880417E-1,1.455749512E1,-1.129183197E1,-3.465652466E0,1.874664984E1
2.153450416E-1,1.447406769E1,-1.113735199E1,-3.890365601E0,1.867281953E1
2.253020415E-1,1.460102844E1,-1.113268280E1,-3.892974854E0,1.876917449E1
2.352580416E-1,1.454718781E1,-1.101126671E1,-3.973434448E0,1.867235520E1
2.452150416E-1,1.458998108E1,-1.080412865E1,-4.133270264E0,1.861936268E1
2.551720415E-1,1.462282562E1,-1.073555756E1,-4.139816284E0,1.860691549E1
2.651290416E-1,1.454003906E1,-1.065310097E1,-4.063110352E0,1.847728773E1
2.750860415E-1,1.456790161E1,-1.061000633E1,-4.494964600E0,1.857419442E1
2.850420417E-1,1.453142548E1,-1.061649513E1,-4.386032104E0,1.852321713E1
2.949990416E-1,1.452742004E1,-1.044756126E1,-4.287918091E0,1.840064431E1
3.049560415E-1,1.452424622E1,-1.039350891E1,-4.459045410E0,1.840820039E1
3.149130417E-1,1.431959534E1,-1.036211205E1,-4.604843140E0,1.826550730E1
3.248700416E-1,1.435645294E1,-1.019598579E1,-4.480819702E0,1.816985450E1
3.348260415E-1,1.417848206E1,-1.029274178E1,-4.410003662E0,1.806704234E1
3.447830416E-1,1.423735809E1,-1.013822174E1,-4.413482666E0,1.802677827E1
3.547400415E-1,1.418428802E1,-1.005061340E1,-4.453842163E0,1.794562806E1
3.646970415E-1,1.436711121E1,-9.820774078E0,-4.445388794E0,1.796170842E1
3.746540416E-1,1.422177887E1,-9.880128860E0,-4.581481934E0,1.791273059E1
3.846100415E-1,1.418234253E1,-9.795362473E0,-4.619110107E0,1.784444294E1
3.945670417E-1,1.425829315E1,-9.663015366E0,-4.668365479E0,1.784562764E1
4.045240416E-1,1.413267517E1,-9.736648560E0,-4.610137939E0,1.777043062E1
4.144810415E-1,1.420272827E1,-9.675495148E0,-4.747467041E0,1.782894108E1
4.244370416E-1,1.399938202E1,-9.629117966E0,-4.490829468E0,1.757470225E1
4.343940415E-1,1.398015594E1,-9.633024216E0,-4.762985229E0,1.763309230E1
4.443510415E-1,1.377725983E1,-9.658292770E0,-4.868484497E0,1.751564012E1
4.543080416E-1,1.384286499E1,-9.702325821E0,-4.835556030E0,1.758245260E1
4.642650415E-1,1.374268341E1,-9.681215286E0,-4.635208130E0,1.743767276E1
4.742210417E-1,1.363805389E1,-9.573776245E0,-4.782302856E0,1.733563169E1
4.841780416E-1,1.339803314E1,-9.742490768E0,-4.889114380E0,1.727214109E1
4.941350415E-1,1.329724884E1,-9.796392441E0,-4.827957153E0,1.720741996E1
5.040920416E-1,1.345864105E1,-9.632535934E0,-5.006149292E0,1.729110460E1
5.140490416E-1,1.334858704E1,-9.609731674E0,-5.107238770E0,1.722253194E1
5.240050415E-1,1.326047516E1,-9.657526016E0,-5.341445923E0,1.725221884E1
5.339620416E-1,1.320228577E1,-9.710960388E0,-5.306671143E0,1.722683545E1
5.439190415E-1,1.306845093E1,-9.739105225E0,-5.412658691E0,1.717356848E1
5.538760417E-1,1.300183868E1,-9.836593628E0,-5.407531738E0,1.717695499E1
5.638330416E-1,1.295567322E1,-9.875572205E0,-5.362533569E0,1.715031082E1
5.737890415E-1,1.287005615E1,-9.830688477E0,-5.594985962E0,1.713431204E1
5.837460416E-1,1.287005615E1,-9.830688477E0,-5.594985962E0,1.713431204E1
5.937030416E-1,1.286807251E1,-9.770669937E0,-5.540222168E0,1.708061307E1
6.036600415E-1,1.290048981E1,-9.667306900E0,-5.631347656E0,1.707605155E1
6.136170416E-1,1.285336304E1,-9.666446686E0,-5.744262695E0,1.707763704E1
6.235730415E-1,1.276789856E1,-9.710988998E0,-5.886291504E0,1.708715800E1
6.335300417E-1,1.259070587E1,-9.668148041E0,-5.924972534E0,1.694415122E1
6.434870416E-1,1.249847412E1,-9.698200226E0,-6.058654785E0,1.694031407E1
6.534440415E-1,1.252833557E1,-9.596828461E0,-6.233718872E0,1.696813365E1
6.634010416E-1,1.246333313E1,-9.652412415E0,-6.194610596E0,1.693744191E1
6.733570416E-1,1.237073517E1,-9.602758408E0,-6.253631592E0,1.686285758E1
6.833140415E-1,1.242818451E1,-9.552930832E0,-6.264663696E0,1.688088472E1
6.932710416E-1,1.232685089E1,-9.585884094E0,-6.321258545E0,1.684632709E1
7.032280415E-1,1.230100250E1,-9.658662796E0,-6.411636353E0,1.690306216E1
7.131850417E-1,1.219883728E1,-9.739654541E0,-6.333724976E0,1.684602546E1
