"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.087333335E-3,8.214591980E0,-2.442687607E1,-1.494700623E1,2.979202563E1
1.404433348E-2,8.278892517E0,-2.430697250E1,-1.492532349E1,2.970074502E1
2.400133340E-2,8.281166077E0,-2.431231689E1,-1.493814087E1,2.971219475E1
3.395833331E-2,8.374015808E0,-2.425454712E1,-1.506922913E1,2.975716490E1
4.391533346E-2,8.314773560E0,-2.413747025E1,-1.479483032E1,2.950660830E1
5.387233337E-2,8.460594177E0,-2.399622345E1,-1.492781067E1,2.949982924E1
6.382933329E-2,8.606124878E0,-2.385871696E1,-1.515069580E1,2.954398998E1
7.378633344E-2,8.760643005E0,-2.376320076E1,-1.541247559E1,2.964764712E1
8.374333335E-2,8.833007812E0,-2.366624069E1,-1.544329834E1,2.960757402E1
9.370033350E-2,8.960868835E0,-2.343196106E1,-1.553344727E1,2.950664253E1
1.036573334E-1,8.960670471E0,-2.338960457E1,-1.557489014E1,2.949482022E1
1.136143333E-1,9.111694336E0,-2.310637283E1,-1.555567932E1,2.930710832E1
1.235703335E-1,9.121566772E0,-2.307790947E1,-1.555450439E1,2.928712162E1
1.335273334E-1,9.180549622E0,-2.308581161E1,-1.592486572E1,2.950997353E1
1.434843333E-1,9.185638428E0,-2.301089478E1,-1.594146729E1,2.946196889E1
1.534413334E-1,9.238456726E0,-2.304914093E1,-1.601266479E1,2.954686809E1
1.633983334E-1,9.250267029E0,-2.308184814E1,-1.595857239E1,2.954683040E1
1.733553335E-1,9.378005981E0,-2.302626038E1,-1.596603394E1,2.954775631E1
1.833123334E-1,9.413917542E0,-2.302743721E1,-1.589398193E1,2.952123591E1
1.932693333E-1,9.399322510E0,-2.284534454E1,-1.586802673E1,2.936071020E1
2.032263335E-1,9.478981018E0,-2.279762268E1,-1.577188110E1,2.929735337E1
2.131833334E-1,9.466178894E0,-2.284387207E1,-1.610964966E1,2.951223214E1
2.231403333E-1,9.690544128E0,-2.262814713E1,-1.574371338E1,2.921992811E1
2.330973335E-1,9.764007568E0,-2.265519142E1,-1.588101196E1,2.933939473E1
2.430543334E-1,9.764007568E0,-2.265519142E1,-1.588101196E1,2.933939473E1
2.530103333E-1,9.855468750E0,-2.244190598E1,-1.594537354E1,2.924079933E1
2.629673334E-1,9.817871094E0,-2.240528297E1,-1.617367554E1,2.932533168E1
2.729243333E-1,9.855613708E0,-2.248950195E1,-1.604743958E1,2.933310649E1
2.828813335E-1,9.958702087E0,-2.214799118E1,-1.613604736E1,2.915615347E1
2.928383334E-1,1.002067566E1,-2.208993912E1,-1.616040039E1,2.914683330E1
3.027953333E-1,1.001420593E1,-2.212761688E1,-1.637945557E1,2.929509027E1
3.127523335E-1,1.001531219E1,-2.214105606E1,-1.620941162E1,2.921092034E1
3.227093334E-1,1.004502869E1,-2.219190979E1,-1.616275024E1,2.923384951E1
3.326663333E-1,1.008390808E1,-2.206637192E1,-1.605676270E1,2.909346318E1
3.426233334E-1,1.008521271E1,-2.187649918E1,-1.613510132E1,2.899369287E1
3.525803334E-1,1.008701324E1,-2.208251190E1,-1.599435425E1,2.907240162E1
3.625363335E-1,9.993179321E0,-2.210804749E1,-1.608331299E1,2.910845845E1
3.724933334E-1,9.857666016E0,-2.233556747E1,-1.581855774E1,2.909085634E1
3.824503333E-1,9.869895935E0,-2.239196014E1,-1.570442200E1,2.907651277E1
3.924073335E-1,9.874008179E0,-2.239379692E1,-1.581510925E1,2.913924945E1
4.023643334E-1,9.801673889E0,-2.234935760E1,-1.574873352E1,2.904460714E1
4.123213333E-1,9.779884338E0,-2.238706398E1,-1.568807983E1,2.903347413E1
4.222783335E-1,9.672569275E0,-2.225561523E1,-1.564784241E1,2.887431346E1
4.322353334E-1,9.588745117E0,-2.227957344E1,-1.562464905E1,2.885226306E1
4.421923333E-1,9.436744690E0,-2.227669907E1,-1.544337463E1,2.870193881E1
4.521493334E-1,9.403518677E0,-2.243938065E1,-1.557522583E1,2.888839952E1
4.621063333E-1,9.181625366E0,-2.250102806E1,-1.560685730E1,2.888204465E1
4.720633335E-1,9.239761353E0,-2.234943008E1,-1.572378540E1,2.884627606E1
