"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
9.306916501E-3,2.485879517E1,-3.063815498E1,-1.913349915E1,4.384913942E1
1.926491666E-2,2.477481079E1,-3.051722908E1,-1.929415894E1,4.378763626E1
2.922291658E-2,2.466429138E1,-3.048399544E1,-1.951902771E1,4.380175442E1
3.918191651E-2,2.461885834E1,-3.019705772E1,-1.968211365E1,4.365015554E1
4.913991666E-2,2.454879761E1,-3.014734268E1,-2.013058472E1,4.378065984E1
5.909791659E-2,2.464562225E1,-3.003036499E1,-2.051341248E1,4.393210226E1
6.905591651E-2,2.485844421E1,-2.976741028E1,-2.053375244E1,4.388252446E1
7.901491667E-2,2.484185028E1,-2.969634819E1,-2.065739441E1,4.388300998E1
8.897291659E-2,2.507917786E1,-2.960864067E1,-2.087380981E1,4.406078416E1
9.893091652E-2,2.514607239E1,-2.946909332E1,-2.105679321E1,4.409241384E1
1.088889167E-1,2.528150940E1,-2.926024437E1,-2.114578247E1,4.407335629E1
1.188479166E-1,2.524912262E1,-2.912517738E1,-2.152095032E1,4.414686233E1
1.288059165E-1,2.518199158E1,-2.899626541E1,-2.159216309E1,4.405834330E1
1.387639167E-1,2.514996338E1,-2.885113525E1,-2.177250671E1,4.403351805E1
1.487219166E-1,2.519540405E1,-2.871371460E1,-2.196562195E1,4.406556863E1
1.586809165E-1,2.516141510E1,-2.857355499E1,-2.202029419E1,4.398224882E1
1.686389167E-1,2.526451874E1,-2.854023552E1,-2.208013916E1,4.404967078E1
1.785969166E-1,2.527553558E1,-2.846372795E1,-2.197108459E1,4.395184941E1
1.885549165E-1,2.520612335E1,-2.847760582E1,-2.219183350E1,4.403180852E1
1.985139167E-1,2.515249634E1,-2.859218788E1,-2.218022156E1,4.406953038E1
2.084719166E-1,2.523474884E1,-2.857886505E1,-2.250939941E1,4.427433951E1
2.184299165E-1,2.505006409E1,-2.844393921E1,-2.277958679E1,4.422073001E1
2.283879167E-1,2.482288361E1,-2.811432076E1,-2.316824341E1,4.408353530E1
2.383469166E-1,2.464922333E1,-2.802730942E1,-2.354156494E1,4.412844393E1
2.483049165E-1,2.452980804E1,-2.784579086E1,-2.401322937E1,4.420107166E1
2.582629167E-1,2.424912262E1,-2.777158737E1,-2.458557129E1,4.431400827E1
2.682209166E-1,2.395001984E1,-2.742314148E1,-2.519879150E1,4.427878987E1
2.781799166E-1,2.380508423E1,-2.714796257E1,-2.578919983E1,4.437089964E1
2.881379167E-1,2.349156952E1,-2.677600288E1,-2.648899841E1,4.439003498E1
2.980959166E-1,2.329603577E1,-2.638063622E1,-2.718814087E1,4.447289347E1
3.080539166E-1,2.302524567E1,-2.594067574E1,-2.799604797E1,4.457419991E1
3.180119167E-1,2.258781433E1,-2.557778358E1,-2.843597412E1,4.441888105E1
3.279709166E-1,2.217988586E1,-2.529471588E1,-2.902502441E1,4.443221839E1
3.379289166E-1,2.179019928E1,-2.499458694E1,-2.942007446E1,4.432925606E1
3.478869165E-1,2.144877625E1,-2.481081581E1,-3.002490234E1,4.446483267E1
