"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.362916665E-2,1.453552246E-1,4.264133453E0,-1.435586548E1,1.497647608E1
3.358716669E-2,-1.443481445E-2,4.449985504E0,-1.475021362E1,1.540686150E1
4.354516661E-2,-5.998229980E-2,4.579319000E0,-1.473590088E1,1.543115469E1
5.350316665E-2,-5.897521973E-2,5.023436546E0,-1.494381714E1,1.576566090E1
6.346116669E-2,-3.764190674E-1,5.355209351E0,-1.495819092E1,1.589237031E1
7.341816660E-2,-5.058898926E-1,5.512521744E0,-1.509906006E1,1.608183557E1
8.337616664E-2,-5.192565918E-1,5.781782150E0,-1.508767700E1,1.616590949E1
9.333416668E-2,-7.754211426E-1,5.984113693E0,-1.544140625E1,1.657853798E1
1.032921666E-1,-9.787445068E-1,5.969610214E0,-1.520278931E1,1.636212057E1
1.132501666E-1,-1.228134155E0,6.163095474E0,-1.538861084E1,1.662231641E1
1.232081667E-1,-1.307250977E0,6.394445419E0,-1.522946167E1,1.656907783E1
1.331651666E-1,-1.567535400E0,6.662246704E0,-1.547741699E1,1.692315382E1
1.431231666E-1,-1.713729858E0,6.860309601E0,-1.544897461E1,1.699033650E1
1.530811667E-1,-1.636077881E0,7.210025787E0,-1.544644165E1,1.712465423E1
1.630391666E-1,-1.571365356E0,7.422319412E0,-1.530722046E1,1.708423287E1
1.729971666E-1,-1.623306274E0,7.874984741E0,-1.517172241E1,1.717066303E1
1.829551667E-1,-1.636215210E0,8.312772751E0,-1.500085449E1,1.722803026E1
1.929131666E-1,-1.609802246E0,8.922172546E0,-1.474584961E1,1.731001753E1
2.028701666E-1,-1.464172363E0,9.393129349E0,-1.452972412E1,1.736339721E1
2.128281667E-1,-1.468414307E0,1.008706093E1,-1.443310547E1,1.766973605E1
2.227861666E-1,-1.559112549E0,1.086063957E1,-1.403833008E1,1.781738015E1
2.327441666E-1,-1.609375000E0,1.165025139E1,-1.372793579E1,1.807690976E1
2.427021667E-1,-1.733505249E0,1.234898758E1,-1.340332031E1,1.830714424E1
2.526601666E-1,-1.876235962E0,1.333249664E1,-1.289761353E1,1.864468189E1
2.626171666E-1,-2.087081909E0,1.405922699E1,-1.231771851E1,1.880808240E1
2.725751667E-1,-2.174468994E0,1.503156662E1,-1.152737427E1,1.906716203E1
2.825331666E-1,-2.209640503E0,1.588438416E1,-1.083227539E1,1.935289026E1
2.924911666E-1,-2.148361206E0,1.673179626E1,-1.012802124E1,1.967600763E1
3.024491667E-1,-1.864196777E0,1.746357346E1,-9.096618652E0,1.977877899E1
3.124071666E-1,-1.591873169E0,1.804999733E1,-8.082946777E0,1.984113133E1
3.223641666E-1,-1.258163452E0,1.837613106E1,-7.275787354E0,1.980409679E1
3.323221667E-1,-8.350219727E-1,1.853649902E1,-6.528808594E0,1.967039398E1
3.422801667E-1,-3.533172607E-1,1.868403053E1,-5.990325928E0,1.962401169E1
3.522381666E-1,3.848266602E-2,1.867693138E1,-5.608642578E0,1.950092609E1
3.621961667E-1,5.637054443E-1,1.853038216E1,-5.661529541E0,1.938416218E1
3.721541667E-1,9.250640869E-1,1.824119759E1,-5.667053223E0,1.912361172E1
3.821121666E-1,1.491744995E0,1.799900627E1,-5.906738281E0,1.900208112E1
3.920691666E-1,1.751052856E0,1.741438293E1,-5.845764160E0,1.845263877E1
4.020271667E-1,1.708343506E0,1.716659355E1,-6.443176270E0,1.841534393E1
4.119851666E-1,1.630142212E0,1.683091927E1,-7.066833496E0,1.832695672E1
4.219431666E-1,1.484100342E0,1.688749886E1,-7.681060791E0,1.861152509E1
4.319011667E-1,1.338073730E0,1.670755005E1,-7.742431641E0,1.846287945E1
4.418591666E-1,1.113281250E0,1.665240479E1,-8.171142578E0,1.858250659E1
4.518161666E-1,9.509124756E-1,1.625007629E1,-8.497589111E0,1.836241364E1
4.617741667E-1,8.897857666E-1,1.620845604E1,-9.017761230E0,1.856948528E1
4.717321666E-1,5.868835449E-1,1.616133118E1,-9.097045898E0,1.855503441E1
4.816901666E-1,3.152008057E-1,1.644036865E1,-9.822326660E0,1.915367260E1
4.916481667E-1,3.152008057E-1,1.644036865E1,-9.822326660E0,1.915367260E1
5.016061666E-1,-6.292724609E-2,1.632517433E1,-9.934051514E0,1.911022387E1
5.115641666E-1,-5.458679199E-1,1.634413147E1,-1.040591431E1,1.938328295E1
5.215211667E-1,-8.735198975E-1,1.626331139E1,-1.058929443E1,1.942656663E1
5.314791666E-1,-1.168991089E0,1.617993355E1,-1.144580078E1,1.985354239E1
5.414371666E-1,-1.601806641E0,1.601878166E1,-1.152789307E1,1.980049164E1
5.513951667E-1,-1.943542480E0,1.591126251E1,-1.177609253E1,1.989024855E1
5.613531666E-1,-2.368392944E0,1.563465881E1,-1.184439087E1,1.975706042E1
5.713111666E-1,-2.753387451E0,1.558957863E1,-1.227154541E1,2.003015055E1
5.812681667E-1,-3.131469727E0,1.534084320E1,-1.250921631E1,2.004066030E1
5.912261667E-1,-3.465911865E0,1.537861061E1,-1.304382324E1,2.046107363E1
6.011841666E-1,-3.844177246E0,1.537561607E1,-1.308697510E1,2.055373897E1
6.111421667E-1,-4.061477661E0,1.558873940E1,-1.351895142E1,2.103013181E1
6.211001667E-1,-4.467010498E0,1.561509705E1,-1.349966431E1,2.111933652E1
6.310581666E-1,-4.536163330E0,1.576737785E1,-1.347671509E1,2.123225922E1
