"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.592720835E-2,8.337005615E0,-2.769535828E1,-9.451721191E0,3.042817060E1
2.588520828E-2,8.402664185E0,-2.761643219E1,-9.627426147E0,3.042958144E1
3.584320820E-2,8.316223145E0,-2.761078262E1,-9.541992188E0,3.037374688E1
4.580120835E-2,8.243392944E0,-2.747512817E1,-9.647628784E0,3.026405354E1
5.575920828E-2,8.182533264E0,-2.750953484E1,-9.888458252E0,3.035638259E1
6.571720820E-2,8.195526123E0,-2.747943115E1,-9.915847778E0,3.034155273E1
7.567520835E-2,8.154174805E0,-2.740777969E1,-9.878494263E0,3.025329079E1
8.563320828E-2,8.340293884E0,-2.734868813E1,-9.992721558E0,3.028804597E1
9.559120820E-2,8.357559204E0,-2.738789177E1,-9.993515015E0,3.032846441E1
1.055492084E-1,8.321022034E0,-2.740078354E1,-1.022886658E1,3.040842084E1
1.155072083E-1,8.290924072E0,-2.727102852E1,-1.044183350E1,3.035589408E1
1.254652082E-1,8.384277344E0,-2.722364044E1,-1.020536804E1,3.025842432E1
1.354232084E-1,8.380195618E0,-2.735571861E1,-1.028381348E1,3.040262882E1
1.453812083E-1,8.500419617E0,-2.713987350E1,-1.009620667E1,3.017885446E1
1.553382082E-1,8.566902161E0,-2.714165497E1,-1.009715271E1,3.019956523E1
1.652962083E-1,8.447242737E0,-2.719419861E1,-1.037004089E1,3.030541364E1
1.752542083E-1,8.436584473E0,-2.723481750E1,-1.023429871E1,3.029277327E1
1.852122082E-1,8.603668213E0,-2.723336601E1,-1.033746338E1,3.037338440E1
1.951702083E-1,8.352783203E0,-2.721653366E1,-1.050210571E1,3.034473457E1
2.051282083E-1,8.435997009E0,-2.721389389E1,-1.049784851E1,3.036390768E1
2.150862082E-1,8.469306946E0,-2.723871994E1,-1.036834717E1,3.035094145E1
2.250442083E-1,8.444763184E0,-2.718990707E1,-1.023042297E1,3.025337380E1
2.350022083E-1,8.471084595E0,-2.738259888E1,-1.030262756E1,3.045833433E1
2.449602082E-1,8.532806396E0,-2.715018654E1,-1.043144226E1,3.031099473E1
2.549182083E-1,8.539970398E0,-2.722990990E1,-1.020446777E1,3.030726398E1
2.648762083E-1,8.465324402E0,-2.714896393E1,-1.010272217E1,3.017934649E1
2.748342082E-1,8.531196594E0,-2.712973404E1,-9.958541870E0,3.013264576E1
2.847922083E-1,8.514442444E0,-2.727895355E1,-1.018496704E1,3.033761017E1
2.947502083E-1,8.541282654E0,-2.712717247E1,-9.817733765E0,3.008695551E1
3.047082082E-1,8.601089478E0,-2.730321121E1,-9.964706421E0,3.031071521E1
3.146662083E-1,8.687675476E0,-2.719280434E1,-1.005508423E1,3.026597151E1
3.246242083E-1,8.814567566E0,-2.709223938E1,-9.974731445E0,3.018577982E1
3.345822082E-1,8.775001526E0,-2.707002640E1,-1.018090820E1,3.022313473E1
3.445402083E-1,8.718551636E0,-2.709158325E1,-1.010778809E1,3.020156297E1
3.544982083E-1,8.738876343E0,-2.706197739E1,-1.034797668E1,3.026217443E1
3.644562082E-1,8.718063354E0,-2.708084297E1,-1.016551208E1,3.021116219E1
3.744132083E-1,8.800369263E0,-2.691239738E1,-1.049565125E1,3.019738941E1
3.843712083E-1,8.720252991E0,-2.691001892E1,-1.063265991E1,3.021995015E1
3.943292082E-1,8.767906189E0,-2.698377800E1,-1.078175354E1,3.035204546E1
4.042872083E-1,8.786209106E0,-2.683374023E1,-1.058203125E1,3.015338241E1
4.142452083E-1,8.777107239E0,-2.698521042E1,-1.076489258E1,3.034999349E1
4.242032082E-1,8.779243469E0,-2.678169632E1,-1.087579346E1,3.020955572E1
4.341612083E-1,8.749961853E0,-2.677492523E1,-1.082550049E1,3.017697656E1
4.441192083E-1,8.717407227E0,-2.671781921E1,-1.074417114E1,3.008774278E1
4.540772082E-1,8.717407227E0,-2.671781921E1,-1.074417114E1,3.008774278E1
4.640352083E-1,8.718673706E0,-2.665115356E1,-1.082049561E1,3.005632018E1
4.739932083E-1,8.703903198E0,-2.663639450E1,-1.096360779E1,3.009079824E1
4.839512082E-1,8.822135925E0,-2.679288864E1,-1.099945068E1,3.027667220E1
4.939092083E-1,8.719337463E0,-2.680377579E1,-1.095333862E1,3.023978950E1
5.038672083E-1,8.766258240E0,-2.675030518E1,-1.098118591E1,3.021609761E1
5.138252082E-1,8.561927795E0,-2.665479088E1,-1.076239014E1,2.999355807E1
5.237832083E-1,8.619842529E0,-2.673180962E1,-1.083297729E1,3.010389888E1
5.337412083E-1,8.529380798E0,-2.668947983E1,-1.076966858E1,3.001773528E1
5.436992082E-1,8.605331421E0,-2.676819611E1,-1.110412598E1,3.023060809E1
5.536572083E-1,8.497383118E0,-2.668184662E1,-1.101278687E1,3.008999723E1
5.636152083E-1,8.407165527E0,-2.662781906E1,-1.108235168E1,3.004229850E1
5.735732082E-1,8.399734497E0,-2.653933716E1,-1.107072449E1,2.995751821E1
5.835312083E-1,8.555702209E0,-2.645552444E1,-1.120904541E1,2.997895116E1
5.934882083E-1,8.375617981E0,-2.644002151E1,-1.118135071E1,2.990398498E1
6.034462082E-1,8.489402771E0,-2.635599899E1,-1.110568237E1,2.983361901E1
6.134042083E-1,8.344200134E0,-2.641862679E1,-1.134825134E1,2.993914370E1
6.233622083E-1,8.386169434E0,-2.627582169E1,-1.136000061E1,2.982945284E1
6.333202082E-1,8.280746460E0,-2.627454185E1,-1.129063416E1,2.977248279E1
6.432782083E-1,8.540405273E0,-2.625414658E1,-1.147473145E1,2.989796308E1
6.532362083E-1,8.401229858E0,-2.617701721E1,-1.140290833E1,2.976311831E1
6.631942082E-1,8.471397400E0,-2.603650665E1,-1.139292908E1,2.965574288E1
6.731522083E-1,8.429344177E0,-2.598317719E1,-1.171313477E1,2.972165651E1
6.831102083E-1,8.427482605E0,-2.607001877E1,-1.162968445E1,2.976437303E1
6.930682082E-1,8.536201477E0,-2.590509224E1,-1.152671814E1,2.961090628E1
