"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.308841677E-2,1.251609802E0,-3.846015549E1,-1.126441956E1,4.009535179E1
2.304541669E-2,1.270164490E0,-3.863336945E1,-1.093275452E1,4.017058220E1
3.300341684E-2,1.216346741E0,-3.862144089E1,-1.066262817E1,4.008474567E1
4.296041676E-2,1.246070862E0,-3.865288925E1,-1.070011902E1,4.012594033E1
5.291841668E-2,1.271842957E0,-3.846277618E1,-1.065486145E1,3.993155155E1
6.287641684E-2,1.134552002E0,-3.846829224E1,-1.099212646E1,4.002403728E1
7.283341675E-2,1.075874329E0,-3.841988754E1,-1.125975037E1,4.005030890E1
8.279141667E-2,1.105926514E0,-3.825643158E1,-1.119664001E1,3.987658935E1
9.274941683E-2,1.099777222E0,-3.806229401E1,-1.142529297E1,3.975531479E1
1.027064167E-1,9.680404663E-1,-3.804543304E1,-1.152952576E1,3.976584014E1
1.126644167E-1,1.048904419E0,-3.797887039E1,-1.184286499E1,3.979633460E1
1.226214168E-1,1.033340454E0,-3.780296326E1,-1.187878418E1,3.963883622E1
1.325794167E-1,1.028289795E0,-3.761139679E1,-1.166337585E1,3.939173625E1
1.425374167E-1,1.068695068E0,-3.753134155E1,-1.196722412E1,3.940759015E1
1.524944168E-1,9.841308594E-1,-3.762830734E1,-1.196733093E1,3.949778521E1
1.624524167E-1,9.200057983E-1,-3.770701218E1,-1.219049072E1,3.963928912E1
1.724104166E-1,9.388885498E-1,-3.782650757E1,-1.222380066E1,3.976364532E1
1.823674168E-1,9.731521606E-1,-3.781914902E1,-1.206272888E1,3.970824204E1
1.923254167E-1,9.195785522E-1,-3.781045914E1,-1.214102173E1,3.972254843E1
2.022834169E-1,8.910140991E-1,-3.786690140E1,-1.203506470E1,3.974341341E1
2.122404168E-1,1.028663635E0,-3.788840103E1,-1.218186951E1,3.981189554E1
2.221984167E-1,1.036239624E0,-3.802709198E1,-1.196615601E1,3.987884661E1
2.321554169E-1,1.004806519E0,-3.801189041E1,-1.194557190E1,3.985737243E1
2.421138750E-1,9.105758667E-1,-3.796151733E1,-1.159062195E1,3.970199572E1
2.520718751E-1,1.067260742E0,-3.781741333E1,-1.141122437E1,3.951596940E1
2.620288751E-1,1.252983093E0,-3.787219620E1,-1.150355530E1,3.960056813E1
2.719868750E-1,1.230255127E0,-3.798937607E1,-1.141462708E1,3.968626882E1
2.819448751E-1,1.337356567E0,-3.802182770E1,-1.138314819E1,3.971176106E1
2.919018751E-1,1.553947449E0,-3.796895218E1,-1.152267456E1,3.970929502E1
3.018598750E-1,1.519821167E0,-3.804681015E1,-1.190293884E1,3.989422981E1
3.118168751E-1,1.620223999E0,-3.802367783E1,-1.169894409E1,3.981570663E1
3.217748750E-1,1.555320740E0,-3.809737396E1,-1.161370850E1,3.985858942E1
3.317328752E-1,1.499725342E0,-3.808654785E1,-1.175558472E1,3.988769328E1
3.416898751E-1,1.539321899E0,-3.804393005E1,-1.159254456E1,3.980071878E1
3.516478750E-1,1.486015320E0,-3.821997833E1,-1.140310669E1,3.991247709E1
3.616048752E-1,1.429550171E0,-3.827948380E1,-1.115518188E1,3.989737556E1
3.715628751E-1,1.400749207E0,-3.853152847E1,-1.068190002E1,4.000929608E1
3.815208750E-1,1.511123657E0,-3.871266174E1,-1.015722656E1,4.005150341E1
3.914778752E-1,1.751251221E0,-3.882395935E1,-9.835754395E0,4.008876108E1
4.014358751E-1,1.782981873E0,-3.895822144E1,-9.591049194E0,4.016105410E1
4.113938750E-1,1.965446472E0,-3.903908539E1,-9.413681030E0,4.020610101E1
4.213508752E-1,2.044616699E0,-3.900544357E1,-9.471954346E0,4.019108116E1
4.313088751E-1,2.094833374E0,-3.894981766E1,-9.427551270E0,4.012923305E1
4.412658750E-1,1.958129883E0,-3.866975021E1,-9.843444824E0,3.995093566E1
4.512238752E-1,1.691619873E0,-3.846801376E1,-1.053672791E1,3.992082534E1
4.611818751E-1,1.445091248E0,-3.810347366E1,-1.100938416E1,3.968840553E1
4.711388750E-1,1.445091248E0,-3.810347366E1,-1.100938416E1,3.968840553E1
4.810968752E-1,1.059005737E0,-3.783607101E1,-1.137234497E1,3.952239863E1
4.910548751E-1,8.596191406E-1,-3.770487213E1,-1.176486206E1,3.950706654E1
5.010118750E-1,6.828918457E-1,-3.764173508E1,-1.176332092E1,3.944289898E1
5.109698751E-1,5.159378052E-1,-3.756420898E1,-1.192268372E1,3.941429151E1
5.209268751E-1,1.805572510E-1,-3.758158493E1,-1.210836792E1,3.948443618E1
5.308848750E-1,3.533935547E-2,-3.758459854E1,-1.208216858E1,3.947888162E1
5.408428751E-1,-1.785125732E-1,-3.760796356E1,-1.187364197E1,3.943823226E1
5.507998751E-1,-2.821655273E-1,-3.768610382E1,-1.186602783E1,3.951107003E1
5.607578750E-1,-2.422180176E-1,-3.754365158E1,-1.192202759E1,3.939186700E1
5.707158751E-1,-3.508148193E-1,-3.751750946E1,-1.206346130E1,3.941083209E1
5.806728750E-1,-2.457199097E-1,-3.735612869E1,-1.234442139E1,3.934368397E1
5.906308752E-1,-2.901992798E-1,-3.715799713E1,-1.243814087E1,3.918556258E1
6.005878751E-1,-4.051132202E-1,-3.686840057E1,-1.293066406E1,3.907230670E1
6.105458750E-1,-4.680252075E-1,-3.668103027E1,-1.320564270E1,3.898853714E1
6.205038752E-1,-6.658096313E-1,-3.657123566E1,-1.327763367E1,3.891264750E1
6.304608751E-1,-7.662048340E-1,-3.665202713E1,-1.313851929E1,3.894327736E1
6.404188750E-1,-8.857955933E-1,-3.664502335E1,-1.324761963E1,3.897616959E1
6.503758752E-1,-9.485168457E-1,-3.671115875E1,-1.317962646E1,3.901680939E1
6.603338751E-1,-9.495391846E-1,-3.686045837E1,-1.293708801E1,3.907637729E1
6.702918750E-1,-9.866180420E-1,-3.691294098E1,-1.271185303E1,3.905291070E1
6.802488752E-1,-1.110015869E0,-3.706967545E1,-1.277883911E1,3.922616094E1
6.902068751E-1,-1.312522888E0,-3.711864853E1,-1.254440308E1,3.920304623E1
7.001638750E-1,-1.373413086E0,-3.707089233E1,-1.264804077E1,3.919324250E1
7.101218752E-1,-1.406883240E0,-3.694218826E1,-1.250239563E1,3.902581826E1
7.200798751E-1,-1.451171875E0,-3.709648132E1,-1.247526550E1,3.916487043E1
7.300368750E-1,-1.449661255E0,-3.692719269E1,-1.262673950E1,3.905321534E1
7.399948752E-1,-1.461105347E0,-3.700810623E1,-1.272482300E1,3.916191870E1
7.499528751E-1,-1.452880859E0,-3.691569519E1,-1.270516968E1,3.906789924E1
7.599098750E-1,-1.429801941E0,-3.689584732E1,-1.261831665E1,3.902012043E1
