"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.644916669E-2,5.915161133E0,-4.207282257E1,-1.455026245E1,4.490903771E1
2.640616684E-2,5.898162842E0,-4.223477936E1,-1.460934448E1,4.507768693E1
3.636416676E-2,5.828628540E0,-4.221433258E1,-1.469192505E1,4.507632913E1
4.632116668E-2,5.837661743E0,-4.216059113E1,-1.475341797E1,4.504727606E1
5.627816683E-2,5.677230835E0,-4.210519409E1,-1.513165283E1,4.510039065E1
6.623516674E-2,5.735366821E0,-4.216929626E1,-1.510586548E1,4.515895428E1
7.619316666E-2,5.641128540E0,-4.205259705E1,-1.516073608E1,4.505653302E1
8.615016681E-2,5.605789185E0,-4.199706268E1,-1.517395020E1,4.500474320E1
9.610716673E-2,5.271072388E0,-4.209404755E1,-1.530355835E1,4.509869112E1
1.060641666E-1,5.141937256E0,-4.207861328E1,-1.529968262E1,4.506805412E1
1.160221668E-1,5.027236938E0,-4.203760529E1,-1.552972412E1,4.509551752E1
1.259791667E-1,5.064834595E0,-4.201715851E1,-1.540725708E1,4.503862486E1
1.359361669E-1,4.887420654E0,-4.205258179E1,-1.554025269E1,4.509773796E1
1.458931668E-1,4.883712769E0,-4.206072235E1,-1.562066650E1,4.513269588E1
1.558511667E-1,5.017593384E0,-4.199819183E1,-1.559347534E1,4.507971644E1
1.658081668E-1,5.090072632E0,-4.193631744E1,-1.563140869E1,4.504336242E1
1.757651668E-1,5.018676758E0,-4.191168213E1,-1.595715332E1,4.512656598E1
1.857221667E-1,4.991302490E0,-4.197277069E1,-1.621743774E1,4.527286016E1
1.956791668E-1,4.867279053E0,-4.170500946E1,-1.665194702E1,4.516952024E1
2.056371667E-1,4.806335449E0,-4.151132965E1,-1.700393677E1,4.511568702E1
2.155941667E-1,4.753341675E0,-4.135662079E1,-1.706228638E1,4.498984282E1
2.255511668E-1,4.870727539E0,-4.128922272E1,-1.720294189E1,4.499405638E1
2.355081667E-1,4.638870239E0,-4.124004364E1,-1.736306763E1,4.498595819E1
2.454661666E-1,4.584747314E0,-4.115740204E1,-1.758197021E1,4.498974691E1
2.554231668E-1,4.762924194E0,-4.101184082E1,-1.797952271E1,4.503243021E1
2.653801667E-1,4.670516968E0,-4.089627075E1,-1.833218384E1,4.505982306E1
2.753371669E-1,4.498306274E0,-4.085147858E1,-1.870684814E1,4.515555590E1
2.852941668E-1,4.293243408E0,-4.079636383E1,-1.885617065E1,4.514787274E1
2.952521667E-1,4.267471313E0,-4.068292236E1,-1.920294189E1,4.518920735E1
3.052091668E-1,4.143676758E0,-4.054584503E1,-1.944537354E1,4.515814609E1
3.151661668E-1,4.083831787E0,-4.038320923E1,-1.957382202E1,4.506235433E1
3.251231667E-1,4.061706543E0,-4.033462524E1,-1.957806396E1,4.501866327E1
3.350811668E-1,3.806625366E0,-4.032205200E1,-1.949645996E1,4.494964099E1
3.450381667E-1,3.490707397E0,-4.050468445E1,-1.927182007E1,4.499130526E1
3.549951667E-1,3.334014893E0,-4.052325439E1,-1.927032471E1,4.499550218E1
3.649521668E-1,3.184280396E0,-4.061081696E1,-1.921710205E1,4.504081601E1
3.749091667E-1,3.205947876E0,-4.057623291E1,-1.936050415E1,4.507258479E1
3.848671669E-1,3.205627441E0,-4.049075317E1,-1.938610840E1,4.500664772E1
3.948241668E-1,3.116363525E0,-4.054378510E1,-1.947833252E1,4.508786610E1
4.047811667E-1,3.012710571E0,-4.038201141E1,-1.946929932E1,4.493146878E1
4.147381668E-1,3.038238525E0,-4.052244568E1,-1.986111450E1,4.523011570E1
4.246961668E-1,2.869308472E0,-4.075131226E1,-1.993084717E1,4.545482428E1
4.346531667E-1,2.869308472E0,-4.075131226E1,-1.993084717E1,4.545482428E1
4.446101668E-1,2.845626831E0,-4.058812714E1,-1.962213135E1,4.517213406E1
4.545671667E-1,2.904113770E0,-4.047583771E1,-1.961227417E1,4.507070682E1
4.645241667E-1,3.075531006E0,-4.017499542E1,-1.991738892E1,4.494654079E1
4.744821668E-1,3.380615234E0,-3.995454407E1,-2.043978882E1,4.500643418E1
4.844391667E-1,3.831085205E0,-3.968254852E1,-2.092028809E1,4.502266457E1
4.943961666E-1,3.947250366E0,-3.937269592E1,-2.131332397E1,4.494494130E1
5.043531668E-1,4.205123901E0,-3.894324493E1,-2.171899414E1,4.478810221E1
5.143111667E-1,4.471817017E0,-3.855152130E1,-2.216146851E1,4.469169530E1
5.242681669E-1,4.685577393E0,-3.816989899E1,-2.266778564E1,4.463994097E1
5.342251668E-1,4.587661743E0,-3.784592438E1,-2.310260010E1,4.457679625E1
5.441821667E-1,4.496475220E0,-3.762493134E1,-2.327432251E1,4.446962824E1
5.541391668E-1,4.314498901E0,-3.756156158E1,-2.351712036E1,4.452573143E1
5.640971668E-1,4.265472412E0,-3.744461823E1,-2.378002930E1,4.456213059E1
5.740541667E-1,4.029571533E0,-3.736010742E1,-2.398016357E1,4.457648840E1
5.840111668E-1,4.056518555E0,-3.751386261E1,-2.413992310E1,4.479376204E1
5.939681667E-1,4.040618896E0,-3.750282288E1,-2.401943970E1,4.471824916E1
6.039261667E-1,4.138061523E0,-3.762702942E1,-2.371557617E1,4.466928978E1
6.138831668E-1,4.022857666E0,-3.781613159E1,-2.339453125E1,4.464915772E1
6.238401667E-1,3.932815552E0,-3.807524872E1,-2.295480347E1,4.463311109E1
6.337971669E-1,3.496566772E0,-3.826541901E1,-2.274151611E1,4.465025001E1
6.437541668E-1,3.134170532E0,-3.850868225E1,-2.268624878E1,4.480410157E1
6.537125835E-1,2.571945190E0,-3.845127869E1,-2.271615601E1,4.473409749E1
6.636695834E-1,2.012420654E0,-3.859197998E1,-2.283694458E1,4.488782456E1
6.736265835E-1,1.307601929E0,-3.838729095E1,-2.292541504E1,4.473106956E1
6.835835834E-1,3.504486084E-1,-3.830305481E1,-2.333230591E1,4.485134692E1
6.935405834E-1,-6.904602051E-1,-3.811064148E1,-2.378515625E1,4.492918191E1
7.034985835E-1,-1.401107788E0,-3.785206604E1,-2.398641968E1,4.483403100E1
7.134555834E-1,-1.977981567E0,-3.746201324E1,-2.452828979E1,4.482133251E1
7.234125833E-1,-1.935531616E0,-3.705860901E1,-2.529602051E1,4.491074969E1
7.333695835E-1,-1.574050903E0,-3.686000824E1,-2.567007446E1,4.494541764E1
7.433275834E-1,-6.763305664E-1,-3.653806305E1,-2.609796143E1,4.490647019E1
7.532845833E-1,-5.851745605E-2,-3.637484741E1,-2.635253906E1,4.491758301E1
7.632415835E-1,2.114410400E-1,-3.624653625E1,-2.639483643E1,4.483908438E1
7.731985834E-1,2.923431396E-1,-3.608621979E1,-2.660330200E1,4.483342950E1
7.831555833E-1,6.988372803E-1,-3.583171082E1,-2.716290283E1,4.496913568E1
7.931135835E-1,8.484802246E-1,-3.587039948E1,-2.738290405E1,4.513567227E1
8.030705834E-1,9.362640381E-1,-3.592517853E1,-2.731570435E1,4.514025639E1
8.130275835E-1,8.305969238E-1,-3.597494507E1,-2.720397949E1,4.511034321E1
8.229845834E-1,7.444458008E-1,-3.614204407E1,-2.712060547E1,4.519213195E1
8.329415834E-1,5.703582764E-1,-3.641175842E1,-2.683743286E1,4.523703419E1
8.428995835E-1,3.543701172E-1,-3.695293427E1,-2.664938354E1,4.556132760E1
8.528565834E-1,1.219329834E-1,-3.733725739E1,-2.649505615E1,4.578289699E1
8.628135833E-1,-1.003112793E-1,-3.776387787E1,-2.594937134E1,4.582019650E1
8.727705835E-1,-3.733825684E-1,-3.806681824E1,-2.559017944E1,4.587024470E1
8.827275834E-1,-4.621124268E-1,-3.835395050E1,-2.537835693E1,4.599239141E1
8.926855833E-1,-5.868835449E-1,-3.863643646E1,-2.544863892E1,4.626825994E1
9.026425835E-1,-4.541320801E-1,-3.877064514E1,-2.538302612E1,4.634293016E1
9.125995834E-1,-4.540710449E-1,-3.868213654E1,-2.544952393E1,4.630542231E1
9.225565835E-1,-3.217620850E-1,-3.876596832E1,-2.571838379E1,4.652245797E1
9.325145835E-1,-1.506042480E-1,-3.866726685E1,-2.603781128E1,4.661703362E1
9.424715834E-1,-4.808044434E-2,-3.868963623E1,-2.645947266E1,4.687210211E1
9.524285835E-1,5.606079102E-2,-3.858037567E1,-2.658383179E1,4.685241341E1
9.623855834E-1,5.606079102E-2,-3.858037567E1,-2.658383179E1,4.685241341E1
9.723425834E-1,1.683044434E-1,-3.872481537E1,-2.660208130E1,4.698202189E1
9.823005835E-1,3.253173828E-2,-3.865048981E1,-2.683718872E1,4.705418280E1
9.922575834E-1,-9.109497070E-3,-3.883760071E1,-2.685150146E1,4.721612482E1
1.002214583E0,-1.097869873E-1,-3.888404083E1,-2.705294800E1,4.736921659E1
1.012171583E0,-2.503967285E-1,-3.906346893E1,-2.696728516E1,4.746842922E1
1.022128583E0,-3.620605469E-1,-3.916854858E1,-2.722952271E1,4.770485502E1
1.032086583E0,-7.844696045E-1,-3.932539368E1,-2.708932495E1,4.775911962E1
1.042043583E0,-1.232772827E0,-3.953107452E1,-2.688012695E1,4.782015064E1
1.052000583E0,-1.624755859E0,-3.981185913E1,-2.699093628E1,4.812623609E1
1.061957584E0,-1.917648315E0,-4.006301117E1,-2.683877563E1,4.826015040E1
1.071914583E0,-2.037567139E0,-4.023590088E1,-2.673449707E1,4.835093311E1
1.081872583E0,-2.246414185E0,-4.026271820E1,-2.693682861E1,4.849459340E1
1.091829584E0,-2.534423828E0,-4.044911194E1,-2.698291016E1,4.868913022E1
1.101786583E0,-2.553833008E0,-4.047187805E1,-2.722134399E1,4.884154528E1
1.111743583E0,-2.422012329E0,-4.040185547E1,-2.711532593E1,4.871772746E1
1.121700583E0,-2.307159424E0,-4.056687927E1,-2.738531494E1,4.899949135E1
1.131658583E0,-2.386993408E0,-4.064531708E1,-2.753323364E1,4.915097652E1
1.141615583E0,-2.268600464E0,-4.060112762E1,-2.764883423E1,4.917373432E1
1.151572583E0,-2.261367798E0,-4.066192627E1,-2.789099121E1,4.936003873E1
1.161529583E0,-2.097442627E0,-4.052923584E1,-2.821243286E1,4.942630465E1
1.171486584E0,-2.258255005E0,-4.059851074E1,-2.834024048E1,4.956317202E1
1.181444583E0,-2.284851074E0,-4.044078827E1,-2.878109741E1,4.968932952E1
1.191401583E0,-2.403884888E0,-4.046835327E1,-2.911865234E1,4.991354719E1
1.201358584E0,-2.593643188E0,-4.062342072E1,-2.933663940E1,5.017596743E1
1.211315583E0,-2.961029053E0,-4.063403320E1,-2.941754150E1,5.025220488E1
1.221272583E0,-3.023162842E0,-4.066191864E1,-2.955227661E1,5.035740456E1
1.231230584E0,-3.093566895E0,-4.057804871E1,-2.970330811E1,5.038288107E1
1.241187583E0,-3.177001953E0,-4.062744141E1,-3.027926636E1,5.076924569E1
1.251144583E0,-3.606704712E0,-4.052880096E1,-3.070254517E1,5.097291738E1
1.261101583E0,-3.803634644E0,-4.045772552E1,-3.119036865E1,5.122630465E1
1.271058583E0,-3.741882324E0,-4.042430115E1,-3.154953003E1,5.141496525E1
1.281016583E0,-3.660659790E0,-4.024921417E1,-3.183529663E1,5.144789387E1
1.290973583E0,-3.735565186E0,-4.022676849E1,-3.204577637E1,5.156625964E1
1.300930583E0,-3.676742554E0,-4.023007965E1,-3.225216675E1,5.169313305E1
1.310887584E0,-3.686981201E0,-4.030384827E1,-3.246734619E1,5.188566839E1
