"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.865449991E-2,1.503984070E1,-4.627040863E1,-2.035150146E1,5.273832700E1
3.861308331E-2,1.499459839E1,-4.620986176E1,-2.048757935E1,5.272504350E1
4.857008322E-2,1.496603394E1,-4.622270966E1,-2.049542236E1,5.273123740E1
5.852808314E-2,1.495854187E1,-4.609862518E1,-2.063577271E1,5.267519657E1
6.848508329E-2,1.501672363E1,-4.588756561E1,-2.083715820E1,5.258666968E1
7.844308321E-2,1.494966125E1,-4.582048798E1,-2.086178589E1,5.251879283E1
8.840008336E-2,1.493469238E1,-4.564489365E1,-2.101135254E1,5.242116260E1
9.835808328E-2,1.495814514E1,-4.554452896E1,-2.121871948E1,5.242408112E1
1.083150832E-1,1.491351318E1,-4.550944519E1,-2.124514771E1,5.239159072E1
1.182730834E-1,1.481652832E1,-4.536590576E1,-2.163262939E1,5.239814473E1
1.282310833E-1,1.461676025E1,-4.521562195E1,-2.188290405E1,5.231599792E1
1.381880832E-1,1.449600220E1,-4.510501480E1,-2.202435303E1,5.224623016E1
1.481460833E-1,1.449456787E1,-4.498048782E1,-2.226043701E1,5.223852830E1
1.581030833E-1,1.438574219E1,-4.488521576E1,-2.211090088E1,5.206269403E1
1.680610832E-1,1.422300720E1,-4.486843872E1,-2.200915527E1,5.196030834E1
1.780180833E-1,1.421630859E1,-4.479943085E1,-2.198370361E1,5.188810710E1
1.879760833E-1,1.419369507E1,-4.458036804E1,-2.206430054E1,5.172720322E1
1.979330832E-1,1.398901367E1,-4.463137436E1,-2.221520996E1,5.177999261E1
2.078910833E-1,1.398968506E1,-4.442925262E1,-2.232012939E1,5.165131124E1
2.178490832E-1,1.377615356E1,-4.440558624E1,-2.240435791E1,5.161001598E1
2.278060832E-1,1.371354675E1,-4.427100372E1,-2.266143799E1,5.158995936E1
2.377640833E-1,1.363900757E1,-4.402429199E1,-2.307699585E1,5.154326872E1
2.477210832E-1,1.349101257E1,-4.383148956E1,-2.296606445E1,5.128983344E1
2.576790832E-1,1.328340149E1,-4.379423523E1,-2.313394165E1,5.127926531E1
2.676360833E-1,1.343841553E1,-4.368763733E1,-2.295257568E1,5.114705659E1
2.775940832E-1,1.337670898E1,-4.354888916E1,-2.306326294E1,5.106227754E1
2.875510831E-1,1.337968445E1,-4.344237518E1,-2.309582520E1,5.098698911E1
2.975090833E-1,1.333026123E1,-4.336045074E1,-2.296417236E1,5.084464343E1
3.074660832E-1,1.326527405E1,-4.316710663E1,-2.283663940E1,5.060512513E1
3.174240834E-1,1.320001221E1,-4.310546494E1,-2.318301392E1,5.069293406E1
3.273820833E-1,1.325015259E1,-4.277175140E1,-2.304574585E1,5.035966306E1
3.373390832E-1,1.301905823E1,-4.276580048E1,-2.318402100E1,5.035780374E1
3.472970834E-1,1.280459595E1,-4.261417770E1,-2.345645142E1,5.030040687E1
3.572540833E-1,1.253178406E1,-4.247711182E1,-2.364837646E1,5.020554102E1
3.672120832E-1,1.243084717E1,-4.208042145E1,-2.383325195E1,4.993307250E1
3.771690833E-1,1.212229919E1,-4.197690582E1,-2.404388428E1,4.987102497E1
3.871270833E-1,1.180445862E1,-4.193279266E1,-2.451123047E1,4.998504539E1
