"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
8.298125118E-3,8.588668823E0,-5.903499603E1,-3.649475098E1,6.993398914E1
1.825512503E-2,8.538116455E0,-5.894288635E1,-3.649230957E1,6.984877910E1
2.821212518E-2,8.538528442E0,-5.892743683E1,-3.659570312E1,6.988987599E1
3.816912510E-2,8.460983276E0,-5.890058517E1,-3.675006104E1,6.993878865E1
4.812612501E-2,8.460983276E0,-5.890058517E1,-3.675006104E1,6.993878865E1
5.808312516E-2,8.487426758E0,-5.891182709E1,-3.652310181E1,6.983249064E1
6.804112508E-2,8.385864258E0,-5.879657745E1,-3.660937500E1,6.976823473E1
7.799812499E-2,8.484878540E0,-5.884388733E1,-3.664370728E1,6.983808075E1
8.795512514E-2,8.441543579E0,-5.876814651E1,-3.648916626E1,6.968797570E1
9.791212506E-2,8.503540039E0,-5.894313431E1,-3.627593994E1,6.973196608E1
1.078691252E-1,8.427688599E0,-5.892106628E1,-3.628134155E1,6.970691309E1
1.178261251E-1,8.404388428E0,-5.890819168E1,-3.625512695E1,6.967957392E1
1.277831250E-1,8.150024414E0,-5.910086060E1,-3.632986450E1,6.985122530E1
1.377411252E-1,8.182449341E0,-5.914580536E1,-3.624652100E1,6.984976058E1
1.476981251E-1,7.863830566E0,-5.921759796E1,-3.628259277E1,6.989270547E1
1.576551250E-1,7.861495972E0,-5.925086975E1,-3.604803467E1,6.979920837E1
1.676121252E-1,7.765975952E0,-5.928326416E1,-3.610131836E1,6.984354644E1
1.775691251E-1,7.872116089E0,-5.915915298E1,-3.622100830E1,6.981215536E1
1.875261250E-1,7.515869141E0,-5.904933167E1,-3.628396606E1,6.971253870E1
1.974841252E-1,7.701828003E0,-5.917308044E1,-3.648321533E1,6.994137977E1
2.074411251E-1,7.622558594E0,-5.905179977E1,-3.630786133E1,6.973864962E1
2.173981252E-1,7.597213745E0,-5.902447510E1,-3.640383911E1,6.976278248E1
2.273551251E-1,7.546554565E0,-5.897136307E1,-3.660809326E1,6.981922830E1
2.373121250E-1,7.663803101E0,-5.890002823E1,-3.660635376E1,6.977085594E1
2.472691252E-1,7.431182861E0,-5.882719040E1,-3.684634399E1,6.981055704E1
2.572271251E-1,7.470504761E0,-5.867390442E1,-3.695883179E1,6.974518441E1
2.671841250E-1,7.641006470E0,-5.833005524E1,-3.717486572E1,6.958987689E1
2.771411252E-1,7.672225952E0,-5.821943283E1,-3.718118286E1,6.950399822E1
2.870981251E-1,7.642654419E0,-5.810141754E1,-3.735913086E1,6.949740675E1
2.970551250E-1,7.667602539E0,-5.804563522E1,-3.755557251E1,6.955939134E1
3.070123335E-1,7.567062378E0,-5.791362381E1,-3.752041626E1,6.941923287E1
3.169703335E-1,7.528060913E0,-5.791421509E1,-3.759848022E1,6.945771178E1
3.269273334E-1,7.524963379E0,-5.792118454E1,-3.764498901E1,6.948837234E1
