"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.531666636E-3,3.413594818E1,4.806182861E0,-1.233567810E1,3.661326680E1
1.448966656E-2,3.418547821E1,4.835960388E0,-1.248725891E1,3.671464379E1
2.444866661E-2,3.418640900E1,4.872398376E0,-1.245196533E1,3.670834056E1
3.440666664E-2,3.418717194E1,4.907859802E0,-1.256101990E1,3.675090521E1
4.436566657E-2,3.418273163E1,5.037254333E0,-1.296838379E1,3.690544744E1
5.432466662E-2,3.428071594E1,5.157344818E0,-1.286970520E1,3.697830449E1
6.428266666E-2,3.424860382E1,5.143264771E0,-1.307730103E1,3.701939814E1
7.424166659E-2,3.418987274E1,4.969688416E0,-1.311238098E1,3.695375131E1
8.419966663E-2,3.427995300E1,5.030452728E0,-1.336395264E1,3.713510284E1
9.415866656E-2,3.433209229E1,5.053497314E0,-1.327592468E1,3.715481896E1
1.041166666E-1,3.416519165E1,4.879844666E0,-1.340493774E1,3.702385124E1
1.140756666E-1,3.418048096E1,4.650241852E0,-1.324671936E1,3.695139512E1
1.240336666E-1,3.409084320E1,4.674121857E0,-1.313983154E1,3.683324827E1
1.339926666E-1,3.423774719E1,4.548736572E0,-1.330671692E1,3.701328211E1
1.439516667E-1,3.416557312E1,4.412132263E0,-1.341954041E1,3.697076362E1
1.539096666E-1,3.426921844E1,4.495941162E0,-1.347796631E1,3.709782198E1
1.638686666E-1,3.417781067E1,4.522937775E0,-1.329190063E1,3.694934818E1
1.738266667E-1,3.416616821E1,4.476486206E0,-1.354434204E1,3.702452134E1
1.837856666E-1,3.410047150E1,4.495620728E0,-1.354150391E1,3.696518754E1
1.937436666E-1,3.406475067E1,4.501319885E0,-1.347842407E1,3.690985010E1
2.037026666E-1,3.401939392E1,4.688926697E0,-1.348004150E1,3.689196004E1
2.136606666E-1,3.415743256E1,4.888824463E0,-1.331491089E1,3.698537083E1
2.236196666E-1,3.414412689E1,4.947082520E0,-1.332099915E1,3.698302374E1
2.335776666E-1,3.418745422E1,5.075103760E0,-1.327522278E1,3.702391449E1
2.435366666E-1,3.399369812E1,5.156646729E0,-1.343370056E1,3.691377559E1
