"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.055016671E-2,1.771261597E1,4.886116028E0,-2.491317749E1,3.095605445E1
2.050716663E-2,1.763458252E1,4.898712158E0,-2.489639282E1,3.089993943E1
3.046516678E-2,1.764724731E1,4.859405518E0,-2.487680054E1,3.088518034E1
4.042316671E-2,1.756584167E1,4.704010010E0,-2.484960938E1,3.079268728E1
5.038116663E-2,1.757310486E1,4.747787476E0,-2.486746216E1,3.081795215E1
6.033916678E-2,1.750332642E1,4.702926636E0,-2.490493774E1,3.080162136E1
7.029716671E-2,1.740673828E1,4.496250153E0,-2.508883667E1,3.086519931E1
8.025416662E-2,1.738922119E1,4.726200104E0,-2.529354858E1,3.105616816E1
9.021216678E-2,1.742391968E1,4.734619141E0,-2.551296997E1,3.125573919E1
1.001701667E-1,1.735200500E1,4.650287628E0,-2.553305054E1,3.121944782E1
1.101281666E-1,1.740979004E1,4.727008820E0,-2.549633789E1,3.123313381E1
1.200861668E-1,1.732232666E1,4.728549957E0,-2.562298584E1,3.128832992E1
1.300431667E-1,1.725840759E1,4.631870270E0,-2.560317993E1,3.122226253E1
1.400011666E-1,1.732907104E1,4.647964478E0,-2.567156982E1,3.131979844E1
1.499591668E-1,1.730665588E1,4.553722382E0,-2.555340576E1,3.119668687E1
1.599171667E-1,1.730940247E1,4.488475800E0,-2.553427124E1,3.117307871E1
1.698751666E-1,1.738996887E1,4.368595123E0,-2.545776367E1,3.113829430E1
1.798331668E-1,1.749192810E1,4.250267029E0,-2.524505615E1,3.100556690E1
1.897901667E-1,1.769290161E1,4.502185822E0,-2.539349365E1,3.127519727E1
1.997481666E-1,1.770469666E1,4.479156494E0,-2.532522583E1,3.122316752E1
2.097061668E-1,1.775726318E1,4.523372650E0,-2.550338745E1,3.140388618E1
2.196641667E-1,1.764836121E1,4.423137665E0,-2.542547607E1,3.126473466E1
2.296221666E-1,1.768786621E1,4.468860626E0,-2.561245728E1,3.144565620E1
2.395791668E-1,1.754940796E1,4.501209259E0,-2.555084229E1,3.132232664E1
2.495371667E-1,1.748056030E1,4.553642273E0,-2.551513672E1,3.126224317E1
2.594951668E-1,1.754730225E1,4.596096039E0,-2.568020630E1,3.144049794E1
2.694531668E-1,1.763243103E1,4.584903717E0,-2.556564331E1,3.139308975E1
2.794111667E-1,1.770587158E1,4.716487885E0,-2.556896973E1,3.145656306E1
2.893691668E-1,1.772004700E1,4.724594116E0,-2.570614624E1,3.157733063E1
2.993261667E-1,1.778305054E1,4.875263214E0,-2.581405640E1,3.172334449E1
3.092841667E-1,1.771299744E1,4.985202789E0,-2.570068359E1,3.160898072E1
3.192421668E-1,1.764674377E1,5.241336823E0,-2.613442993E1,3.196697679E1
3.292001667E-1,1.743136597E1,5.482715607E0,-2.607003784E1,3.183645023E1
3.391581667E-1,1.722105408E1,5.776512146E0,-2.635421753E1,3.200746128E1
3.491151668E-1,1.717298889E1,6.011554718E0,-2.639129639E1,3.205543421E1
3.590731667E-1,1.694525146E1,6.121242523E0,-2.652566528E1,3.206590208E1
3.690311667E-1,1.680796814E1,6.281017303E0,-2.675967407E1,3.221861462E1
3.789891668E-1,1.697137451E1,6.401712418E0,-2.680648804E1,3.236660742E1
3.889471667E-1,1.697137451E1,6.401712418E0,-2.680648804E1,3.236660742E1
3.989041667E-1,1.693672180E1,6.406240463E0,-2.662786865E1,3.220148834E1
4.088621668E-1,1.703378296E1,6.452722549E0,-2.692590332E1,3.250833216E1
4.188201667E-1,1.717004395E1,6.488525391E0,-2.686404419E1,3.253595305E1
4.287781666E-1,1.728756714E1,6.337268829E0,-2.701367188E1,3.269188618E1
4.387361668E-1,1.746087646E1,6.399078369E0,-2.690847778E1,3.270927372E1
4.486941667E-1,1.768685913E1,6.292467117E0,-2.685882568E1,3.276914166E1
4.586511666E-1,1.814041138E1,6.274688721E0,-2.695089722E1,3.308771833E1
4.686091668E-1,1.840846252E1,6.395545959E0,-2.664074707E1,3.300763404E1
4.785671667E-1,1.848785400E1,6.365068436E0,-2.651419067E1,3.294415197E1
4.885251666E-1,1.884556580E1,6.419172287E0,-2.644442749E1,3.310088924E1
4.984831668E-1,1.920184326E1,6.519048691E0,-2.644894409E1,3.332799760E1
5.084407916E-1,1.928569031E1,6.681861877E0,-2.622787476E1,3.323381626E1
5.183987918E-1,1.930335999E1,6.896863937E0,-2.637472534E1,3.340378086E1
5.283567917E-1,1.946945190E1,7.105213165E0,-2.628417969E1,3.347240227E1
5.383147916E-1,1.963723755E1,7.334812164E0,-2.639706421E1,3.370794516E1
5.482727918E-1,1.994160461E1,7.575819016E0,-2.625241089E1,3.382676020E1
5.582297917E-1,2.007559204E1,7.901865005E0,-2.610708618E1,3.386810912E1
5.681877916E-1,2.024731445E1,8.021863937E0,-2.578201294E1,3.374931458E1
5.781457918E-1,2.056419373E1,8.295217514E0,-2.568524170E1,3.393270308E1
5.881037917E-1,2.080664062E1,8.377349854E0,-2.598837280E1,3.432916844E1
5.980617916E-1,2.089863586E1,8.356439590E0,-2.572036743E1,3.417777588E1
6.080197918E-1,2.119584656E1,8.650711060E0,-2.556082153E1,3.431405413E1
6.179767917E-1,2.154301453E1,8.828920364E0,-2.557485962E1,3.458503657E1
6.279347916E-1,2.154434204E1,9.079086304E0,-2.575485229E1,3.478362975E1
6.378927918E-1,2.180137634E1,9.462570190E0,-2.556649780E1,3.490681961E1
6.478507917E-1,2.175106812E1,9.505584717E0,-2.551641846E1,3.485043351E1
6.578087916E-1,2.188987732E1,9.715723038E0,-2.566204834E1,3.510132089E1
6.677657918E-1,2.237826538E1,9.761034012E0,-2.576855469E1,3.549764721E1
