"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.313750055E-4,3.080410767E1,-6.235275269E-1,-1.303292847E1,3.345353584E1
1.058937516E-2,3.078674316E1,-9.161529541E-1,-1.314779663E1,3.348921389E1
2.054837509E-2,3.070278931E1,-8.686981201E-1,-1.315451050E1,3.341342625E1
3.050637501E-2,3.070420837E1,-9.583244324E-1,-1.315423584E1,3.341707226E1
4.046437517E-2,3.079477692E1,-7.088241577E-1,-1.328967285E1,3.354752035E1
5.042337510E-2,3.079544067E1,-7.269325256E-1,-1.286096191E1,3.338101165E1
6.038137502E-2,3.086411285E1,-5.806159973E-1,-1.293414307E1,3.346972713E1
7.033937518E-2,3.077504730E1,-4.721908569E-1,-1.320877075E1,3.349325492E1
8.029837511E-2,3.091372681E1,-4.094772339E-1,-1.325704956E1,3.363889921E1
9.025637503E-2,3.091372681E1,-4.094772339E-1,-1.325704956E1,3.363889921E1
1.002153752E-1,3.078633881E1,-5.164985657E-1,-1.329742432E1,3.353933394E1
1.101733751E-1,3.074431610E1,-5.482978821E-1,-1.357952881E1,3.361424112E1
1.201313750E-1,3.068261719E1,-4.868316650E-1,-1.383377075E1,3.366055876E1
1.300903750E-1,3.074100494E1,-3.223762512E-1,-1.397476196E1,3.376991684E1
1.400483751E-1,3.044574738E1,-3.522338867E-1,-1.394033813E1,3.348732043E1
1.500063750E-1,3.044030762E1,-2.924423218E-1,-1.421591187E1,3.359747015E1
1.599653750E-1,3.018920898E1,-4.388427734E-2,-1.431170654E1,3.340980708E1
1.699233751E-1,3.031563568E1,-1.448097229E-1,-1.444403076E1,3.358107743E1
1.798813751E-1,2.998278809E1,-5.722045898E-3,-1.456427002E1,3.333295029E1
1.898403750E-1,3.025194550E1,-3.413391113E-1,-1.492489624E1,3.373498550E1
1.997983751E-1,2.999387360E1,-3.103637695E-1,-1.468365479E1,3.339668392E1
2.097563751E-1,3.021280670E1,-6.160926819E-1,-1.470190430E1,3.360564311E1
2.197153750E-1,3.007447052E1,-6.390609741E-1,-1.467416382E1,3.346958709E1
2.296727917E-1,3.036777496E1,-8.891029358E-1,-1.469622803E1,3.374865002E1
2.396307918E-1,3.012688446E1,-9.904174805E-1,-1.447784424E1,3.343976776E1
2.495897918E-1,3.040515900E1,-1.093414307E0,-1.450143433E1,3.370401825E1
2.595477917E-1,3.009217834E1,-1.272178650E0,-1.468975830E1,3.351039592E1
2.695057918E-1,3.034145355E1,-9.505081177E-1,-1.482620239E1,3.378348038E1
2.794647918E-1,3.001767731E1,-1.064350128E0,-1.476907349E1,3.347117153E1
2.894227917E-1,3.026530457E1,-7.776985168E-1,-1.517681885E1,3.386634474E1
2.993807918E-1,2.988707733E1,-9.524002075E-1,-1.536398315E1,3.361839431E1
3.093397918E-1,2.995196533E1,-6.522979736E-1,-1.579626465E1,3.386838787E1
3.192977917E-1,2.979475403E1,-7.705688477E-1,-1.574362183E1,3.370731037E1
3.292557918E-1,2.994161987E1,-6.278800964E-1,-1.584329224E1,3.388074295E1
3.392147918E-1,2.965798950E1,-7.528419495E-1,-1.620053101E1,3.380266731E1
3.491727917E-1,2.984127045E1,-4.021453857E-1,-1.625372314E1,3.398303487E1
3.591307919E-1,2.954211426E1,-5.997314453E-1,-1.618756104E1,3.369173971E1
3.690897918E-1,2.962981415E1,-2.404479980E-1,-1.637030029E1,3.385218506E1
3.790477917E-1,2.928594971E1,-5.815010071E-1,-1.646524048E1,3.360221924E1
3.890057919E-1,2.949682617E1,-2.847404480E-1,-1.667730713E1,3.388622736E1
3.989647918E-1,2.933392334E1,-6.649971008E-1,-1.680328369E1,3.381229987E1
4.089227917E-1,2.931265259E1,-2.319068909E-1,-1.675042725E1,3.376184526E1
4.188807916E-1,2.919845581E1,-4.843864441E-1,-1.693933105E1,3.375981914E1
4.288397918E-1,2.918362427E1,-5.014228821E-1,-1.701312256E1,3.378434089E1
4.387977917E-1,2.906481934E1,-9.134483337E-1,-1.690646362E1,3.363668567E1
4.487557916E-1,2.929411316E1,-9.312934875E-1,-1.669970703E1,3.373266352E1
4.587147918E-1,2.911918640E1,-1.279026031E0,-1.689154053E1,3.368808492E1
4.686727917E-1,2.921243286E1,-1.253124237E0,-1.690072632E1,3.377234230E1
4.786307917E-1,2.891131592E1,-1.057079315E0,-1.711071777E1,3.361187688E1
4.885897918E-1,2.891720581E1,-8.056144714E-1,-1.728622437E1,3.369966408E1
4.985477917E-1,2.876077271E1,-6.635513306E-1,-1.754092407E1,3.369430759E1
5.085057917E-1,2.883956909E1,-6.208496094E-1,-1.748260498E1,3.373051551E1
5.184647918E-1,2.878358459E1,-6.018295288E-1,-1.742794800E1,3.365397915E1
5.284227917E-1,2.898649597E1,-4.849319458E-1,-1.696020508E1,3.358720983E1
5.383807917E-1,2.915367126E1,-3.044586182E-1,-1.663934326E1,3.356928637E1
5.483397918E-1,2.965299988E1,-3.082618713E-1,-1.614089966E1,3.376276157E1
5.582977918E-1,2.965185547E1,-3.146286011E-1,-1.577066040E1,3.358638494E1
5.682567917E-1,3.026087189E1,-3.076744080E-1,-1.549142456E1,3.399704790E1
5.782147918E-1,3.026096344E1,-2.920494080E-1,-1.553903198E1,3.401871126E1
5.881727918E-1,3.031987000E1,-1.953201294E-1,-1.518243408E1,3.390927559E1
5.981317917E-1,3.029013824E1,2.368927002E-3,-1.531332397E1,3.394098366E1
6.080897918E-1,3.029013824E1,2.368927002E-3,-1.531332397E1,3.394098366E1
6.180477918E-1,3.036089325E1,-1.985816956E-1,-1.547872925E1,3.407952953E1
6.280067917E-1,2.993480682E1,-8.839797974E-2,-1.579962158E1,3.384861173E1
6.379647919E-1,3.017757416E1,-5.783462524E-2,-1.564855957E1,3.399362798E1
6.479227918E-1,3.010781860E1,2.962875366E-1,-1.524093628E1,3.374692084E1
6.578817917E-1,3.042799377E1,4.966163635E-1,-1.487094116E1,3.387114294E1
6.678397919E-1,3.057518768E1,1.002628326E0,-1.454315186E1,3.387256458E1
6.777977918E-1,3.082621002E1,1.273139954E0,-1.410913086E1,3.392556091E1
6.877567917E-1,3.077604675E1,1.652843475E0,-1.389208984E1,3.380661334E1
6.977147916E-1,3.086357880E1,1.931842804E0,-1.401095581E1,3.394995428E1
7.076727918E-1,3.057147980E1,2.176471710E0,-1.411691284E1,3.374373474E1
7.176317917E-1,3.011083984E1,2.268363953E0,-1.510711670E1,3.376437658E1
7.275897916E-1,2.951588440E1,2.332584381E0,-1.625125122E1,3.377471759E1
7.375477918E-1,2.869622803E1,1.952709198E0,-1.761849976E1,3.372978076E1
7.475067917E-1,2.806175232E1,1.577796936E0,-1.877453613E1,3.379992002E1
7.574647916E-1,2.748442078E1,1.260326385E0,-1.950231934E1,3.372420892E1
7.674227918E-1,2.752401733E1,8.263816833E-1,-1.973919678E1,3.388053020E1
7.773817917E-1,2.771879578E1,4.849586487E-1,-1.943530273E1,3.385702020E1
7.873397917E-1,2.852175903E1,4.034080505E-1,-1.882168579E1,3.417468848E1
7.972977918E-1,2.874176025E1,-6.753158569E-2,-1.837750244E1,3.411489321E1
8.072567917E-1,2.950135803E1,-1.466369629E-1,-1.763726807E1,3.437186135E1
8.172147917E-1,2.956121826E1,-1.307067871E-1,-1.709768677E1,3.414986972E1
8.271727918E-1,3.018980408E1,-1.612663269E-1,-1.651351929E1,3.441143119E1
8.371317917E-1,3.026699829E1,-1.173057556E-1,-1.579064941E1,3.413868122E1
8.470897917E-1,3.098936462E1,-1.266784668E-1,-1.535699463E1,3.458603839E1
8.570477918E-1,3.089557648E1,-1.859474182E-1,-1.487924194E1,3.429231784E1
8.670067918E-1,3.121386719E1,-2.035140991E-1,-1.461203003E1,3.446532089E1
8.769647917E-1,3.113082886E1,-6.215286255E-2,-1.451022339E1,3.434645471E1
8.869227918E-1,3.134796906E1,4.093551636E-2,-1.442996216E1,3.450971816E1
8.968817918E-1,3.117080688E1,-2.605819702E-2,-1.473599243E1,3.447853468E1
