"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.633333396E-4,3.713340759E1,1.165399170E1,-1.768112183E1,4.274725197E1
1.062133326E-2,3.711942291E1,1.187660980E1,-1.769149780E1,4.280063682E1
2.058033319E-2,3.708167267E1,1.172072220E1,-1.778433228E1,4.276339850E1
3.053933335E-2,3.717189026E1,1.199688339E1,-1.790966797E1,4.297011570E1
4.049733328E-2,3.711434174E1,1.173918152E1,-1.776153564E1,4.278732165E1
5.045633321E-2,3.713872528E1,1.216867065E1,-1.773171997E1,4.291591027E1
6.041433336E-2,3.713872528E1,1.216867065E1,-1.773171997E1,4.291591027E1
7.037333329E-2,3.701320648E1,1.177906799E1,-1.761968994E1,4.265181556E1
8.033233322E-2,3.710858154E1,1.220148468E1,-1.756649780E1,4.283112067E1
9.029033338E-2,3.684928131E1,1.174055099E1,-1.746847534E1,4.243651378E1
1.002493333E-1,3.697444916E1,1.212306023E1,-1.739404297E1,4.262195691E1
1.102083332E-1,3.694474030E1,1.175527954E1,-1.759085083E1,4.257391767E1
1.201663334E-1,3.696662140E1,1.224193573E1,-1.746438599E1,4.267787326E1
1.301253333E-1,3.698893738E1,1.177133179E1,-1.758462524E1,4.261413833E1
1.400843333E-1,3.707992554E1,1.210461807E1,-1.743652344E1,4.272557789E1
1.500423332E-1,3.710603333E1,1.162209511E1,-1.727172852E1,4.254695535E1
1.600013333E-1,3.716864777E1,1.211710739E1,-1.735339355E1,4.277233845E1
1.699593333E-1,3.714341736E1,1.177444649E1,-1.723614502E1,4.260699166E1
1.799183332E-1,3.720355225E1,1.209809303E1,-1.723297119E1,4.274860759E1
1.898773334E-1,3.721358490E1,1.204696655E1,-1.692910767E1,4.262129738E1
1.998353333E-1,3.715393066E1,1.226386642E1,-1.694137573E1,4.263598475E1
2.097943332E-1,3.717369843E1,1.204434776E1,-1.724502563E1,4.271230592E1
2.197533334E-1,3.713452911E1,1.233884621E1,-1.735260010E1,4.280576022E1
2.297113333E-1,3.715856934E1,1.212932968E1,-1.752499390E1,4.283696213E1
2.396703332E-1,3.718099213E1,1.232548141E1,-1.756613159E1,4.292915847E1
2.496283334E-1,3.694564056E1,1.206344604E1,-1.789816284E1,4.278844844E1
2.595873333E-1,3.692449188E1,1.237717247E1,-1.799029541E1,4.289828934E1
2.695463332E-1,3.691249084E1,1.224385071E1,-1.791461182E1,4.281795391E1
2.795043334E-1,3.685104370E1,1.250157738E1,-1.783624268E1,4.280677997E1
2.894633333E-1,3.706532288E1,1.231353378E1,-1.803527832E1,4.302014108E1
2.994223332E-1,3.698415375E1,1.269132805E1,-1.800012207E1,4.304534621E1
3.093803332E-1,3.727466583E1,1.264399719E1,-1.781478882E1,4.320460715E1
3.193393333E-1,3.720780182E1,1.268208313E1,-1.763015747E1,4.308222605E1
3.292983333E-1,3.724143982E1,1.268331718E1,-1.759667969E1,4.309796411E1
3.392563332E-1,3.729788971E1,1.272294426E1,-1.760958862E1,4.316368264E1
3.492153334E-1,3.746627808E1,1.277201271E1,-1.759539795E1,4.331794467E1
3.591733333E-1,3.745221710E1,1.289859772E1,-1.758523560E1,4.333916127E1
3.691323332E-1,3.771063995E1,1.299913979E1,-1.756875610E1,4.358590589E1
3.790913334E-1,3.766478729E1,1.307256508E1,-1.745986938E1,4.352442071E1
3.890493333E-1,3.766206360E1,1.305451393E1,-1.746597290E1,4.351909441E1
3.990083332E-1,3.774958801E1,1.333338928E1,-1.716921997E1,4.356136797E1
4.089673334E-1,3.796294403E1,1.337456512E1,-1.697421265E1,4.368281134E1
