"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
-7.257082034E-4,1.296047974E1,1.445953369E0,-1.387417603E1,1.904094474E1
9.233291727E-3,1.294288635E1,1.503486633E0,-1.399057007E1,1.911844214E1
1.919129165E-2,1.291044617E1,1.527084351E0,-1.410229492E1,1.918036311E1
2.915029158E-2,1.292619324E1,1.783359528E0,-1.431970215E1,1.937319572E1
3.910929174E-2,1.285060120E1,1.849300385E0,-1.416116333E1,1.921188200E1
4.906829167E-2,1.279592896E1,1.931095123E0,-1.452322388E1,1.945222244E1
5.902629159E-2,1.272361755E1,2.106445312E0,-1.447821045E1,1.938933040E1
6.898529176E-2,1.261579895E1,2.184165955E0,-1.438391113E1,1.925683940E1
7.894429169E-2,1.261579895E1,2.184165955E0,-1.438391113E1,1.925683940E1
8.890229161E-2,1.260163879E1,2.333240509E0,-1.432717896E1,1.922273051E1
9.886129177E-2,1.257470703E1,2.284160614E0,-1.453009033E1,1.935107676E1
1.088202917E-1,1.250386047E1,2.370269775E0,-1.453625488E1,1.932012970E1
1.187792916E-1,1.248497009E1,2.518562317E0,-1.459436035E1,1.937041529E1
1.287372918E-1,1.238952637E1,2.579139709E0,-1.481484985E1,1.948415001E1
1.386962917E-1,1.223516846E1,2.579822540E0,-1.480630493E1,1.937992511E1
1.486552916E-1,1.223457336E1,2.751735687E0,-1.507485962E1,1.960888134E1
1.586132916E-1,1.206829834E1,2.827507019E0,-1.514324951E1,1.956927762E1
1.685722917E-1,1.190046692E1,2.902133942E0,-1.526470947E1,1.957178708E1
1.785312917E-1,1.194200134E1,3.034160614E0,-1.540850830E1,1.972915748E1
1.884902916E-1,1.170741272E1,3.302696228E0,-1.560137939E1,1.978318362E1
1.984482917E-1,1.168702698E1,3.518413544E0,-1.572979736E1,1.990960468E1
2.084072917E-1,1.138026428E1,3.528579712E0,-1.582882690E1,1.981194213E1
2.183662916E-1,1.127961731E1,3.854858398E0,-1.585742188E1,1.983803237E1
2.283242918E-1,1.092170715E1,4.018379211E0,-1.615148926E1,1.990732689E1
2.382832917E-1,1.083097839E1,4.350372314E0,-1.603707886E1,1.983491191E1
2.482422916E-1,1.069169617E1,4.623970032E0,-1.619400024E1,1.994841121E1
2.582012918E-1,1.050860596E1,5.034973145E0,-1.624780273E1,1.999432038E1
2.681592917E-1,1.035452271E1,5.449245453E0,-1.624148560E1,2.001739920E1
2.781182916E-1,1.006216431E1,5.754283905E0,-1.616879272E1,1.989444123E1
2.880772918E-1,9.936523438E0,5.987724304E0,-1.592263794E1,1.970070403E1
2.980352917E-1,9.785003662E0,6.291763306E0,-1.612286377E1,1.988163269E1
3.079942917E-1,9.587707520E0,6.422046661E0,-1.615554810E1,1.985367858E1
3.179532916E-1,9.385620117E0,6.542087555E0,-1.632281494E1,1.993296421E1
3.279122917E-1,9.281997681E0,6.520744324E0,-1.654788208E1,2.006260175E1
3.378702917E-1,9.201995850E0,6.488471985E0,-1.660696411E1,2.006410360E1
3.478292916E-1,9.210296631E0,6.559738159E0,-1.649111938E1,1.999541816E1
3.577882918E-1,9.269775391E0,6.705074310E0,-1.639944458E1,1.999571304E1
3.677462917E-1,9.251846313E0,6.946178436E0,-1.646859741E1,2.012612123E1
3.777052916E-1,8.955398560E0,6.925941467E0,-1.637506104E1,1.990754763E1
3.876642918E-1,9.024642944E0,7.028545380E0,-1.659759521E1,2.015749978E1
3.976232917E-1,8.978317261E0,6.974163055E0,-1.628457642E1,1.986042699E1
4.075812916E-1,9.079910278E0,6.675178528E0,-1.608517456E1,1.964015325E1
4.175402918E-1,9.418197632E0,6.599643707E0,-1.601739502E1,1.971838449E1
4.274992917E-1,9.882461548E0,6.362121582E0,-1.579696655E1,1.968968739E1
4.374572916E-1,1.061819458E1,6.092399597E0,-1.527133179E1,1.957235202E1
4.474162916E-1,1.130540466E1,5.863880157E0,-1.476937866E1,1.950209761E1
4.573752917E-1,1.183792114E1,5.854881287E0,-1.442047119E1,1.955418117E1
4.673342917E-1,1.203367615E1,5.809684753E0,-1.418432617E1,1.948735250E1
4.772922916E-1,1.227441406E1,5.927570343E0,-1.396368408E1,1.951363123E1
4.872512917E-1,1.243048096E1,5.886775970E0,-1.376388550E1,1.945804544E1
4.972102917E-1,1.248815918E1,5.718006134E0,-1.381021118E1,1.947746510E1
5.071682916E-1,1.278211975E1,5.643970490E0,-1.381066895E1,1.964615904E1
5.171272918E-1,1.274421692E1,5.425724030E0,-1.367681885E1,1.946558296E1
5.270862917E-1,1.283917236E1,5.319583893E0,-1.369058228E1,1.950831522E1
5.370452916E-1,1.295191956E1,5.197845459E0,-1.358544922E1,1.947650503E1
5.470032918E-1,1.295075989E1,5.049823761E0,-1.357095337E1,1.942662289E1
5.569622917E-1,1.283070374E1,4.925849915E0,-1.354193115E1,1.929442549E1
5.669212916E-1,1.275610352E1,4.922985077E0,-1.363433838E1,1.930930196E1
5.768792918E-1,1.255908203E1,4.867141724E0,-1.405978394E1,1.947041690E1
5.868382917E-1,1.221553040E1,5.017597198E0,-1.434661865E1,1.949925463E1
5.967972917E-1,1.221553040E1,5.017597198E0,-1.434661865E1,1.949925463E1
6.067562916E-1,1.181607056E1,5.188201904E0,-1.457073975E1,1.946390041E1
6.167142917E-1,1.130703735E1,5.412120819E0,-1.504211426E1,1.958073918E1
6.266732917E-1,1.094499207E1,5.556465149E0,-1.509286499E1,1.945409288E1
6.366322916E-1,1.043992615E1,5.531627655E0,-1.526870728E1,1.930607118E1
6.465902918E-1,1.002693176E1,5.480991364E0,-1.568206787E1,1.940381096E1
6.565492917E-1,9.854919434E0,5.422271729E0,-1.615762329E1,1.968728671E1
6.665082916E-1,9.391387939E0,5.231636047E0,-1.633508301E1,1.955513027E1
6.764672918E-1,9.050918579E0,5.079242706E0,-1.670458984E1,1.966624406E1
6.864252917E-1,8.788665771E0,5.089282990E0,-1.686630249E1,1.968790510E1
6.963842916E-1,8.267395020E0,4.940711975E0,-1.714852905E1,1.966805796E1
7.063432918E-1,7.804046631E0,4.951435089E0,-1.738690186E1,1.969071379E1
7.163007916E-1,7.408172607E0,4.901142120E0,-1.748629761E1,1.961307777E1
7.262597918E-1,7.200775146E0,4.873607635E0,-1.743341064E1,1.948145325E1
7.362187917E-1,6.905303955E0,4.867485046E0,-1.762963867E1,1.954941925E1
7.461777916E-1,6.829727173E0,4.841892242E0,-1.775036621E1,1.962561067E1
7.561357918E-1,6.538711548E0,4.763809204E0,-1.740530396E1,1.919357269E1
7.660947917E-1,6.506256104E0,4.796611786E0,-1.781234741E1,1.956063837E1
7.760537916E-1,6.529953003E0,4.709537506E0,-1.773361206E1,1.947565214E1
7.860117918E-1,6.846405029E0,4.736583710E0,-1.764535522E1,1.951069061E1
7.959707917E-1,7.005126953E0,4.853866577E0,-1.763442993E1,1.958583527E1
8.059297916E-1,7.181564331E0,4.861202240E0,-1.762234497E1,1.964060070E1
8.158887916E-1,7.394210815E0,5.115669250E0,-1.737878418E1,1.956697639E1
8.258467917E-1,7.583953857E0,5.201847076E0,-1.738742065E1,1.966972207E1
8.358057917E-1,7.733901978E0,5.367439270E0,-1.702578735E1,1.945507849E1
8.457647916E-1,7.950027466E0,5.513347626E0,-1.701467896E1,1.957292106E1
8.557227917E-1,8.125747681E0,5.569099426E0,-1.688583374E1,1.954927172E1
8.656817917E-1,8.290481567E0,5.479537964E0,-1.682559204E1,1.954118646E1
8.756407916E-1,8.441696167E0,5.506412506E0,-1.684851074E1,1.963301116E1
8.855997918E-1,8.625503540E0,5.490417480E0,-1.697082520E1,1.981294787E1
8.955577917E-1,8.393936157E0,5.280700684E0,-1.672253418E1,1.944189068E1
9.055167916E-1,8.370559692E0,5.135200500E0,-1.679766846E1,1.945760055E1
9.154757918E-1,8.358947754E0,5.167068481E0,-1.673013306E1,1.940278218E1
9.254337917E-1,8.598098755E0,5.293781281E0,-1.676489258E1,1.957071909E1
9.353927916E-1,8.571853638E0,5.166061401E0,-1.688565063E1,1.962880696E1
9.453517916E-1,8.528396606E0,5.092727661E0,-1.695419312E1,1.964978595E1
9.553107917E-1,8.650039673E0,4.987564087E0,-1.694580078E1,1.966873524E1
9.652687917E-1,8.678726196E0,4.897964478E0,-1.686813354E1,1.959194410E1
9.752277916E-1,8.566329956E0,4.816074371E0,-1.711026001E1,1.973163903E1
9.851867917E-1,8.694915771E0,4.675582886E0,-1.693667603E1,1.960391875E1
9.951447917E-1,8.554672241E0,4.455493927E0,-1.678167725E1,1.935609812E1
1.005103792E0,8.537918091E0,4.363677979E0,-1.695343018E1,1.947707693E1
1.015062792E0,8.329467773E0,4.276088715E0,-1.691528320E1,1.933369530E1
1.025021792E0,8.189651489E0,4.312290192E0,-1.719238281E1,1.952547733E1
1.034979792E0,8.065979004E0,4.222087860E0,-1.713790894E1,1.940602911E1
1.044938792E0,8.070068359E0,4.097278595E0,-1.724969482E1,1.947987851E1
1.054897792E0,7.895111084E0,4.020076752E0,-1.737008667E1,1.949906939E1
1.064855792E0,7.950790405E0,4.094024658E0,-1.734048462E1,1.951072815E1
1.074814792E0,7.863265991E0,4.071865082E0,-1.740960693E1,1.953216452E1
1.084773792E0,7.808639526E0,3.932907104E0,-1.748681641E1,1.955073803E1
1.094732792E0,7.775878906E0,3.813495636E0,-1.743814087E1,1.947038260E1
1.104690792E0,7.660079956E0,3.786312103E0,-1.749002075E1,1.946570857E1
1.114649792E0,7.581710815E0,3.656074524E0,-1.752981567E1,1.944591621E1
1.124608792E0,7.581710815E0,3.656074524E0,-1.752981567E1,1.944591621E1
1.134566792E0,7.609466553E0,3.623714447E0,-1.748913574E1,1.941404534E1
1.144525792E0,7.487594604E0,3.657928467E0,-1.739602661E1,1.928901904E1
1.154484792E0,7.456985474E0,3.588523865E0,-1.757006836E1,1.942141699E1
1.164443792E0,7.410308838E0,3.561794281E0,-1.768447876E1,1.950230357E1
1.174401792E0,7.376632690E0,3.590484619E0,-1.752423096E1,1.934954677E1
1.184360792E0,7.289230347E0,3.593040466E0,-1.742269897E1,1.922480841E1
1.194319792E0,7.338500977E0,3.583232880E0,-1.744918823E1,1.926570332E1
1.204277792E0,7.477325439E0,3.589740753E0,-1.732922363E1,1.921193968E1
1.214236792E0,7.498199463E0,3.601089478E0,-1.729635620E1,1.919257092E1
1.224195792E0,7.536468506E0,3.614330292E0,-1.741015625E1,1.931256797E1
1.234154792E0,7.455413818E0,3.694129944E0,-1.729583740E1,1.919311811E1
1.244112792E0,7.570648193E0,3.612995148E0,-1.714465332E1,1.908684326E1
1.254071792E0,7.683837891E0,3.631919861E0,-1.741259766E1,1.937603581E1
1.264030792E0,7.729446411E0,3.505104065E0,-1.729244995E1,1.926288975E1
1.273989792E0,7.741439819E0,3.599750519E0,-1.706631470E1,1.908264111E1
1.283947792E0,7.798385620E0,3.564064026E0,-1.729180908E1,1.930088164E1
1.293906792E0,7.822967529E0,3.543231964E0,-1.721737671E1,1.924035796E1
1.303865792E0,7.939697266E0,3.545162201E0,-1.699987793E1,1.909457560E1
1.313823792E0,8.071197510E0,3.661388397E0,-1.706927490E1,1.923304812E1
1.323782792E0,8.055786133E0,3.505653381E0,-1.711828613E1,1.924112824E1
1.333741792E0,8.271224976E0,3.585609436E0,-1.697488403E1,1.922020930E1
1.343699792E0,8.254440308E0,3.561306000E0,-1.692333984E1,1.916293601E1
1.353658792E0,8.273818970E0,3.483661652E0,-1.688131714E1,1.911990709E1
1.363617792E0,8.119689941E0,3.201992035E0,-1.692614746E1,1.904406957E1
1.373576792E0,8.073715210E0,3.176136017E0,-1.715469360E1,1.922384535E1
1.383534792E0,8.116531372E0,3.107154846E0,-1.734552002E1,1.940101950E1
1.393493792E0,8.057952881E0,2.953723907E0,-1.718850708E1,1.921197192E1
1.403452792E0,8.283920288E0,2.802307129E0,-1.706988525E1,1.917960488E1
1.413410792E0,8.365066528E0,2.702033997E0,-1.708551025E1,1.921431722E1
1.423369792E0,8.329681396E0,2.621620178E0,-1.716607666E1,1.925956055E1
1.433328792E0,8.336380005E0,2.516670227E0,-1.714495850E1,1.922962461E1
1.443287792E0,8.388015747E0,2.294513702E0,-1.698547363E1,1.908218844E1
1.453245792E0,8.429077148E0,2.238555908E0,-1.717098999E1,1.925885177E1
1.463204792E0,8.299652100E0,2.091865540E0,-1.728402710E1,1.928724239E1
1.473163792E0,8.335388184E0,2.000297546E0,-1.723083496E1,1.924529968E1
1.483121792E0,8.302307129E0,1.820560455E0,-1.739511108E1,1.936059487E1
1.493080792E0,8.198883057E0,1.530029297E0,-1.732003784E1,1.922358926E1
1.503039792E0,8.190887451E0,1.347698212E0,-1.726892090E1,1.916044250E1
1.512998792E0,8.221160889E0,1.174552917E0,-1.747702026E1,1.934976223E1
1.522956792E0,8.141143799E0,1.147430420E0,-1.754663086E1,1.937728241E1
1.532915792E0,8.195312500E0,1.001518250E0,-1.738885498E1,1.924937566E1
1.542874792E0,8.120010376E0,9.008255005E-1,-1.746038818E1,1.927721999E1
1.552832792E0,8.140502930E0,8.149566650E-1,-1.732461548E1,1.915918171E1
1.562791792E0,8.217575073E0,7.092018127E-1,-1.731762695E1,1.918154609E1
1.572750792E0,8.270217896E0,6.018943787E-1,-1.730938721E1,1.919306298E1
1.582709792E0,8.377517700E0,5.820732117E-1,-1.730389404E1,1.923398973E1
1.592667792E0,8.345062256E0,5.218849182E-1,-1.721441650E1,1.913762168E1
1.602626792E0,8.390823364E0,4.747581482E-1,-1.711691284E1,1.906882317E1
1.612585792E0,8.318817139E0,3.706207275E-1,-1.714242554E1,1.905788109E1
1.622543792E0,8.384552002E0,4.006080627E-1,-1.718682861E1,1.912716071E1
1.632502792E0,8.466583252E0,2.935409546E-1,-1.716992188E1,1.914615929E1
1.642461792E0,8.466583252E0,2.935409546E-1,-1.716992188E1,1.914615929E1
1.652420792E0,8.432632446E0,2.409515381E-1,-1.721466064E1,1.917059959E1
1.662378792E0,8.519409180E0,2.036743164E-1,-1.707656860E1,1.908483721E1
1.672337792E0,8.550994873E0,2.294464111E-1,-1.699414062E1,1.902558736E1
1.682296792E0,8.743545532E0,2.275466919E-1,-1.713052368E1,1.923424570E1
1.692254792E0,8.646987915E0,8.371353149E-2,-1.719274902E1,1.924494809E1
1.702213792E0,8.623428345E0,-1.014328003E-2,-1.733569336E1,1.936207333E1
1.712173417E0,8.738357544E0,-1.020164490E-1,-1.714324951E1,1.924214915E1
1.722132417E0,8.772933960E0,-2.082633972E-1,-1.734310913E1,1.943685104E1
1.732090417E0,8.653091431E0,-4.095916748E-1,-1.741909790E1,1.945427275E1
1.742049417E0,8.979232788E0,-2.237243652E-1,-1.736389160E1,1.954946049E1
1.752008417E0,8.968551636E0,-2.819175720E-1,-1.713601685E1,1.934315045E1
1.761966417E0,9.024993896E0,-3.767585754E-1,-1.720410156E1,1.943125247E1
1.771925417E0,8.893310547E0,-5.693359375E-1,-1.739361572E1,1.954361747E1
1.781884417E0,8.998443604E0,-6.015396118E-1,-1.734899902E1,1.955304591E1
1.791843417E0,9.098785400E0,-6.874313354E-1,-1.734207153E1,1.959611958E1
1.801801417E0,9.048736572E0,-8.922538757E-1,-1.745709229E1,1.968313546E1
1.811760417E0,8.868728638E0,-1.033706665E0,-1.726937866E1,1.944104772E1
1.821719417E0,8.929672241E0,-1.163539886E0,-1.721249390E1,1.942582862E1
1.831677417E0,8.943435669E0,-1.316879272E0,-1.738372803E1,1.959370339E1
1.841636417E0,8.858306885E0,-1.373184204E0,-1.740805054E1,1.958048670E1
1.851595417E0,8.917465210E0,-1.396785736E0,-1.739849854E1,1.960050886E1
1.861554417E0,8.964263916E0,-1.373897552E0,-1.717901611E1,1.942586463E1
1.871512417E0,8.910034180E0,-1.460334778E0,-1.733377075E1,1.954433154E1
1.881471417E0,8.937820435E0,-1.464466095E0,-1.718078613E1,1.942186158E1
1.891430417E0,9.039962769E0,-1.500061035E0,-1.727874756E1,1.955827771E1
1.901388417E0,9.107315063E0,-1.547412872E0,-1.726846313E1,1.958411329E1
1.911347417E0,8.941192627E0,-1.600723267E0,-1.712838745E1,1.938785437E1
1.921306417E0,9.039276123E0,-1.462863922E0,-1.738916016E1,1.965277015E1
1.931265417E0,9.037796021E0,-1.514396667E0,-1.727499390E1,1.955506503E1
1.941223417E0,8.977478027E0,-1.447368622E0,-1.726660156E1,1.951475127E1
1.951182417E0,8.845458984E0,-1.580699921E0,-1.726858521E1,1.946650436E1
