"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.418749923E-3,-2.071300507E1,7.826416016E0,-3.094657898E1,3.805222881E1
1.637674996E-2,-2.058352661E1,7.676284790E0,-3.113356018E1,3.810387756E1
2.633475000E-2,-2.057482147E1,7.683654785E0,-3.122645569E1,3.817660755E1
3.629274992E-2,-2.043681335E1,7.682323456E0,-3.150460815E1,3.833042876E1
4.625074996E-2,-2.043058777E1,7.751873016E0,-3.126791382E1,3.814685946E1
5.620975001E-2,-2.033986664E1,7.599716187E0,-3.131779480E1,3.810866217E1
6.616774993E-2,-2.044883728E1,7.673835754E0,-3.115075684E1,3.804487288E1
7.612574997E-2,-2.057865906E1,7.738399506E0,-3.113282776E1,3.811321293E1
8.608375001E-2,-2.046844482E1,7.900211334E0,-3.124975586E1,3.818268998E1
9.604174993E-2,-2.058990479E1,7.719963074E0,-3.116300964E1,3.814020423E1
1.060007500E-1,-2.058990479E1,7.719963074E0,-3.116300964E1,3.814020423E1
1.159587500E-1,-2.074490356E1,7.681621552E0,-3.125241089E1,3.828931339E1
1.259167499E-1,-2.075321960E1,7.671943665E0,-3.097123718E1,3.806274263E1
1.358745833E-1,-2.063157654E1,7.731365204E0,-3.096185303E1,3.800095132E1
1.458325833E-1,-2.062112427E1,7.651779175E0,-3.100018311E1,3.801041756E1
1.557915834E-1,-2.078456116E1,7.755897522E0,-3.107516479E1,3.818138023E1
1.657495833E-1,-2.066953278E1,7.724048615E0,-3.122027588E1,3.823082707E1
1.757075833E-1,-2.073493958E1,7.616031647E0,-3.112811279E1,3.816937337E1
1.856655834E-1,-2.069097900E1,7.672878265E0,-3.083929443E1,3.792165284E1
1.956235833E-1,-2.104212189E1,7.550022125E0,-3.088146973E1,3.812399376E1
2.055825833E-1,-2.089692688E1,7.739215851E0,-3.094615173E1,3.813451615E1
2.155405834E-1,-2.104234314E1,7.662071228E0,-3.089581299E1,3.815807648E1
2.254985833E-1,-2.089955902E1,7.781040192E0,-3.083839417E1,3.805709800E1
2.354565833E-1,-2.090014648E1,7.849578857E0,-3.082746887E1,3.806264374E1
2.454145834E-1,-2.081782532E1,7.741817474E0,-3.089340210E1,3.804891433E1
2.553735833E-1,-2.083869934E1,7.701549530E0,-3.108665466E1,3.820923126E1
2.653315833E-1,-2.079018402E1,7.723701477E0,-3.102059937E1,3.813351415E1
2.752895834E-1,-2.078717041E1,7.740581512E0,-3.086334229E1,3.800748548E1
2.852475833E-1,-2.092862701E1,7.809299469E0,-3.094194031E1,3.816276008E1
2.952055833E-1,-2.081185150E1,7.845165253E0,-3.107780457E1,3.821661572E1
3.051645833E-1,-2.078481293E1,7.765731812E0,-3.108955383E1,3.819522741E1
3.151225833E-1,-2.092794037E1,7.710441589E0,-3.113113403E1,3.829591497E1
3.250805833E-1,-2.093718719E1,7.773509979E0,-3.105041504E1,3.824815733E1
3.350385833E-1,-2.088184357E1,7.697372437E0,-3.104345703E1,3.819682130E1
3.449965833E-1,-2.084933472E1,7.826759338E0,-3.105828857E1,3.821740715E1
3.549555833E-1,-2.075478363E1,7.774543762E0,-3.098568726E1,3.809615977E1
3.649135833E-1,-2.072748566E1,7.831432343E0,-3.095414734E1,3.806729872E1
3.748715833E-1,-2.072135925E1,7.768886566E0,-3.106185913E1,3.813881776E1
3.848295833E-1,-2.080639648E1,7.687160492E0,-3.121800232E1,3.829572091E1
3.947875833E-1,-2.077445221E1,7.723262787E0,-3.115168762E1,3.823158765E1
4.047465833E-1,-2.083136749E1,7.833473206E0,-3.118692017E1,3.831361590E1
4.147045834E-1,-2.081533051E1,7.803840637E0,-3.120606995E1,3.831444524E1
4.246625833E-1,-2.089441681E1,7.889392853E0,-3.111534119E1,3.830122231E1
4.346205833E-1,-2.091785431E1,7.909542084E0,-3.095802307E1,3.819053125E1
4.445785834E-1,-2.087149048E1,8.010505676E0,-3.100724792E1,3.822612640E1
4.545375833E-1,-2.076649475E1,7.981189728E0,-3.107028198E1,3.821399111E1
4.644955833E-1,-2.077451324E1,7.901664734E0,-3.102336121E1,3.816366920E1
4.744535834E-1,-2.085203552E1,7.965137482E0,-3.111633301E1,3.829460772E1
4.844115833E-1,-2.089309692E1,8.023765564E0,-3.068894958E1,3.798307438E1
4.943695833E-1,-2.069627380E1,8.161716461E0,-3.085711670E1,3.804091240E1
5.043285834E-1,-2.057264709E1,8.188808441E0,-3.092770386E1,3.803699854E1
