"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.800208288E-3,-9.264358521E0,3.243664932E1,-3.154144287E1,4.618254190E1
1.775820833E-2,-9.243682861E0,3.241880417E1,-3.143838501E1,4.609551593E1
2.771720837E-2,-9.231353760E0,3.250102615E1,-3.138269043E1,4.611299006E1
3.767520830E-2,-9.022033691E0,3.283086395E1,-3.127209473E1,4.622993217E1
4.763320833E-2,-8.880828857E0,3.269680023E1,-3.110614014E1,4.599501952E1
5.759220838E-2,-8.728363037E0,3.282500458E1,-3.124093628E1,4.614825399E1
6.755020830E-2,-8.819152832E0,3.268961334E1,-3.113504028E1,4.599759788E1
7.750820834E-2,-8.965927124E0,3.277907562E1,-3.132070923E1,4.621517580E1
8.746720839E-2,-9.280624390E0,3.260839081E1,-3.130349731E1,4.614483811E1
9.742520831E-2,-9.323135376E0,3.275227356E1,-3.124530029E1,4.621580971E1
1.073832083E-1,-9.494079590E0,3.269577408E1,-3.123892212E1,4.620629227E1
1.173422083E-1,-9.402359009E0,3.261401367E1,-3.132104492E1,4.618534505E1
1.273002083E-1,-9.480819702E0,3.262771606E1,-3.116098022E1,4.610271669E1
1.372592084E-1,-9.459197998E0,3.283411789E1,-3.099386597E1,4.613215204E1
1.472172083E-1,-9.493988037E0,3.309813690E1,-3.079269409E1,4.619320821E1
1.571752083E-1,-9.327957153E0,3.317603302E1,-3.068395996E1,4.614287974E1
1.671342084E-1,-9.039688110E0,3.329174805E1,-3.075137329E1,4.621367123E1
1.770922083E-1,-8.894149780E0,3.344179153E1,-3.065969849E1,4.623285015E1
1.870502083E-1,-8.996414185E0,3.351018143E1,-3.056710815E1,4.624084589E1
1.970092084E-1,-9.016906738E0,3.359206390E1,-3.033319092E1,4.615012281E1
2.069672083E-1,-8.860702515E0,3.388968658E1,-3.017712402E1,4.623507024E1
2.169252083E-1,-8.847976685E0,3.400194550E1,-3.022686768E1,4.634741113E1
2.268842084E-1,-8.707962036E0,3.420098495E1,-3.031674194E1,4.652570060E1
2.368422083E-1,-8.697463989E0,3.440281677E1,-2.996209717E1,4.644272762E1
2.468002083E-1,-8.531906128E0,3.456411362E1,-2.950540161E1,4.623894567E1
2.567592083E-1,-8.468338013E0,3.479343033E1,-2.934368896E1,4.629630250E1
2.667172083E-1,-8.109207153E0,3.509169006E1,-2.923272705E1,4.638683308E1
2.766752084E-1,-8.213806152E0,3.531663895E1,-2.890451050E1,4.637027415E1
2.866342083E-1,-8.068832397E0,3.541982651E1,-2.883889771E1,4.638267119E1
2.965922083E-1,-8.068832397E0,3.541982651E1,-2.883889771E1,4.638267119E1
3.065512084E-1,-7.941284180E0,3.562817383E1,-2.874291992E1,4.646058771E1
3.165092083E-1,-7.967269897E0,3.589995193E1,-2.854690552E1,4.655330013E1
3.264672083E-1,-7.818084717E0,3.594329071E1,-2.820162964E1,4.635056105E1
3.364262084E-1,-7.850997925E0,3.629129028E1,-2.794158936E1,4.646964961E1
3.463842083E-1,-7.744628906E0,3.633075333E1,-2.781744385E1,4.640811455E1
3.563422083E-1,-7.639602661E0,3.649295425E1,-2.785607910E1,4.654095381E1
3.663012084E-1,-7.673553467E0,3.670050049E1,-2.741180420E1,4.644585200E1
3.762592083E-1,-7.581176758E0,3.670943451E1,-2.731719971E1,4.638196010E1
3.862172083E-1,-7.626113892E0,3.684955978E1,-2.707192993E1,4.635662908E1
3.961762083E-1,-7.833435059E0,3.681728745E1,-2.685446167E1,4.623891728E1
4.061342083E-1,-7.851547241E0,3.690240479E1,-2.678894043E1,4.627182298E1
4.160922084E-1,-7.793701172E0,3.707122421E1,-2.679013062E1,4.639750576E1
4.260512083E-1,-8.019210815E0,3.712621307E1,-2.663613892E1,4.639124201E1
4.360092083E-1,-8.138458252E0,3.714585876E1,-2.645904541E1,4.632634682E1
4.459682084E-1,-8.115173340E0,3.724075317E1,-2.646759033E1,4.640326576E1
4.559262083E-1,-8.200469971E0,3.725378036E1,-2.630987549E1,4.633898367E1
4.658842083E-1,-8.157104492E0,3.738887024E1,-2.619415283E1,4.637455783E1
4.758432084E-1,-8.467178345E0,3.726750946E1,-2.611798096E1,4.628940807E1
4.858012083E-1,-8.508178711E0,3.741990662E1,-2.629034424E1,4.651688636E1
4.957592083E-1,-8.505447388E0,3.752532578E1,-2.588787842E1,4.637537017E1
5.057182084E-1,-8.644805908E0,3.754261017E1,-2.588140869E1,4.641150249E1
5.156762083E-1,-8.443801880E0,3.743033600E1,-2.600000000E1,4.635005764E1
5.256342083E-1,-8.393325806E0,3.735969543E1,-2.620349121E1,4.639846671E1
5.355932083E-1,-8.061386108E0,3.733242798E1,-2.622918701E1,4.633213114E1
5.455512083E-1,-7.756698608E0,3.736359406E1,-2.620675659E1,4.629253315E1
5.555092084E-1,-7.376113892E0,3.725140762E1,-2.656063843E1,4.634157895E1
5.654682083E-1,-6.984008789E0,3.714389801E1,-2.682928467E1,4.634928321E1
5.754262083E-1,-6.556640625E0,3.712660217E1,-2.695956421E1,4.634859467E1
5.853852084E-1,-6.344375610E0,3.698440170E1,-2.705557251E1,4.626122648E1
5.953432083E-1,-6.035522461E0,3.713898849E1,-2.715591431E1,4.640232408E1
6.053012083E-1,-5.925567627E0,3.711400604E1,-2.691094971E1,4.622511233E1
6.152602084E-1,-5.869720459E0,3.710838318E1,-2.687576294E1,4.619299031E1
6.252182083E-1,-5.821792603E0,3.712098312E1,-2.698196411E1,4.625891314E1
6.351762083E-1,-5.499816895E0,3.722908783E1,-2.694012451E1,4.628199731E1
6.451352084E-1,-4.992187500E0,3.729251862E1,-2.677706909E1,4.618078940E1
6.550932083E-1,-4.443389893E0,3.738868713E1,-2.703924561E1,4.635491821E1
6.650512083E-1,-4.049179077E0,3.739422607E1,-2.704870605E1,4.632878688E1
6.750102083E-1,-3.606124878E0,3.731056976E1,-2.721804810E1,4.632391278E1
6.849682083E-1,-3.130477905E0,3.729431152E1,-2.751586914E1,4.645200339E1
6.949262084E-1,-2.949356079E0,3.722915649E1,-2.770849609E1,4.650236070E1
7.048852083E-1,-2.676635742E0,3.725424194E1,-2.781799316E1,4.657127511E1
7.148432083E-1,-2.577209473E0,3.718538666E1,-2.743051147E1,4.627988709E1
7.248022084E-1,-2.633346558E0,3.742900848E1,-2.737396240E1,4.644565650E1
7.347602083E-1,-2.800903320E0,3.744975662E1,-2.698138428E1,4.624202015E1
7.447174999E-1,-2.717544556E0,3.770056152E1,-2.689181519E1,4.638843726E1
7.546765000E-1,-2.561950684E0,3.779489899E1,-2.650000000E1,4.623059572E1
7.646345000E-1,-2.663345337E0,3.783648682E1,-2.652005005E1,4.628181282E1
7.745924999E-1,-2.703369141E0,3.782963562E1,-2.649795532E1,4.626587481E1
