"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.097208333E-2,-4.687533188E1,1.473038864E1,-6.641661072E1,8.261626515E1
4.093008325E-2,-4.655262375E1,1.474048233E1,-6.649880981E1,8.250163819E1
5.088808341E-2,-4.657151413E1,1.478980637E1,-6.638378906E1,8.242846445E1
6.084791664E-2,-4.647402573E1,1.465866184E1,-6.642572021E1,8.238378324E1
7.080591680E-2,-4.668847275E1,1.466867924E1,-6.630017090E1,8.240568123E1
8.076391672E-2,-4.640529251E1,1.477466488E1,-6.631402588E1,8.227570676E1
9.072191664E-2,-4.668711472E1,1.482541656E1,-6.641722107E1,8.252712834E1
1.006799168E-1,-4.647247696E1,1.484020996E1,-6.641981506E1,8.241064725E1
1.106379167E-1,-4.653847885E1,1.493961906E1,-6.657559204E1,8.259135359E1
1.205959166E-1,-4.642470932E1,1.480422688E1,-6.643286133E1,8.238776507E1
1.305539168E-1,-4.662388992E1,1.494743347E1,-6.636354065E1,8.247019102E1
1.405119167E-1,-4.639944077E1,1.480348206E1,-6.631724548E1,8.228018129E1
1.504699166E-1,-4.652386093E1,1.487378883E1,-6.625459290E1,8.231263761E1
1.604279168E-1,-4.638492203E1,1.476025295E1,-6.624226379E1,8.220379293E1
1.703859167E-1,-4.652823257E1,1.484065819E1,-6.606245422E1,8.215454595E1
1.803439166E-1,-4.626328659E1,1.479489136E1,-6.634504700E1,8.222436231E1
1.903019168E-1,-4.634886551E1,1.503593540E1,-6.618931580E1,8.219076720E1
2.002599167E-1,-4.635871506E1,1.478050804E1,-6.626910400E1,8.221428115E1
2.102179166E-1,-4.640065384E1,1.492891502E1,-6.608403015E1,8.211572457E1
2.201759168E-1,-4.627296066E1,1.472945118E1,-6.646870422E1,8.231787328E1
2.301339167E-1,-4.638618088E1,1.489735413E1,-6.625811768E1,8.224200322E1
2.400919166E-1,-4.636320114E1,1.488871765E1,-6.628562927E1,8.224965034E1
2.500509166E-1,-4.643941879E1,1.510660934E1,-6.610723877E1,8.218878440E1
2.600089167E-1,-4.632858658E1,1.493320847E1,-6.646560669E1,8.238334493E1
2.699669166E-1,-4.628947067E1,1.509397888E1,-6.641960144E1,8.235354728E1
2.799249166E-1,-4.620194626E1,1.497045135E1,-6.654101562E1,8.237985805E1
2.898829167E-1,-4.640525436E1,1.517194176E1,-6.651513672E1,8.250999250E1
2.998409166E-1,-4.641934586E1,1.506026459E1,-6.690470886E1,8.281187902E1
3.097989166E-1,-4.654734421E1,1.533215141E1,-6.688343811E1,8.291637000E1
3.197569167E-1,-4.646258926E1,1.525813961E1,-6.717103577E1,8.308749046E1
3.297149166E-1,-4.670525742E1,1.550114441E1,-6.735934448E1,8.342030830E1
3.396729166E-1,-4.668049240E1,1.540911961E1,-6.774639893E1,8.370235304E1
3.496309167E-1,-4.656755447E1,1.580096817E1,-6.785194397E1,8.379793569E1
3.595889166E-1,-4.650777054E1,1.559999847E1,-6.809782410E1,8.392643397E1
3.695469166E-1,-4.623473740E1,1.587808609E1,-6.794287109E1,8.370184163E1
3.795049167E-1,-4.603406906E1,1.572978687E1,-6.789416504E1,8.352352576E1
3.894629166E-1,-4.556312180E1,1.595756531E1,-6.766925049E1,8.312502283E1
3.994209166E-1,-4.535495377E1,1.594070816E1,-6.787527466E1,8.317590347E1
4.093789167E-1,-4.492081833E1,1.658238792E1,-6.781990051E1,8.302044576E1
4.193369166E-1,-4.482320786E1,1.659093857E1,-6.824473572E1,8.331700402E1
4.292949168E-1,-4.447316360E1,1.691419411E1,-6.834156799E1,8.327377834E1
4.392529167E-1,-4.421321487E1,1.707434464E1,-6.838317871E1,8.320216791E1
4.492119167E-1,-4.386029434E1,1.732033157E1,-6.803134155E1,8.277670408E1
4.591699166E-1,-4.368266678E1,1.730044746E1,-6.815977478E1,8.278427240E1
4.691279167E-1,-4.368266678E1,1.730044746E1,-6.815977478E1,8.278427240E1
4.790859167E-1,-4.312617874E1,1.765052986E1,-6.801898193E1,8.244992663E1
4.890439166E-1,-4.286689377E1,1.777015495E1,-6.813771057E1,8.243844122E1
4.990019167E-1,-4.246412277E1,1.794952393E1,-6.811384583E1,8.224890957E1
5.089599167E-1,-4.223019028E1,1.807322121E1,-6.812701416E1,8.216641865E1
5.189179166E-1,-4.175951767E1,1.848249626E1,-6.802076721E1,8.192853444E1
5.288759167E-1,-4.169948959E1,1.845724487E1,-6.824197388E1,8.207608860E1
5.388339167E-1,-4.126987839E1,1.870767593E1,-6.796031189E1,8.168098918E1
5.487919166E-1,-4.119036484E1,1.873411942E1,-6.789309692E1,8.159096761E1
5.587499167E-1,-4.086925888E1,1.893754578E1,-6.776736450E1,8.137163298E1
5.687079167E-1,-4.091129684E1,1.898111916E1,-6.768649292E1,8.133559133E1
5.786659166E-1,-4.062277603E1,1.906385422E1,-6.738653564E1,8.096039560E1
5.886239167E-1,-4.061947250E1,1.902228546E1,-6.736561584E1,8.093154570E1
5.985819167E-1,-4.053826523E1,1.915467834E1,-6.733004761E1,8.089244687E1
6.085399166E-1,-4.055891800E1,1.918676758E1,-6.766433716E1,8.118879481E1
6.184979167E-1,-4.060477066E1,1.919192886E1,-6.755940247E1,8.112552247E1
6.284559167E-1,-4.105390549E1,1.914381599E1,-6.765098572E1,8.141599791E1
6.384149166E-1,-4.104161453E1,1.916311264E1,-6.793293762E1,8.164877846E1
6.483729167E-1,-4.173409653E1,1.903794861E1,-6.824301147E1,8.222704491E1
6.583309167E-1,-4.202806473E1,1.892631912E1,-6.876374817E1,8.278295019E1
6.682889166E-1,-4.306757736E1,1.866279030E1,-6.937171936E1,8.375888853E1
6.782469167E-1,-4.317409897E1,1.879811859E1,-6.995365906E1,8.432607248E1
6.882049167E-1,-4.356091690E1,1.899316788E1,-7.021524048E1,8.478486836E1
6.981629166E-1,-4.361037064E1,1.911953735E1,-7.071156311E1,8.524990494E1
7.081209167E-1,-4.366543961E1,1.921273422E1,-7.045254517E1,8.508443390E1
7.180789167E-1,-4.318014145E1,1.916160393E1,-7.027923584E1,8.468094633E1
7.280369166E-1,-4.330865860E1,1.930551910E1,-7.021554565E1,8.472641754E1
7.379949167E-1,-4.299531174E1,1.908154678E1,-7.006689453E1,8.439236914E1
7.479529167E-1,-4.310560989E1,1.908086395E1,-6.993344116E1,8.433776833E1
7.579109166E-1,-4.272346115E1,1.912641907E1,-6.970185852E1,8.396108099E1
7.678689167E-1,-4.288181686E1,1.889572906E1,-6.953550720E1,8.385156860E1
7.778269167E-1,-4.248478317E1,1.888982582E1,-6.926757812E1,8.342529413E1
7.877849166E-1,-4.228201675E1,1.877003479E1,-6.904298401E1,8.310846400E1
7.977429167E-1,-4.212488937E1,1.863150787E1,-6.893299866E1,8.290595693E1
8.077009167E-1,-4.232007980E1,1.868185425E1,-6.914619446E1,8.319373198E1
