"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.279004163E-2,-1.680471802E1,-3.967144012E0,-2.086007690E1,2.707913565E1
2.274804167E-2,-1.683389282E1,-3.864345551E0,-2.081527710E1,2.704789964E1
3.270604170E-2,-1.685298157E1,-3.875789642E0,-2.067266846E1,2.695188220E1
4.266404163E-2,-1.691184998E1,-3.832846165E0,-2.065066528E1,2.696574412E1
5.262104166E-2,-1.698739624E1,-3.800101757E0,-2.059915161E1,2.696919449E1
6.257904170E-2,-1.707095337E1,-3.625601768E0,-2.047961426E1,2.690682139E1
7.253704162E-2,-1.721990967E1,-3.557030678E0,-2.052456665E1,2.702657197E1
8.249504166E-2,-1.743002319E1,-3.638629913E0,-2.029095459E1,2.699570659E1
9.245304170E-2,-1.740716553E1,-3.557605743E0,-2.015084839E1,2.686489645E1
1.024110416E-1,-1.762330627E1,-3.599473953E0,-2.006106567E1,2.694408085E1
1.123690417E-1,-1.774356079E1,-3.669910908E0,-2.019799805E1,2.713413571E1
1.223270417E-1,-1.774826050E1,-3.684838295E0,-2.015698242E1,2.710872045E1
1.322850416E-1,-1.788710022E1,-3.642060757E0,-2.014001465E1,2.718148544E1
1.422420416E-1,-1.795111084E1,-3.658845901E0,-2.036791992E1,2.739492098E1
1.522000417E-1,-1.797961426E1,-3.631988525E0,-2.031741333E1,2.737252553E1
1.621580416E-1,-1.802899170E1,-3.599936485E0,-2.008856201E1,2.723149662E1
1.721160416E-1,-1.808415222E1,-3.491773129E0,-2.031265259E1,2.741957141E1
1.820740417E-1,-1.814311218E1,-3.411572456E0,-2.031991577E1,2.745378523E1
1.920320416E-1,-1.811511230E1,-3.346185207E0,-2.029754639E1,2.741066651E1
2.019900416E-1,-1.802839661E1,-3.382951736E0,-2.044873047E1,2.747031169E1
2.119480417E-1,-1.804991150E1,-3.370208740E0,-2.025122070E1,2.733623149E1
2.219050417E-1,-1.812976074E1,-3.383741856E0,-2.036392212E1,2.747411978E1
2.318630416E-1,-1.818217468E1,-3.380094051E0,-2.058822632E1,2.767474616E1
2.418210417E-1,-1.825097656E1,-3.558427811E0,-2.068145752E1,2.781156664E1
2.517790417E-1,-1.840486145E1,-3.722185612E0,-2.070129395E1,2.794883113E1
2.617370416E-1,-1.827217102E1,-3.689095020E0,-2.066909790E1,2.783331213E1
2.716950417E-1,-1.834402466E1,-3.735162735E0,-2.059304810E1,2.783034874E1
