"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.829125061E-3,-3.219126129E1,-1.832101440E1,-1.697459412E1,4.074400223E1
1.578812499E-2,-3.223451996E1,-1.827404785E1,-1.705740356E1,4.079166726E1
2.574712504E-2,-3.227124786E1,-1.814459991E1,-1.704518127E1,4.075779863E1
3.570512496E-2,-3.226422882E1,-1.780375290E1,-1.695353699E1,4.056324069E1
4.566412501E-2,-3.231522369E1,-1.764184952E1,-1.711119080E1,4.059927816E1
5.562312505E-2,-3.233768463E1,-1.761650085E1,-1.751765442E1,4.077910207E1
6.558212498E-2,-3.219666290E1,-1.738702393E1,-1.748414612E1,4.055402654E1
7.554012502E-2,-3.220766449E1,-1.735675430E1,-1.762785339E1,4.061196606E1
8.549912495E-2,-3.233443451E1,-1.742182159E1,-1.765138245E1,4.075054386E1
9.545812500E-2,-3.254405975E1,-1.733358383E1,-1.762080383E1,4.086638816E1
1.054161250E-1,-3.267812347E1,-1.726644135E1,-1.713340759E1,4.073749386E1
1.153751250E-1,-3.295548248E1,-1.717966461E1,-1.693144226E1,4.083966747E1
1.253341250E-1,-3.314069366E1,-1.714004517E1,-1.654565430E1,4.081476940E1
1.352931251E-1,-3.321540070E1,-1.695900345E1,-1.652566528E1,4.079176699E1
1.452511250E-1,-3.335573578E1,-1.691159439E1,-1.639347839E1,4.083323730E1
1.552101250E-1,-3.336518097E1,-1.662922668E1,-1.641232300E1,4.073242968E1
1.651691250E-1,-3.344048309E1,-1.660700226E1,-1.652935791E1,4.083231694E1
1.751281250E-1,-3.349736786E1,-1.647523117E1,-1.680538940E1,4.093809972E1
1.850861250E-1,-3.346349335E1,-1.641593933E1,-1.702433777E1,4.097702439E1
1.950451250E-1,-3.337281036E1,-1.610159302E1,-1.722602844E1,4.086247454E1
2.050041250E-1,-3.331748199E1,-1.601366425E1,-1.742845154E1,4.086860619E1
2.149621251E-1,-3.342653656E1,-1.580996704E1,-1.744293213E1,4.088452379E1
2.249211250E-1,-3.354691315E1,-1.582354736E1,-1.769636536E1,4.109673198E1
2.348801250E-1,-3.354701996E1,-1.569216156E1,-1.762692261E1,4.101651964E1
2.448391250E-1,-3.365615082E1,-1.566957092E1,-1.775718689E1,4.115324564E1
2.547971250E-1,-3.385152435E1,-1.541578674E1,-1.775396729E1,4.121620478E1
2.647561250E-1,-3.384214020E1,-1.528747940E1,-1.768316650E1,4.113018183E1
2.747151250E-1,-3.386457062E1,-1.522165298E1,-1.788464355E1,4.121126470E1
2.846741250E-1,-3.392488861E1,-1.520199203E1,-1.812907410E1,4.136014938E1
2.946321251E-1,-3.407146454E1,-1.525378036E1,-1.795436096E1,4.142344250E1
3.045911250E-1,-3.407146454E1,-1.525378036E1,-1.795436096E1,4.142344250E1
3.145501250E-1,-3.408342743E1,-1.527061462E1,-1.793489075E1,4.143105119E1
3.245091250E-1,-3.406482697E1,-1.528229523E1,-1.763336182E1,4.129039153E1
3.344671250E-1,-3.414998627E1,-1.549180984E1,-1.778932190E1,4.150515279E1
3.444261251E-1,-3.394757843E1,-1.558452606E1,-1.800646973E1,4.146743886E1
3.543851250E-1,-3.356389618E1,-1.570945358E1,-1.876269531E1,4.153746254E1
3.643432084E-1,-3.312567902E1,-1.594262314E1,-1.945059204E1,4.159090494E1
3.743022083E-1,-3.255614471E1,-1.596499252E1,-2.002458191E1,4.142182306E1
3.842612084E-1,-3.239058685E1,-1.595928574E1,-2.078849792E1,4.166546008E1
3.942202083E-1,-3.221590424E1,-1.570512009E1,-2.130023193E1,4.169190765E1
4.041782083E-1,-3.226175690E1,-1.518072891E1,-2.160206604E1,4.168842460E1
4.141372084E-1,-3.234584808E1,-1.452620316E1,-2.183087158E1,4.163954155E1
4.240962083E-1,-3.252437592E1,-1.389862823E1,-2.175239563E1,4.152316957E1
4.340552083E-1,-3.283103180E1,-1.335012817E1,-2.162507629E1,4.151802616E1
4.440132084E-1,-3.297560883E1,-1.276594925E1,-2.175456238E1,4.151651746E1
4.539722083E-1,-3.313843536E1,-1.224728394E1,-2.174708557E1,4.148599273E1
4.639312084E-1,-3.318064117E1,-1.180745697E1,-2.160018921E1,4.131512027E1
4.738892083E-1,-3.354076385E1,-1.153449631E1,-2.175279236E1,4.160782884E1
4.838482083E-1,-3.360564423E1,-1.102788925E1,-2.149644470E1,4.138901787E1
4.938072084E-1,-3.380826569E1,-1.077244568E1,-2.123321533E1,4.135086272E1
5.037662083E-1,-3.411220551E1,-1.053220749E1,-2.093801880E1,4.138804888E1
5.137242083E-1,-3.417157745E1,-1.029685974E1,-2.069018555E1,4.125294904E1
5.236832084E-1,-3.429778290E1,-1.011516190E1,-2.052566528E1,4.123053901E1
5.336422083E-1,-3.446512604E1,-9.925853729E0,-2.071810913E1,4.141989294E1
5.436012084E-1,-3.449155426E1,-9.709838867E0,-2.073550415E1,4.139938911E1
5.535592083E-1,-3.447130585E1,-9.334526062E0,-2.074711609E1,4.130190225E1
5.635182083E-1,-3.462133026E1,-8.777072906E0,-2.048013306E1,4.117170591E1
5.734772084E-1,-3.482056427E1,-8.420967102E0,-2.043403625E1,4.124238379E1
5.834362083E-1,-3.487050629E1,-7.879734039E0,-2.032341003E1,4.112278459E1
5.933942084E-1,-3.502727509E1,-7.334346771E0,-2.004293823E1,4.101733799E1
6.033532084E-1,-3.523284149E1,-6.964809418E0,-2.008053589E1,4.114717015E1
6.133122083E-1,-3.523619843E1,-6.500968933E0,-1.982144165E1,4.094803812E1
6.232702084E-1,-3.542621613E1,-6.290428162E0,-1.959352112E1,4.096940743E1
6.332292083E-1,-3.550191498E1,-5.804714203E0,-1.962211609E1,4.097692172E1
6.431882083E-1,-3.543933868E1,-5.420333862E0,-1.952748108E1,4.082461589E1
6.531472084E-1,-3.538513947E1,-5.020416260E0,-1.944987488E1,4.068919153E1
6.631052083E-1,-3.548123932E1,-4.556224823E0,-1.946519470E1,4.072556118E1
6.730642084E-1,-3.561840057E1,-4.287990570E0,-1.951094055E1,4.083790058E1
6.830232083E-1,-3.554553986E1,-3.805942535E0,-1.970658875E1,4.082058601E1
6.929812083E-1,-3.558086395E1,-3.373424530E0,-1.987838745E1,4.089655438E1
7.029402084E-1,-3.545735931E1,-2.924636841E0,-1.990802002E1,4.076894764E1
7.128992083E-1,-3.534099579E1,-2.295207977E0,-2.015872192E1,4.075080407E1
7.228582083E-1,-3.538118744E1,-1.608901978E0,-2.013780212E1,4.074246022E1
7.328162084E-1,-3.525003815E1,-8.604583740E-1,-2.018013000E1,4.062687811E1
7.427752083E-1,-3.524144745E1,-2.625236511E-1,-2.008914185E1,4.056602220E1
7.527342084E-1,-3.546576691E1,1.363563538E-1,-2.011050415E1,4.077096507E1
7.626932083E-1,-3.576169586E1,2.560272217E-1,-1.937106323E1,4.067188871E1
7.726512083E-1,-3.609720612E1,-4.259109497E-2,-1.869029236E1,4.064894995E1
7.826102084E-1,-3.666199493E1,-5.667533875E-1,-1.795390320E1,4.082604220E1
7.925692083E-1,-3.694637299E1,-1.246681213E0,-1.744039917E1,4.087488488E1
8.025282084E-1,-3.733069611E1,-1.943584442E0,-1.686518860E1,4.100966933E1
8.124862084E-1,-3.733069611E1,-1.943584442E0,-1.686518860E1,4.100966933E1
8.224452083E-1,-3.746942902E1,-2.485382080E0,-1.649942017E1,4.101665638E1
8.324042084E-1,-3.751055145E1,-2.954486847E0,-1.637670898E1,4.103616771E1
8.423622083E-1,-3.762511444E1,-3.218738556E0,-1.642401123E1,4.117957818E1
8.523212083E-1,-3.762725067E1,-3.460895538E0,-1.634643555E1,4.117030175E1
8.622802084E-1,-3.759113312E1,-3.566810608E0,-1.646415710E1,4.119325061E1
8.722392083E-1,-3.759091949E1,-3.664054871E0,-1.638676453E1,4.117072477E1
8.821972084E-1,-3.749521637E1,-3.835266113E0,-1.651910400E1,4.115192965E1
8.921562083E-1,-3.741587067E1,-4.001594543E0,-1.660346985E1,4.112949486E1
9.021152083E-1,-3.742702484E1,-4.445575714E0,-1.703050232E1,4.135919899E1
9.120742084E-1,-3.709983063E1,-4.671108246E0,-1.742129517E1,4.125188735E1
9.220322083E-1,-3.699945831E1,-4.934055328E0,-1.760389709E1,4.126986807E1
9.319912083E-1,-3.692798615E1,-5.201591492E0,-1.784988403E1,4.134429918E1
9.419502084E-1,-3.689685822E1,-5.296524048E0,-1.791065979E1,4.135484309E1
9.519082083E-1,-3.693936920E1,-5.216781616E0,-1.768235779E1,4.128435036E1
9.618672084E-1,-3.718845367E1,-5.296535492E0,-1.721636963E1,4.132115388E1
9.718262083E-1,-3.753900909E1,-5.230026245E0,-1.644622803E1,4.131596295E1
9.817852083E-1,-3.779822540E1,-5.185302734E0,-1.558657837E1,4.121328224E1
9.917432084E-1,-3.829459381E1,-5.141593933E0,-1.491426086E1,4.141674879E1
1.001702208E0,-3.831670380E1,-5.347846985E0,-1.478315735E1,4.141631319E1
1.011661208E0,-3.821956635E1,-5.558521271E0,-1.491575623E1,4.140183805E1
1.021619208E0,-3.798546600E1,-5.969985962E0,-1.576760864E1,4.155904044E1
1.031578208E0,-3.763480377E1,-6.446250916E0,-1.630468750E1,4.151837473E1
1.041537208E0,-3.715969086E1,-6.821842194E0,-1.716241455E1,4.149612788E1
1.051496208E0,-3.686498260E1,-7.137138367E0,-1.780740356E1,4.155802339E1
1.061454208E0,-3.664128876E1,-7.236728668E0,-1.865835571E1,4.175031163E1
1.071413208E0,-3.620494843E1,-7.113998413E0,-1.943215942E1,4.170151177E1
1.081372208E0,-3.598975372E1,-7.159420013E0,-1.998857117E1,4.178591444E1
1.091331208E0,-3.573018646E1,-7.122962952E0,-2.048797607E1,4.179880368E1
1.101289208E0,-3.549782562E1,-7.147441864E0,-2.103050232E1,4.187437853E1
1.111248208E0,-3.522495270E1,-7.192111969E0,-2.149066162E1,4.188522775E1
1.121207208E0,-3.489199066E1,-7.068931580E0,-2.197280884E1,4.183569211E1
1.131165208E0,-3.468828583E1,-7.280750275E0,-2.227111816E1,4.186035359E1
1.141124208E0,-3.423480988E1,-7.530494690E0,-2.293296814E1,4.188856151E1
1.151083208E0,-3.367121124E1,-7.697811127E0,-2.372570801E1,4.190365119E1
1.161042208E0,-3.331772614E1,-7.824703217E0,-2.411015320E1,4.186402205E1
1.171000208E0,-3.285523224E1,-7.720382690E0,-2.443275452E1,4.166569437E1
1.180959208E0,-3.253821564E1,-7.789031982E0,-2.491343689E1,4.171431210E1
1.190918208E0,-3.251990509E1,-7.835086823E0,-2.507527161E1,4.180552665E1
1.200876208E0,-3.260965729E1,-7.879806519E0,-2.506977844E1,4.188048341E1
1.210835208E0,-3.286823273E1,-7.915916443E0,-2.481829834E1,4.193960405E1
1.220794208E0,-3.308586884E1,-8.033302307E0,-2.442303467E1,4.190099384E1
1.230753208E0,-3.352295685E1,-8.054233551E0,-2.403495789E1,4.202783024E1
1.240711208E0,-3.375180817E1,-8.097099304E0,-2.369903564E1,4.202846490E1
1.250670208E0,-3.400214386E1,-7.919883728E0,-2.337730408E1,4.201629078E1
1.260629208E0,-3.428685760E1,-8.036090851E0,-2.304341125E1,4.208522499E1
1.270588208E0,-3.431813812E1,-7.862205505E0,-2.302612305E1,4.206841122E1
1.280546208E0,-3.432834625E1,-7.651729584E0,-2.272943115E1,4.187614312E1
1.290505208E0,-3.442697906E1,-7.247535706E0,-2.290780640E1,4.198227311E1
1.300464208E0,-3.448534393E1,-6.755142212E0,-2.279736328E1,4.188783433E1
