"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.168166546E-3,2.085952759E1,3.183390617E0,-1.421357727E1,2.544169110E1
1.412616647E-2,2.084653473E1,3.191607475E0,-1.423513794E1,2.544412546E1
2.408516663E-2,2.081184387E1,3.227005243E0,-1.420414734E1,2.540283862E1
3.404316655E-2,2.069603729E1,3.512323856E0,-1.422947693E1,2.536021278E1
4.400116648E-2,2.067284393E1,3.653042316E0,-1.442835999E1,2.547329516E1
5.395916663E-2,2.047852325E1,3.696814537E0,-1.455931091E1,2.539704484E1
6.391716655E-2,2.030722046E1,3.688641071E0,-1.456379700E1,2.526051185E1
7.387616648E-2,2.026713562E1,3.705941916E0,-1.477314758E1,2.535225200E1
8.383416664E-2,2.026359558E1,3.765260220E0,-1.490341187E1,2.543427167E1
9.379216656E-2,2.008923340E1,3.834539652E0,-1.491197205E1,2.531102335E1
1.037501665E-1,2.005545044E1,3.913083553E0,-1.491859436E1,2.530015361E1
1.137091666E-1,2.005545044E1,3.913083553E0,-1.491859436E1,2.530015361E1
1.236671666E-1,1.991500854E1,4.061714172E0,-1.516494751E1,2.535903627E1
1.336251665E-1,2.005349731E1,4.149579048E0,-1.542729187E1,2.563909311E1
1.435831666E-1,2.003058624E1,4.314157963E0,-1.528448486E1,2.556270372E1
1.535411666E-1,2.000218964E1,4.466654778E0,-1.515974426E1,2.549228199E1
1.635001665E-1,1.996575928E1,4.428546906E0,-1.545948792E1,2.563667954E1
1.734581667E-1,1.994783783E1,4.445231438E0,-1.557135010E1,2.569325321E1
1.834161666E-1,1.996036530E1,4.507900238E0,-1.558296204E1,2.572092637E1
1.933741665E-1,1.987842560E1,4.474169254E0,-1.581365967E1,2.579228231E1
2.033331667E-1,1.968643188E1,4.462975502E0,-1.586018372E1,2.567136884E1
2.132894583E-1,1.962467957E1,4.540010929E0,-1.605165100E1,2.575646030E1
2.232474582E-1,1.945725250E1,4.701671600E0,-1.611634827E1,2.569877570E1
2.332054581E-1,1.910561371E1,4.644372940E0,-1.631631470E1,2.555027985E1
2.431634583E-1,1.893551636E1,4.870258331E0,-1.667497253E1,2.569684621E1
2.531224582E-1,1.863433075E1,4.761212349E0,-1.699578857E1,2.566640323E1
2.630804582E-1,1.830349731E1,4.827601910E0,-1.731506348E1,2.565414542E1
2.730384583E-1,1.827357483E1,5.118206978E0,-1.772428894E1,2.596670942E1
2.829964582E-1,1.795595551E1,5.141293049E0,-1.801271057E1,2.594815937E1
2.929554582E-1,1.765948486E1,5.172195435E0,-1.830523682E1,2.595555251E1
3.029134583E-1,1.733148956E1,5.402999878E0,-1.842576599E1,2.586661537E1
3.128714582E-1,1.716423035E1,5.492081642E0,-1.850859070E1,2.583295751E1
3.228294582E-1,1.716554260E1,5.741344452E0,-1.870339966E1,2.602760165E1
3.327874583E-1,1.698101044E1,5.747860432E0,-1.890806580E1,2.605585476E1
3.427464582E-1,1.694883728E1,5.758087635E0,-1.907461548E1,2.615835649E1
3.527044582E-1,1.691703796E1,5.753990173E0,-1.895635986E1,2.605068436E1
3.626624583E-1,1.667547607E1,5.728034019E0,-1.908261108E1,2.598129946E1
3.726204582E-1,1.653180695E1,5.694131851E0,-1.941140747E1,2.612520849E1
3.825794582E-1,1.656843567E1,5.762990475E0,-1.913807678E1,2.596133861E1
3.925374583E-1,1.659288025E1,5.775678635E0,-1.923211670E1,2.604911613E1
4.024954583E-1,1.654042053E1,5.984706879E0,-1.927809143E1,2.609687792E1
4.124534582E-1,1.624961853E1,6.153489113E0,-1.947238159E1,2.609768525E1
4.224124581E-1,1.581630707E1,6.328304768E0,-2.000170898E1,2.627301606E1
4.323704583E-1,1.552722168E1,6.342964172E0,-2.006797791E1,2.615437907E1
4.423284582E-1,1.510901642E1,6.273616791E0,-2.033193970E1,2.609652116E1
4.522864581E-1,1.475244141E1,6.147241592E0,-2.073954773E1,2.618304693E1
4.622444583E-1,1.454405212E1,6.163125038E0,-2.103868103E1,2.630854732E1
4.722034582E-1,1.434241486E1,6.177065849E0,-2.123886108E1,2.636190863E1
