"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.389245830E-2,-2.782904053E1,1.581198883E1,1.848963928E1,3.696405346E1
3.384945844E-2,-2.782823181E1,1.591632080E1,1.879258728E1,3.716047753E1
4.380645836E-2,-2.785810852E1,1.593389130E1,1.893153381E1,3.726078468E1
5.376345827E-2,-2.813418579E1,1.610279465E1,1.920202637E1,3.767691896E1
6.372045842E-2,-2.818931580E1,1.607103729E1,1.954310608E1,3.787939757E1
7.367745833E-2,-2.846449280E1,1.605824280E1,1.944447327E1,3.802870038E1
8.363445825E-2,-2.846035767E1,1.604907990E1,1.975407410E1,3.818099485E1
9.359145840E-2,-2.867500305E1,1.592647171E1,1.960513306E1,3.821347332E1
1.035484583E-1,-2.894557190E1,1.587248230E1,1.963839722E1,3.841156691E1
1.135054582E-1,-2.898173523E1,1.575986862E1,1.967556763E1,3.841148783E1
1.234614584E-1,-2.907308960E1,1.569361496E1,1.989279175E1,3.856497443E1
1.334184583E-1,-2.933729553E1,1.555401993E1,1.981657410E1,3.866912275E1
1.433754584E-1,-2.937495422E1,1.550957108E1,2.000502014E1,3.877673995E1
1.533324583E-1,-2.963572693E1,1.549248123E1,2.045849609E1,3.920259364E1
1.632894583E-1,-2.990547180E1,1.564266586E1,2.085118103E1,3.967117328E1
1.732464584E-1,-3.001910400E1,1.582130432E1,2.118443298E1,4.000300584E1
1.832034583E-1,-3.023497009E1,1.591681290E1,2.167492676E1,4.046357373E1
1.931604582E-1,-3.038603210E1,1.605307007E1,2.197640991E1,4.079184475E1
2.031174584E-1,-3.054544067E1,1.611134338E1,2.220889282E1,4.105891197E1
2.130744583E-1,-3.085011292E1,1.605244446E1,2.248229980E1,4.141091939E1
2.230314584E-1,-3.106832886E1,1.597651672E1,2.287359619E1,4.175753282E1
2.329884584E-1,-3.118103027E1,1.602528381E1,2.305917358E1,4.196179044E1
2.429454583E-1,-3.128698730E1,1.588686371E1,2.303294373E1,4.197361683E1
2.529014584E-1,-3.152565002E1,1.582477188E1,2.310311890E1,4.216686042E1
2.628584583E-1,-3.165559387E1,1.564868927E1,2.302282715E1,4.215458064E1
2.728154582E-1,-3.191319275E1,1.553122330E1,2.304574585E1,4.231757519E1
2.827724584E-1,-3.210490417E1,1.538627243E1,2.295408630E1,4.235979614E1
2.927294583E-1,-3.213978577E1,1.518705368E1,2.280770874E1,4.223510396E1
3.026864585E-1,-3.225610352E1,1.492021942E1,2.270912170E1,4.217550676E1
3.126434584E-1,-3.230981445E1,1.476240540E1,2.244931030E1,4.202171172E1
3.226004583E-1,-3.225685120E1,1.442806625E1,2.177290344E1,4.150581729E1
3.325574584E-1,-3.200334167E1,1.401601791E1,2.076565552E1,4.064326618E1
3.425144583E-1,-3.135951233E1,1.347899246E1,1.940652466E1,3.926468452E1
3.524714583E-1,-3.134225464E1,1.310031891E1,1.887568665E1,3.886189429E1
3.624284584E-1,-3.201150513E1,1.284429550E1,1.929783630E1,3.952364955E1
3.723854583E-1,-3.238548279E1,1.276511765E1,1.976504517E1,4.003029770E1
3.823414582E-1,-3.235931396E1,1.291964340E1,1.993498230E1,4.014281885E1
3.922984584E-1,-3.198889160E1,1.314651871E1,1.997256470E1,3.993774506E1
4.022554583E-1,-3.147518921E1,1.346140289E1,1.980455017E1,3.954892048E1
4.122124584E-1,-3.077149963E1,1.384265518E1,1.934243774E1,3.889259814E1
4.221694584E-1,-3.037725830E1,1.411465073E1,1.918826294E1,3.860298721E1
4.321260834E-1,-2.979963684E1,1.446504974E1,1.918487549E1,3.827943923E1
4.420830833E-1,-2.920321655E1,1.475074387E1,1.905606079E1,3.786219426E1
4.520400832E-1,-2.897476196E1,1.497779465E1,1.893791199E1,3.771625212E1
