"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.069070841E-2,2.002507019E1,8.698537827E0,-3.800216675E0,2.216099373E1
2.064970834E-2,2.002014160E1,8.925756454E0,-3.838928223E0,2.225337206E1
3.060870850E-2,2.001031494E1,9.026700974E0,-3.914016724E0,2.229828606E1
4.056770843E-2,1.986508942E1,9.360570908E0,-4.154357910E0,2.234951353E1
5.052670836E-2,1.968726349E1,9.575300217E0,-4.336700439E0,2.231774381E1
6.048570829E-2,1.946199799E1,1.002139854E1,-4.404159546E0,2.232922783E1
7.044470846E-2,1.909741974E1,1.029786873E1,-4.115524292E0,2.208381944E1
8.040270838E-2,1.887413788E1,1.073334312E1,-4.180480957E0,2.211140331E1
9.036170831E-2,1.840666962E1,1.121140862E1,-3.708145142E0,2.186896225E1
1.003207085E-1,1.808484650E1,1.144518089E1,-3.798950195E0,2.173673989E1
1.102797084E-1,1.773129272E1,1.182597542E1,-3.081680298E0,2.153483665E1
1.202387083E-1,1.747452545E1,1.215749550E1,-3.112380981E0,2.151396411E1
1.301977085E-1,1.718941498E1,1.256995201E1,-2.587860107E0,2.145172955E1
1.401567084E-1,1.700821686E1,1.282615089E1,-2.295715332E0,2.142568310E1
1.501157084E-1,1.671435547E1,1.301464653E1,-1.373306274E0,2.122820466E1
1.600747085E-1,1.661740112E1,1.330359840E1,-9.203948975E-1,2.130659234E1
1.700327084E-1,1.635238647E1,1.360228920E1,2.374572754E-1,2.127155850E1
1.799917084E-1,1.627127075E1,1.369484138E1,1.054855347E0,2.129355894E1
1.899507083E-1,1.584290314E1,1.377031898E1,2.219223022E0,2.110791831E1
1.999097085E-1,1.602748871E1,1.386561394E1,3.069015503E0,2.141388569E1
2.098687084E-1,1.596371460E1,1.383663750E1,4.022964478E0,2.150527759E1
2.198278334E-1,1.599014282E1,1.379770470E1,4.547866821E0,2.160426844E1
2.297868335E-1,1.585479736E1,1.370752907E1,5.437850952E0,2.165274060E1
2.397458334E-1,1.612777710E1,1.348060417E1,5.633178711E0,2.176153913E1
2.497038334E-1,1.605215454E1,1.338607597E1,6.329086304E0,2.183840720E1
2.596628333E-1,1.649282074E1,1.337795067E1,6.880599976E0,2.232320219E1
2.696218335E-1,1.660262299E1,1.322662163E1,7.591522217E0,2.254377562E1
2.795808334E-1,1.684523773E1,1.308840752E1,7.662445068E0,2.266674899E1
2.895398333E-1,1.673017883E1,1.301688194E1,8.251586914E0,2.274701708E1
2.994988335E-1,1.676760864E1,1.342804527E1,8.193923950E0,2.299142208E1
3.094578334E-1,1.635999298E1,1.376568794E1,8.388580322E0,2.296762536E1
3.194168333E-1,1.635999298E1,1.376568794E1,8.388580322E0,2.296762536E1
3.293748335E-1,1.606738281E1,1.417033577E1,8.215896606E0,2.294471973E1
3.393338334E-1,1.573423767E1,1.459660912E1,7.832061768E0,2.284662829E1
3.492928334E-1,1.532167816E1,1.489647102E1,7.506622314E0,2.264968100E1
3.592518335E-1,1.509307098E1,1.532399940E1,7.227416992E0,2.269055543E1
3.692108335E-1,1.484543610E1,1.551125908E1,6.827072144E0,2.252987007E1
3.791698334E-1,1.452386475E1,1.586143684E1,6.681213379E0,2.252035608E1
3.891288333E-1,1.427082825E1,1.619500923E1,6.642837524E0,2.258455564E1
3.990878335E-1,1.399687195E1,1.641760063E1,6.607650757E0,2.256349005E1
4.090468334E-1,1.368797302E1,1.659853935E1,6.674209595E0,2.252592257E1
4.190048333E-1,1.338932800E1,1.678945351E1,6.737411499E0,2.250672271E1
4.289638335E-1,1.315841675E1,1.679143715E1,7.033218384E0,2.246246767E1
4.389228334E-1,1.306553650E1,1.675577354E1,6.998657227E0,2.237063687E1
4.488818333E-1,1.292164612E1,1.670420647E1,7.262939453E0,2.233270565E1
4.588408335E-1,1.309950256E1,1.688722038E1,7.510375977E0,2.265349701E1
4.687998334E-1,1.310279846E1,1.672756767E1,7.752410889E0,2.261845977E1
4.787588334E-1,1.331901550E1,1.669043541E1,7.610061646E0,2.266891807E1
4.887178333E-1,1.341307068E1,1.677169228E1,7.642700195E0,2.279497737E1
4.986758335E-1,1.342700195E1,1.678349113E1,7.601989746E0,2.279825003E1
5.086348334E-1,1.327343750E1,1.694048119E1,7.567474365E0,2.281295058E1
5.185938333E-1,1.346528625E1,1.720351219E1,7.445098877E0,2.308038698E1
5.285528335E-1,1.336428833E1,1.716034126E1,7.127395630E0,2.288845306E1
5.385118334E-1,1.339221191E1,1.734584999E1,6.751113892E0,2.293049041E1
5.484708333E-1,1.337565613E1,1.756719017E1,6.629165649E0,2.305342024E1
5.584298335E-1,1.343028259E1,1.764767265E1,6.165054321E0,2.301783516E1
5.683888334E-1,1.355140686E1,1.780291557E1,6.020126343E0,2.316951342E1
5.783478334E-1,1.347151184E1,1.781024742E1,5.958572388E0,2.311257514E1
5.883058335E-1,1.373257446E1,1.794622612E1,6.155319214E0,2.342090066E1
5.982648334E-1,1.375794983E1,1.789037514E1,6.347030640E0,2.344422112E1
6.082238334E-1,1.388327026E1,1.796802711E1,6.170074463E0,2.353008735E1
6.181828333E-1,1.417121887E1,1.791266823E1,6.355926514E0,2.370833038E1
6.281418335E-1,1.434024048E1,1.784335899E1,6.868316650E0,2.389982700E1
6.381008334E-1,1.452823639E1,1.798081398E1,7.135070801E0,2.419273774E1
6.480598333E-1,1.449634552E1,1.782667732E1,7.538726807E0,2.418195318E1
6.580188335E-1,1.441833496E1,1.769514275E1,7.882720947E0,2.414836950E1
6.679778334E-1,1.452560425E1,1.759848595E1,8.119171143E0,2.422025653E1
6.779358333E-1,1.451204681E1,1.742184258E1,8.352523804E0,2.416370740E1
6.878948335E-1,1.455141449E1,1.748596764E1,8.810317993E0,2.439517229E1
6.978538334E-1,1.458902740E1,1.749032402E1,8.890289307E0,2.444971163E1
7.078128334E-1,1.478164673E1,1.754236412E1,8.860671997E0,2.459152552E1
7.177718333E-1,1.506644440E1,1.748100471E1,8.586288452E0,2.462331460E1
7.277308335E-1,1.525740051E1,1.761651802E1,8.697616577E0,2.487525903E1
7.376898334E-1,1.534101868E1,1.733711433E1,8.290817261E0,2.458983608E1
7.476488333E-1,1.541838074E1,1.734714699E1,8.387130737E0,2.467780248E1
7.576068335E-1,1.563010406E1,1.734576988E1,8.253707886E0,2.476488602E1
7.675658334E-1,1.586284637E1,1.720205116E1,8.641860962E0,2.494438254E1
7.775248333E-1,1.602133942E1,1.699624825E1,8.096557617E0,2.472063948E1
7.874838335E-1,1.628485870E1,1.706827354E1,8.063491821E0,2.493075380E1
7.974428334E-1,1.647481537E1,1.703698921E1,7.482284546E0,2.485282931E1
8.074018334E-1,1.647481537E1,1.703698921E1,7.482284546E0,2.485282931E1
8.173608335E-1,1.671138000E1,1.696288490E1,7.515563965E0,2.496984957E1
8.273198335E-1,1.668103027E1,1.693088722E1,6.743545532E0,2.470601383E1
8.372788334E-1,1.681710052E1,1.700858498E1,6.844665527E0,2.487883195E1
8.472368333E-1,1.688101196E1,1.673128319E1,6.430114746E0,2.462216030E1
8.571958335E-1,1.703530884E1,1.669122124E1,6.475967407E0,2.471308899E1
8.671548334E-1,1.721312714E1,1.660783958E1,5.893920898E0,2.463433346E1
8.771138333E-1,1.736087799E1,1.659801674E1,5.954940796E0,2.474581912E1
8.870728335E-1,1.759982300E1,1.646764565E1,5.264663696E0,2.467091013E1
8.970318334E-1,1.765022278E1,1.633169365E1,5.276336670E0,2.461898272E1
9.069908333E-1,1.779283142E1,1.625894356E1,4.627975464E0,2.454294710E1
9.169498335E-1,1.782936859E1,1.608891869E1,4.344253540E0,2.440516805E1
9.269088334E-1,1.814488983E1,1.601155663E1,3.872741699E0,2.450724588E1
9.368668334E-1,1.814680481E1,1.582890892E1,3.240646362E0,2.429737993E1
9.468258333E-1,1.823728943E1,1.584276009E1,2.761077881E0,2.431491978E1
9.567848335E-1,1.856866455E1,1.576038933E1,1.983932495E0,2.443606276E1
9.667438334E-1,1.860340118E1,1.554406166E1,1.230239868E0,2.427381055E1
9.767028333E-1,1.866669464E1,1.550239372E1,7.980499268E-1,2.427769725E1
9.866618335E-1,1.868356323E1,1.537690926E1,2.013092041E-1,2.419845860E1
9.966208334E-1,1.873748779E1,1.545403481E1,-3.590393066E-2,2.428830850E1
1.006579833E0,1.867072296E1,1.540209389E1,-4.853210449E-1,2.420859204E1
1.016537833E0,1.847881317E1,1.526411247E1,-8.650970459E-1,2.398349555E1
1.026496833E0,1.847705078E1,1.528967094E1,-1.107894897E0,2.400839175E1
1.036455833E0,1.839158630E1,1.523664665E1,-1.255706787E0,2.391615871E1
1.046414834E0,1.829917908E1,1.544229698E1,-9.981994629E-1,2.396499308E1
1.056373833E0,1.830482483E1,1.547273064E1,-1.025451660E0,2.399007204E1
1.066332833E0,1.811832428E1,1.547402382E1,-8.111114502E-1,2.384065833E1
1.076291833E0,1.802072144E1,1.542242241E1,-5.960083008E-1,2.372662513E1
1.086250833E0,1.766312408E1,1.544828606E1,2.336120605E-2,2.346563530E1
